Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carole Freeman,Sonia Jurado,Pierre-Paul Routhier,Brian Sarwer-Foner,Linda Schwey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 141","Delson",118,29,44,6,33,6,236,439
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 142","Saint-Constant",191,42,26,4,35,9,307,565
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 143","Saint-Constant",117,22,37,6,20,7,209,445
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 144","Saint-Constant",101,14,29,5,24,4,177,307
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 145","Saint-Constant",122,38,32,11,15,1,219,460
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 146","Saint-Constant",129,51,27,6,38,2,253,396
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 147","Saint-Constant",126,20,30,5,17,1,199,331
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 148","Saint-Constant",117,47,28,12,18,3,225,365
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 149","Saint-Constant",134,31,29,11,18,2,225,368
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 150","Saint-Constant",154,33,33,3,34,2,259,418
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 151","Saint-Constant",129,47,34,3,52,4,269,442
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 152","Saint-Constant",128,37,33,8,37,4,247,400
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 153","Saint-Constant",161,66,44,5,45,4,325,537
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 154","Delson",163,62,33,8,41,2,309,529
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 155","Delson",88,31,23,6,19,2,169,269
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 155-1","Delson",121,53,49,4,51,3,281,481
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 156","Delson",92,35,42,2,45,8,224,354
