Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brent Bouteiller,Bruce Bowser,Michael Chong,Noel Duignan,Jeffrey Streutker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 170","Halton Hills",7,38,101,7,0,1,154,265
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 171","Halton Hills",27,76,245,17,1,1,367,588
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 172","Halton Hills",25,75,141,39,6,1,287,563
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 172-1","Halton Hills",8,53,199,15,1,0,276,525
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 172-2","Halton Hills",7,46,150,12,3,0,218,402
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 173","Puslinch",37,76,135,24,0,0,272,504
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 174A","Puslinch",21,43,126,29,1,0,220,397
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 174B","Puslinch",23,45,135,27,1,2,233,369
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 174-1","Puslinch",17,36,68,8,0,0,129,234
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 175","Puslinch",34,49,146,23,5,0,257,476
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 176","Puslinch",23,64,150,16,2,0,255,474
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 177","Puslinch",24,56,77,16,4,0,177,318
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 178","Puslinch",22,43,162,32,4,1,264,405
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 179","Puslinch",25,14,97,17,0,0,153,264
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 180","Puslinch",28,48,151,16,2,0,245,422
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 181","Puslinch",37,45,182,32,0,0,296,550
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 182","Puslinch",14,44,100,11,1,0,170,363
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 182-1","Puslinch",13,20,46,8,2,0,89,187
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 400","Centre Wellington",6,18,38,3,0,2,67,167
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 500","Mobile poll/Bureau itinérant",4,18,23,3,1,4,53,141
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 501","Mobile poll/Bureau itinérant",3,31,43,6,0,1,84,156
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 502","Mobile poll/Bureau itinérant",1,25,28,5,0,1,60,126
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 503","Mobile poll/Bureau itinérant",2,26,54,7,3,0,92,164
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 600","Centre Wellington",59,144,274,31,2,0,510,
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 601","Centre Wellington",73,142,374,68,4,0,661,
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 602","Guelph/Eramosa",47,130,300,34,9,0,520,
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 603","Erin",69,116,324,36,5,3,553,
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 604","Halton Hills",40,109,327,23,1,0,500,
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 605","Halton Hills",39,130,395,40,4,6,614,
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 606","Halton Hills",58,160,304,46,4,2,574,
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 607","Halton Hills",43,216,446,38,2,4,749,
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 608","Puslinch",42,102,311,41,4,0,500,
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 609","Halton Hills",37,127,306,18,0,1,489,
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 610","Centre Wellington",47,101,313,49,9,0,519,
35098,"Wellington--Halton Hills/Wellington--Halton Hills",,Group 1/Groupe 1,13,13,37,7,1,4,75,129
35098,"Wellington--Halton Hills/Wellington--Halton Hills",,Group 2/Groupe 2,45,111,214,40,3,9,422,

