Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dave Burkhart,Peter Johnston,Brent Rathgeber,Sam Sleiman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 95","St. Albert",Void/Supprimé,,,,,,
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 96","St. Albert",58,26,172,32,0,288,496
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 97","St. Albert",39,25,158,24,0,246,427
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 98","St. Albert",29,16,152,30,0,227,453
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 99","St. Albert",Void/Supprimé,,,,,,
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 100","St. Albert",44,25,100,20,0,189,522
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 101","St. Albert",37,21,129,29,1,217,378
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 102","St. Albert",29,23,112,25,0,189,353
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 103","St. Albert",52,22,129,20,0,223,413
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 104","St. Albert",44,28,172,37,1,282,506
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 105","Edmonton",10,7,88,5,0,110,236
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 106","Edmonton",48,6,69,9,1,133,412
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 107","Edmonton",Void/Supprimé,,,,,,
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 108","Edmonton",46,11,96,19,0,172,361
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 109","Edmonton",50,22,174,34,0,280,502
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 110","Edmonton",23,23,97,18,0,161,348
