Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mark Canada,Yvon Lévesque,Erica Martin,Jean-Maurice Matte,Patrick Rancourt,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 21","Chisasibi",Void/Supprimé,,,,,,,
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 22","Chisasibi",Void/Supprimé,,,,,,,
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 23A","Chisasibi",76,16,28,17,16,1,154,673
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 23B","Chisasibi",75,10,15,10,10,0,120,578
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 23C","Chisasibi",90,12,21,19,8,1,151,553
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 24","Chisasibi",Void/Supprimé,,,,,,,
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 25","Chisasibi",Void/Supprimé,,,,,,,
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 26A","Wemindji",75,8,12,11,2,1,109,475
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 26B","Wemindji",40,2,2,5,1,0,50,511
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 27","Eastmain",54,2,17,2,9,0,84,395
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 28","Radisson",11,55,23,9,2,2,102,244
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 29","Waskaganish",85,20,13,21,9,0,148,623
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 29-1","Waskaganish",68,13,6,17,5,0,109,565
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 30","Waskaganish",Void/Supprimé,,,,,,,
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 31","Nemaska",73,10,6,9,5,1,104,425
