Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Maxime Bernier,André Côté,Véronique Poulin,Nicolas Rochette,René Roy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24005,"Beauce/Beauce"," 150","Saint-Georges",62,22,8,4,13,2,111,294
24005,"Beauce/Beauce"," 151","Saint-Georges",126,48,8,13,42,2,239,443
24005,"Beauce/Beauce"," 152","Saint-Georges",116,33,19,16,29,6,219,457
24005,"Beauce/Beauce"," 153","Saint-Georges",99,26,18,11,15,3,172,413
24005,"Beauce/Beauce"," 154A","Saint-Georges",76,20,15,5,8,1,125,308
24005,"Beauce/Beauce"," 154B","Saint-Georges",Merged with No. 400/Fusionné avec le nº 400,,,,,,,6
24005,"Beauce/Beauce"," 155","Saint-Georges",46,14,8,6,3,0,77,271
24005,"Beauce/Beauce"," 156","Saint-Georges",88,25,8,9,25,2,157,433
24005,"Beauce/Beauce"," 157","Saint-Georges",136,39,19,15,26,6,241,496
24005,"Beauce/Beauce"," 158","Saint-Georges",93,28,23,17,28,4,193,432
24005,"Beauce/Beauce"," 159","Saint-Georges",79,24,19,11,18,6,157,318
24005,"Beauce/Beauce"," 160","Saint-Georges",130,26,12,17,13,5,203,461
24005,"Beauce/Beauce"," 161","Saint-Georges",110,32,28,17,34,1,222,420
24005,"Beauce/Beauce"," 162","Saint-Georges",76,19,19,5,16,2,137,302
24005,"Beauce/Beauce"," 163","Saint-Georges",104,23,22,14,21,4,188,358
24005,"Beauce/Beauce"," 164","Saint-Georges",99,35,20,7,21,1,183,374
24005,"Beauce/Beauce"," 165","Saint-Georges",119,44,19,16,16,6,220,392
24005,"Beauce/Beauce"," 166","Saint-Georges",92,31,14,13,13,1,164,317
24005,"Beauce/Beauce"," 167","Saint-Georges",195,65,56,28,43,6,393,723
24005,"Beauce/Beauce"," 168","Saint-Georges",126,35,21,12,17,2,213,382
24005,"Beauce/Beauce"," 169","Saint-Georges",148,28,14,20,13,3,226,434
24005,"Beauce/Beauce"," 169-1","Saint-Georges",76,15,9,11,14,2,127,256
24005,"Beauce/Beauce"," 170","Saint-Georges",95,16,16,14,17,4,162,321
24005,"Beauce/Beauce"," 171","Saint-Georges",109,42,16,13,25,0,205,417
24005,"Beauce/Beauce"," 172","Saint-Georges-Est",114,29,19,19,22,2,205,354
24005,"Beauce/Beauce"," 173","Saint-Georges-Est",129,44,25,14,14,3,229,445
24005,"Beauce/Beauce"," 174","Saint-Georges-Est",115,15,26,10,12,3,181,376
24005,"Beauce/Beauce"," 175","Saint-Philibert",112,17,23,17,12,6,187,286
24005,"Beauce/Beauce"," 176","Saint-Côme--Linière",76,14,10,2,4,2,108,218
24005,"Beauce/Beauce"," 177","Saint-Côme--Linière",157,32,19,9,15,7,239,467
24005,"Beauce/Beauce"," 178","Saint-Côme--Linière",152,26,24,11,15,5,233,442
24005,"Beauce/Beauce"," 179","Saint-Côme--Linière",167,37,21,17,22,7,271,471
24005,"Beauce/Beauce"," 180","Saint-Côme--Linière",100,26,28,20,32,4,210,404
24005,"Beauce/Beauce"," 181","Saint-Côme--Linière",152,24,16,10,16,3,221,436
24005,"Beauce/Beauce"," 182","Saint-Zacharie",116,25,16,4,14,4,179,350
24005,"Beauce/Beauce"," 183","Saint-Zacharie",122,21,15,9,9,2,178,283
24005,"Beauce/Beauce"," 184","Saint-Zacharie",100,23,12,7,23,4,169,296
24005,"Beauce/Beauce"," 185","Saint-Zacharie",95,17,7,3,29,3,154,263
24005,"Beauce/Beauce"," 186","Saint-Zacharie",88,21,16,8,22,2,157,314
24005,"Beauce/Beauce"," 187","La Guadeloupe",154,31,11,6,20,1,223,462
24005,"Beauce/Beauce"," 188","La Guadeloupe",109,16,10,4,16,0,155,318
24005,"Beauce/Beauce"," 189","La Guadeloupe",99,18,8,7,8,0,140,280
24005,"Beauce/Beauce"," 190","La Guadeloupe",97,31,8,5,12,3,156,324
24005,"Beauce/Beauce"," 191","Saint-Évariste-de-Forsyth",156,37,23,9,36,6,267,442
24005,"Beauce/Beauce"," 192","Saint-Honoré",99,21,9,4,20,2,155,328
24005,"Beauce/Beauce"," 193","Shenley",140,25,8,1,34,2,210,357
24005,"Beauce/Beauce"," 194","Shenley",163,36,14,9,38,4,264,443
24005,"Beauce/Beauce"," 195","Saint-Honoré",36,13,6,3,7,1,66,112
24005,"Beauce/Beauce"," 196","Saint-Hilaire-de-Dorset",20,12,3,2,9,2,48,77
24005,"Beauce/Beauce"," 197","Saint-Martin",161,48,24,10,22,2,267,464
