Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Harjit Daudharia,Sukh Dhaliwal,James William Miller-Cousineau,Sandeep Pandher,John Shavluk,Teresa Townsley,Liz Walker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59016,"Newton--North Delta/Newton--Delta-Nord"," 87","Surrey",0,53,0,39,0,74,8,1,175,294
59016,"Newton--North Delta/Newton--Delta-Nord"," 87-1","Surrey",1,72,2,42,0,44,8,0,169,347
59016,"Newton--North Delta/Newton--Delta-Nord"," 88","Surrey",1,27,1,56,0,36,15,0,136,340
59016,"Newton--North Delta/Newton--Delta-Nord"," 88-1","Surrey",2,38,0,53,2,61,12,1,169,349
59016,"Newton--North Delta/Newton--Delta-Nord"," 89","Surrey",1,29,0,48,0,47,14,1,140,319
59016,"Newton--North Delta/Newton--Delta-Nord"," 90","Surrey",0,106,0,17,0,41,4,2,170,326
59016,"Newton--North Delta/Newton--Delta-Nord"," 90-1","Surrey",2,103,0,12,0,16,2,3,138,285
59016,"Newton--North Delta/Newton--Delta-Nord"," 91","Surrey",0,94,0,20,0,34,2,1,151,266
59016,"Newton--North Delta/Newton--Delta-Nord"," 92A","Surrey",0,34,0,39,0,39,8,1,121,264
59016,"Newton--North Delta/Newton--Delta-Nord"," 92B","Surrey",1,29,2,42,1,49,10,0,134,295
59016,"Newton--North Delta/Newton--Delta-Nord"," 93","Surrey",1,60,2,55,0,60,4,3,185,403
59016,"Newton--North Delta/Newton--Delta-Nord"," 94","Surrey",0,106,0,21,2,18,3,2,152,246
59016,"Newton--North Delta/Newton--Delta-Nord"," 95","Surrey",0,102,0,15,0,35,2,3,157,254
59016,"Newton--North Delta/Newton--Delta-Nord"," 96A","Surrey",0,115,0,37,0,29,3,0,184,289
59016,"Newton--North Delta/Newton--Delta-Nord"," 96B","Surrey",0,111,0,37,0,36,3,0,187,313
59016,"Newton--North Delta/Newton--Delta-Nord"," 97","Surrey",0,70,1,64,0,59,12,2,208,378
59016,"Newton--North Delta/Newton--Delta-Nord"," 98","Surrey",3,79,0,14,1,46,2,1,146,289
59016,"Newton--North Delta/Newton--Delta-Nord"," 99","Surrey",0,135,0,16,0,33,1,8,193,357
59016,"Newton--North Delta/Newton--Delta-Nord"," 99-1","Surrey",0,96,1,16,0,33,5,1,152,230
59016,"Newton--North Delta/Newton--Delta-Nord"," 100","Surrey",0,120,0,61,3,69,12,3,268,540
59016,"Newton--North Delta/Newton--Delta-Nord"," 101","Surrey",2,102,1,80,0,52,7,2,246,511
59016,"Newton--North Delta/Newton--Delta-Nord"," 102","Surrey",0,106,2,52,0,47,1,3,211,499
59016,"Newton--North Delta/Newton--Delta-Nord"," 103","Surrey",1,195,0,22,0,37,3,6,264,585
59016,"Newton--North Delta/Newton--Delta-Nord"," 104","Surrey",1,110,0,23,1,17,5,3,160,316
59016,"Newton--North Delta/Newton--Delta-Nord"," 104-1","Surrey",0,74,0,71,0,57,7,1,210,484
59016,"Newton--North Delta/Newton--Delta-Nord"," 105","Surrey",1,137,0,28,1,34,2,4,207,398
59016,"Newton--North Delta/Newton--Delta-Nord"," 106","Surrey",0,99,1,22,0,23,3,3,151,303
59016,"Newton--North Delta/Newton--Delta-Nord"," 107","Surrey",1,132,1,55,0,35,8,2,234,509
59016,"Newton--North Delta/Newton--Delta-Nord"," 108","Surrey",3,153,2,25,0,52,4,1,240,555
59016,"Newton--North Delta/Newton--Delta-Nord"," 109","Surrey",3,51,0,48,0,43,12,1,158,319
59016,"Newton--North Delta/Newton--Delta-Nord"," 109-1","Surrey",0,67,0,46,0,37,8,1,159,303
59016,"Newton--North Delta/Newton--Delta-Nord"," 110","Surrey",0,40,1,103,0,57,10,2,213,379
59016,"Newton--North Delta/Newton--Delta-Nord"," 111","Surrey",0,52,0,95,0,78,19,1,245,469
59016,"Newton--North Delta/Newton--Delta-Nord"," 112","Surrey",1,182,0,42,0,52,5,7,289,496
59016,"Newton--North Delta/Newton--Delta-Nord"," 113","Surrey",1,187,0,48,2,57,1,0,296,537
59016,"Newton--North Delta/Newton--Delta-Nord"," 114","Surrey",0,177,0,15,4,39,5,10,250,540
59016,"Newton--North Delta/Newton--Delta-Nord"," 115","Surrey",0,102,0,18,0,20,2,2,144,343
59016,"Newton--North Delta/Newton--Delta-Nord"," 115-1","Surrey",0,132,0,14,1,18,1,2,168,404
59016,"Newton--North Delta/Newton--Delta-Nord"," 115-2","Surrey",1,138,0,29,0,30,2,0,200,412
59016,"Newton--North Delta/Newton--Delta-Nord"," 116A","Surrey",0,71,1,40,0,55,7,1,175,336
59016,"Newton--North Delta/Newton--Delta-Nord"," 116B","Surrey",1,68,0,28,0,32,5,3,137,278
59016,"Newton--North Delta/Newton--Delta-Nord"," 117","Surrey",2,210,0,37,0,60,4,1,314,579
59016,"Newton--North Delta/Newton--Delta-Nord"," 118","Surrey",0,85,2,39,0,35,5,0,166,331
59016,"Newton--North Delta/Newton--Delta-Nord"," 119","Surrey",1,37,2,53,0,46,16,3,158,318
59016,"Newton--North Delta/Newton--Delta-Nord"," 120","Surrey",1,34,0,60,3,70,17,0,185,349
59016,"Newton--North Delta/Newton--Delta-Nord"," 121","Surrey",0,36,0,31,0,46,8,1,122,246
59016,"Newton--North Delta/Newton--Delta-Nord"," 122","Surrey",1,74,1,52,0,81,24,3,236,531
59016,"Newton--North Delta/Newton--Delta-Nord"," 123A","Surrey",1,79,0,20,0,34,4,0,138,308
59016,"Newton--North Delta/Newton--Delta-Nord"," 123B","Surrey",0,35,0,30,0,24,2,0,91,270
59016,"Newton--North Delta/Newton--Delta-Nord"," 124A","Surrey",1,64,3,48,0,54,16,0,186,369
59016,"Newton--North Delta/Newton--Delta-Nord"," 124B","Surrey",0,52,0,45,2,49,11,0,159,411
59016,"Newton--North Delta/Newton--Delta-Nord"," 125","Surrey",1,143,1,45,0,55,8,0,253,519
59016,"Newton--North Delta/Newton--Delta-Nord"," 126","Surrey",1,109,0,16,0,27,1,0,154,323
59016,"Newton--North Delta/Newton--Delta-Nord"," 126-1","Surrey",1,170,0,24,0,38,3,0,236,487
59016,"Newton--North Delta/Newton--Delta-Nord"," 126-2","Surrey",0,118,0,45,0,45,5,0,213,398
59016,"Newton--North Delta/Newton--Delta-Nord"," 127","Surrey",0,148,2,27,0,52,2,1,232,417
59016,"Newton--North Delta/Newton--Delta-Nord"," 128","Surrey",0,164,3,22,1,39,4,2,235,482
59016,"Newton--North Delta/Newton--Delta-Nord"," 128-1","Surrey",3,54,0,89,0,76,17,0,239,537
59016,"Newton--North Delta/Newton--Delta-Nord"," 129","Surrey",0,88,1,89,1,51,13,1,244,410
59016,"Newton--North Delta/Newton--Delta-Nord"," 130","Surrey",0,61,0,140,0,73,27,0,301,542
59016,"Newton--North Delta/Newton--Delta-Nord"," 131","Surrey",0,53,1,159,1,70,20,0,304,471
59016,"Newton--North Delta/Newton--Delta-Nord"," 132","Surrey",Void/Supprimé,,,,,,,,,
59016,"Newton--North Delta/Newton--Delta-Nord"," 133","Surrey",1,51,2,145,2,87,32,0,320,481
59016,"Newton--North Delta/Newton--Delta-Nord"," 134","Surrey",0,92,1,74,1,43,8,0,219,427
59016,"Newton--North Delta/Newton--Delta-Nord"," 135","Surrey",0,98,0,132,0,59,10,1,300,508
59016,"Newton--North Delta/Newton--Delta-Nord"," 136A","Surrey",1,116,0,35,1,29,6,4,192,344
59016,"Newton--North Delta/Newton--Delta-Nord"," 136B","Surrey",0,77,0,33,0,27,2,3,142,348
59016,"Newton--North Delta/Newton--Delta-Nord"," 137","Surrey",0,112,1,68,2,67,16,2,268,508
59016,"Newton--North Delta/Newton--Delta-Nord"," 138","Surrey",1,112,5,75,0,65,6,1,265,522
59016,"Newton--North Delta/Newton--Delta-Nord"," 139","Surrey",1,105,1,52,0,68,14,1,242,484
59016,"Newton--North Delta/Newton--Delta-Nord"," 140","Surrey",0,87,0,71,1,48,10,0,217,425
59016,"Newton--North Delta/Newton--Delta-Nord"," 141","Surrey",0,61,0,65,0,26,8,1,161,349
59016,"Newton--North Delta/Newton--Delta-Nord"," 142","Surrey",0,96,2,70,0,66,15,1,250,472
59016,"Newton--North Delta/Newton--Delta-Nord"," 143","Surrey",0,82,1,53,0,35,19,2,192,464
59016,"Newton--North Delta/Newton--Delta-Nord"," 144","Surrey",1,48,1,51,1,52,31,1,186,354
59016,"Newton--North Delta/Newton--Delta-Nord"," 145","Surrey",1,86,1,43,1,42,21,4,199,435
59016,"Newton--North Delta/Newton--Delta-Nord"," 146","Surrey",0,49,0,120,0,38,13,0,220,355
59016,"Newton--North Delta/Newton--Delta-Nord"," 146-1","Surrey",0,51,1,93,1,39,11,0,196,368
59016,"Newton--North Delta/Newton--Delta-Nord"," 147","Surrey",1,92,3,132,0,43,12,1,284,467
59016,"Newton--North Delta/Newton--Delta-Nord"," 148","Surrey",1,98,2,110,1,47,20,0,279,466
59016,"Newton--North Delta/Newton--Delta-Nord"," 149","Surrey",Void/Supprimé,,,,,,,,,
59016,"Newton--North Delta/Newton--Delta-Nord"," 150","Surrey",1,62,0,45,0,29,7,2,146,303
59016,"Newton--North Delta/Newton--Delta-Nord"," 151","Surrey",0,139,0,94,0,64,11,3,311,570
59016,"Newton--North Delta/Newton--Delta-Nord"," 152","Surrey",0,70,1,56,0,61,6,0,194,328
59016,"Newton--North Delta/Newton--Delta-Nord"," 153","Surrey",0,41,3,73,1,72,22,1,213,372
59016,"Newton--North Delta/Newton--Delta-Nord"," 154A","Surrey",2,78,0,51,0,34,12,2,179,300
59016,"Newton--North Delta/Newton--Delta-Nord"," 154B","Surrey",0,63,0,45,0,48,13,0,169,321
59016,"Newton--North Delta/Newton--Delta-Nord"," 155A","Surrey",2,69,0,37,0,30,6,1,145,283
59016,"Newton--North Delta/Newton--Delta-Nord"," 155B","Surrey",0,65,0,46,0,40,7,1,159,303
59016,"Newton--North Delta/Newton--Delta-Nord"," 156","Surrey",1,87,2,93,1,61,17,0,262,455
59016,"Newton--North Delta/Newton--Delta-Nord"," 157","Surrey",0,54,0,55,0,33,7,0,149,354
59016,"Newton--North Delta/Newton--Delta-Nord"," 158","Surrey",0,84,1,40,0,60,5,0,190,400
59016,"Newton--North Delta/Newton--Delta-Nord"," 158-1","Surrey",0,70,0,45,1,38,9,1,164,360
59016,"Newton--North Delta/Newton--Delta-Nord"," 159","Surrey",0,62,2,67,1,53,16,1,202,408
59016,"Newton--North Delta/Newton--Delta-Nord"," 160","Surrey",0,70,2,101,1,34,17,2,227,386
59016,"Newton--North Delta/Newton--Delta-Nord"," 161","Surrey",0,53,1,113,2,17,14,8,208,357
59016,"Newton--North Delta/Newton--Delta-Nord"," 162","Surrey",1,44,0,65,0,18,9,1,138,238
59016,"Newton--North Delta/Newton--Delta-Nord"," 162-1","Surrey",0,47,0,71,1,45,22,0,186,350
59016,"Newton--North Delta/Newton--Delta-Nord"," 500","Mobile poll/Bureau itinérant",0,49,2,12,6,14,7,4,94,141
59016,"Newton--North Delta/Newton--Delta-Nord"," 600","Delta",1,150,4,172,3,127,15,2,474,
59016,"Newton--North Delta/Newton--Delta-Nord"," 601","Delta",3,214,1,205,2,137,23,2,587,
59016,"Newton--North Delta/Newton--Delta-Nord"," 602","Delta",4,399,2,104,0,86,11,4,610,
59016,"Newton--North Delta/Newton--Delta-Nord"," 603","Delta",1,166,1,153,1,85,16,2,425,
59016,"Newton--North Delta/Newton--Delta-Nord"," 604","Delta",0,67,1,170,0,52,20,1,311,
59016,"Newton--North Delta/Newton--Delta-Nord"," 605","Surrey",1,196,0,85,0,37,6,2,327,
59016,"Newton--North Delta/Newton--Delta-Nord"," 606","Surrey",3,268,0,89,0,92,1,7,460,
59016,"Newton--North Delta/Newton--Delta-Nord"," 607","Surrey",0,81,3,92,1,94,17,1,289,
59016,"Newton--North Delta/Newton--Delta-Nord"," 608","Surrey",2,251,0,137,2,83,10,1,486,
59016,"Newton--North Delta/Newton--Delta-Nord"," 609","Surrey",2,248,3,144,0,84,17,3,501,
59016,"Newton--North Delta/Newton--Delta-Nord"," 610","Surrey",0,189,1,143,2,83,20,4,442,
59016,"Newton--North Delta/Newton--Delta-Nord",,Group 1/Groupe 1,0,18,1,23,0,12,10,3,67,118
59016,"Newton--North Delta/Newton--Delta-Nord",,Group 2/Groupe 2,0,792,3,313,1,95,18,4,1226,

