Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michael Bell,Barry Devolin,Dave Switzer,Marlene White,Stephen Yardy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 31","Gooderham",7,47,1,22,26,2,105,222
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 32","Monmouth",6,64,1,23,20,1,115,268
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 33","Cardiff",5,64,0,33,33,1,136,248
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 34","Paudash Lake",27,202,1,90,63,0,383,637
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 35","Chandos",14,92,0,36,18,0,160,294
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 36","Chandos",7,64,0,27,18,0,116,278
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 37","North Kawartha",12,101,0,57,28,0,198,371
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 37-1","North Kawartha",Merged with No. 37/Fusionné avec le nº 37,,,,,,,15
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 38","North Kawartha",6,40,0,24,2,0,72,123
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 39","North Kawartha",12,107,0,63,31,1,214,376
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 40","Galway-Cavendish and Harvey",20,176,1,85,44,0,326,573
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 40-1","Galway-Cavendish and Harvey",5,9,1,21,3,0,39,73
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 41","Galway-Cavendish and Harvey",22,108,0,72,18,0,220,341
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 42","Galway-Cavendish and Harvey",26,174,1,84,58,1,344,483
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 43","Galway-Cavendish and Harvey",9,68,0,19,20,0,116,170
