Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Katy Austin,Peter Ellis,Helena Guergis,Andrea Matrosovs,Caley McKibbin,Peter Vander Zaag,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35085,"Simcoe--Grey/Simcoe--Grey"," 102","Wasaga Beach",25,10,58,17,0,2,0,112,344
35085,"Simcoe--Grey/Simcoe--Grey"," 103","Wasaga Beach",31,18,88,54,0,1,1,193,405
35085,"Simcoe--Grey/Simcoe--Grey"," 104","Wasaga Beach",43,19,172,67,0,4,0,305,618
35085,"Simcoe--Grey/Simcoe--Grey"," 105","Wasaga Beach",14,17,120,45,0,2,0,198,357
35085,"Simcoe--Grey/Simcoe--Grey"," 106","Wasaga Beach",24,20,96,30,1,3,0,174,436
35085,"Simcoe--Grey/Simcoe--Grey"," 107","Wasaga Beach",54,29,221,78,0,4,3,389,699
35085,"Simcoe--Grey/Simcoe--Grey"," 108","Wasaga Beach",31,10,90,23,1,3,1,159,356
35085,"Simcoe--Grey/Simcoe--Grey"," 109","Springwater",27,17,91,31,0,4,0,170,379
35085,"Simcoe--Grey/Simcoe--Grey"," 110","Springwater",28,14,65,40,0,2,0,149,336
35085,"Simcoe--Grey/Simcoe--Grey"," 111","Springwater",38,22,70,30,0,6,1,167,353
35085,"Simcoe--Grey/Simcoe--Grey"," 112","Springwater",14,21,67,35,0,4,0,141,296
35085,"Simcoe--Grey/Simcoe--Grey"," 113","Springwater",19,17,69,37,1,3,0,146,306
35085,"Simcoe--Grey/Simcoe--Grey"," 114","Springwater",45,29,168,51,1,4,3,301,606
35085,"Simcoe--Grey/Simcoe--Grey"," 115","Springwater",39,34,144,67,0,6,2,292,494
35085,"Simcoe--Grey/Simcoe--Grey"," 116","Springwater",30,31,146,32,0,1,0,240,467
35085,"Simcoe--Grey/Simcoe--Grey"," 117","Springwater",26,12,55,23,0,0,2,118,250
35085,"Simcoe--Grey/Simcoe--Grey"," 118","Springwater",19,6,71,30,0,8,0,134,273
35085,"Simcoe--Grey/Simcoe--Grey"," 119","Springwater",19,17,119,44,0,4,0,203,377
