Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mike Butler,David Allan Hrushka,Mike Lake,Naomi Rankin,Indira Saroya,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 145","Edmonton",37,10,112,2,39,1,201,390
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 146","Edmonton",26,12,151,1,36,0,226,470
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 147","Edmonton",27,7,91,1,25,0,151,301
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 148","Edmonton",35,13,96,0,22,0,166,380
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 149","Edmonton",36,12,150,0,19,0,217,418
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 150","Edmonton",28,11,123,0,19,0,181,356
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 151","Edmonton",47,11,144,0,38,0,240,392
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 152A","Edmonton",20,8,120,0,27,0,175,375
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 152B","Edmonton",14,8,112,1,21,0,156,364
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 153","Nisku",7,8,154,0,5,0,174,427
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 154","Beaumont",Merged with No. 155B/Fusionné avec le nº 155B,,,,,,,142
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 155A","Beaumont",21,6,148,2,15,1,193,348
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 155B","Beaumont",18,10,170,0,16,0,214,238
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 155-1A","Beaumont",12,8,146,0,11,0,177,292
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 155-1B","Beaumont",11,6,137,0,6,0,160,261
