Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kimball Cariou,Don Davies,Matt Kadioglu,Donna Petersen,Salomon Rayek,Doug Warkentin,Wendy Yuan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59032,"Vancouver Kingsway/Vancouver Kingsway"," 154","Vancouver",0,113,1,0,42,11,48,1,216,443
59032,"Vancouver Kingsway/Vancouver Kingsway"," 155","Vancouver",1,90,3,0,80,16,71,2,263,519
59032,"Vancouver Kingsway/Vancouver Kingsway"," 156","Vancouver",3,56,1,0,40,7,35,0,142,315
59032,"Vancouver Kingsway/Vancouver Kingsway"," 156-1","Vancouver",1,101,0,1,62,9,62,2,238,362
59032,"Vancouver Kingsway/Vancouver Kingsway"," 157","Vancouver",1,71,1,0,41,9,25,2,150,341
59032,"Vancouver Kingsway/Vancouver Kingsway"," 158","Vancouver",0,59,3,0,47,12,37,3,161,415
59032,"Vancouver Kingsway/Vancouver Kingsway"," 159","Vancouver",2,154,2,0,89,17,38,1,303,618
59032,"Vancouver Kingsway/Vancouver Kingsway"," 159-1","Vancouver",1,77,1,0,75,13,70,4,241,559
59032,"Vancouver Kingsway/Vancouver Kingsway"," 160","Vancouver",0,46,1,1,31,5,25,0,109,290
59032,"Vancouver Kingsway/Vancouver Kingsway"," 160-1","Vancouver",2,31,1,1,45,15,34,2,131,274
59032,"Vancouver Kingsway/Vancouver Kingsway"," 160-2","Vancouver",2,36,0,0,39,14,56,1,148,529
59032,"Vancouver Kingsway/Vancouver Kingsway"," 161","Vancouver",2,77,0,2,47,6,74,0,208,474
59032,"Vancouver Kingsway/Vancouver Kingsway"," 162","Vancouver",0,73,1,3,35,3,32,0,147,435
59032,"Vancouver Kingsway/Vancouver Kingsway"," 163","Vancouver",3,44,3,0,66,7,42,1,166,399
59032,"Vancouver Kingsway/Vancouver Kingsway"," 164","Vancouver",1,102,1,1,48,16,43,0,212,449
59032,"Vancouver Kingsway/Vancouver Kingsway"," 165","Vancouver",2,62,0,0,112,8,78,2,264,584
59032,"Vancouver Kingsway/Vancouver Kingsway"," 166","Vancouver",1,52,4,0,106,6,91,1,261,503
59032,"Vancouver Kingsway/Vancouver Kingsway"," 167","Vancouver",0,76,1,0,101,10,55,2,245,470
59032,"Vancouver Kingsway/Vancouver Kingsway"," 168","Vancouver",4,116,2,0,48,16,35,0,221,412
59032,"Vancouver Kingsway/Vancouver Kingsway"," 400","Vancouver",1,30,1,0,35,4,29,1,101,252
59032,"Vancouver Kingsway/Vancouver Kingsway"," 401","Vancouver",0,15,0,2,5,1,10,1,34,120
59032,"Vancouver Kingsway/Vancouver Kingsway"," 402","Vancouver",0,26,0,0,31,3,29,1,90,225
59032,"Vancouver Kingsway/Vancouver Kingsway"," 500","Mobile poll/Bureau itinérant",1,33,2,4,40,4,11,1,96,127
59032,"Vancouver Kingsway/Vancouver Kingsway"," 501","Mobile poll/Bureau itinérant",0,24,0,1,34,7,19,1,86,146
59032,"Vancouver Kingsway/Vancouver Kingsway"," 502","Mobile poll/Bureau itinérant",1,26,2,2,10,5,12,2,60,90
59032,"Vancouver Kingsway/Vancouver Kingsway"," 503","Mobile poll/Bureau itinérant",1,44,1,5,23,5,11,2,92,131
59032,"Vancouver Kingsway/Vancouver Kingsway"," 600","Vancouver",2,99,3,1,136,26,106,0,373,
59032,"Vancouver Kingsway/Vancouver Kingsway"," 601","Vancouver",2,136,1,0,71,21,106,2,339,
59032,"Vancouver Kingsway/Vancouver Kingsway"," 602","Vancouver",0,66,0,0,52,7,51,0,176,
59032,"Vancouver Kingsway/Vancouver Kingsway"," 603","Vancouver",0,99,2,0,85,26,76,2,290,
59032,"Vancouver Kingsway/Vancouver Kingsway"," 604","Vancouver",0,56,0,0,40,11,53,2,162,
59032,"Vancouver Kingsway/Vancouver Kingsway"," 605","Vancouver",2,58,0,0,73,9,53,0,195,
59032,"Vancouver Kingsway/Vancouver Kingsway"," 606","Vancouver",3,79,1,4,61,17,64,2,231,
59032,"Vancouver Kingsway/Vancouver Kingsway"," 607","Vancouver",6,97,2,0,106,20,78,4,313,
59032,"Vancouver Kingsway/Vancouver Kingsway"," 608","Vancouver",0,50,0,0,63,5,44,0,162,
59032,"Vancouver Kingsway/Vancouver Kingsway"," 609","Vancouver",0,55,1,1,73,5,68,0,203,
59032,"Vancouver Kingsway/Vancouver Kingsway"," 610","Vancouver",1,171,2,0,141,9,101,6,431,
59032,"Vancouver Kingsway/Vancouver Kingsway"," 611","Vancouver",1,144,4,0,100,11,95,4,359,
59032,"Vancouver Kingsway/Vancouver Kingsway",,Group 1/Groupe 1,0,22,1,0,16,5,22,1,67,117
59032,"Vancouver Kingsway/Vancouver Kingsway",,Group 2/Groupe 2,1,207,1,2,121,53,172,11,568,

