Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,André Arpin,Jean-Claude JC D'Amours,Jean-Pierre Ouellet,Thérèse Tremblay-Philippe,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 99","Edmundston",4,91,41,15,1,152,311
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 100","Edmundston",3,73,56,20,2,154,323
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 101","Edmundston",5,98,42,20,2,167,339
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 102","Edmundston",6,106,70,16,2,200,394
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 103","Edmundston",2,70,73,21,1,167,351
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 104","Edmundston",3,53,46,15,2,119,234
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 105","Edmundston",5,58,48,19,2,132,358
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 106","Edmundston",9,78,53,13,2,155,319
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 107","St. Basile 10",5,87,63,20,4,179,366
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 108","Edmundston",5,68,51,12,1,137,307
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 109","Edmundston",3,92,69,25,3,192,396
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 110","Edmundston",6,71,54,7,2,140,361
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 111","Edmundston",2,60,50,7,3,122,406
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 112","Edmundston",4,80,50,12,1,147,328
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 113","Edmundston",9,87,55,23,4,178,361
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 114","Edmundston",4,88,56,14,1,163,358
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 115","Edmundston",3,62,68,13,1,147,308
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 116","Edmundston",2,24,25,8,1,60,204
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 117","Rivière-Verte",4,70,45,12,5,136,325
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 118","Rivière-Verte",1,63,33,24,4,125,244
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 119","Rivière-Verte",6,112,75,14,6,213,369
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 120","Rivière-Verte",8,101,68,30,2,209,360
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 121A","Saint-Basile",7,71,48,18,4,148,256
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 121B","Saint-Basile",4,58,48,19,2,131,265
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 122","Edmundston",8,110,52,19,1,190,335
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 123","Edmundston",9,95,87,19,5,215,384
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 124","Edmundston",3,42,55,7,0,107,179
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 125","Edmundston",Void/Supprimé,,,,,,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 126","Edmundston",7,108,73,29,0,217,470
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 127","Edmundston",10,123,62,32,2,229,485
