Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dave Joslin,Ben Lobb,Greg McClinchey,Tony McQuail,Glen Smith,Dennis Valenta,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35034,"Huron--Bruce/Huron--Bruce"," 200","Exeter",2,96,66,34,11,1,1,211,369
35034,"Huron--Bruce/Huron--Bruce"," 201","Exeter",2,178,66,15,7,1,1,270,466
35034,"Huron--Bruce/Huron--Bruce"," 202","Usborne",0,92,31,9,5,1,0,138,237
35034,"Huron--Bruce/Huron--Bruce"," 203","Usborne",0,116,41,35,9,1,1,203,349
35034,"Huron--Bruce/Huron--Bruce"," 204","Usborne",1,122,36,32,8,1,0,200,325
35034,"Huron--Bruce/Huron--Bruce"," 205","Stephen",2,58,21,26,6,1,0,114,243
35034,"Huron--Bruce/Huron--Bruce"," 206","Stephen",0,30,17,28,4,1,0,80,243
35034,"Huron--Bruce/Huron--Bruce"," 207","Stephen",2,70,30,25,4,1,0,132,273
35034,"Huron--Bruce/Huron--Bruce"," 500","Mobile poll/Bureau itinérant",1,31,41,7,1,0,1,82,118
35034,"Huron--Bruce/Huron--Bruce"," 501","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,,,51
35034,"Huron--Bruce/Huron--Bruce"," 502","Mobile poll/Bureau itinérant",1,31,29,12,4,1,1,79,158
35034,"Huron--Bruce/Huron--Bruce"," 503","Mobile poll/Bureau itinérant",1,34,38,5,4,1,3,86,105
35034,"Huron--Bruce/Huron--Bruce"," 504","Mobile poll/Bureau itinérant",4,48,30,5,3,0,3,93,133
35034,"Huron--Bruce/Huron--Bruce"," 505","Mobile poll/Bureau itinérant",Merged with No. 507/Fusionné avec le nº 507,,,,,,,,98
35034,"Huron--Bruce/Huron--Bruce"," 506","Mobile poll/Bureau itinérant",1,34,25,3,1,0,1,65,132
35034,"Huron--Bruce/Huron--Bruce"," 507","Mobile poll/Bureau itinérant",2,60,45,2,2,2,2,115,120
35034,"Huron--Bruce/Huron--Bruce"," 508","Mobile poll/Bureau itinérant",3,49,32,4,1,1,0,90,140
35034,"Huron--Bruce/Huron--Bruce"," 509","Mobile poll/Bureau itinérant",0,59,41,13,1,0,0,114,162
35034,"Huron--Bruce/Huron--Bruce"," 600","Port Elgin",8,591,416,113,63,4,0,1195,
35034,"Huron--Bruce/Huron--Bruce"," 601","Kincardine",10,499,482,112,77,7,0,1187,
35034,"Huron--Bruce/Huron--Bruce"," 602","Walkerton",11,309,266,60,39,1,4,690,
35034,"Huron--Bruce/Huron--Bruce"," 603","Lucknow",6,151,121,34,11,3,1,327,
35034,"Huron--Bruce/Huron--Bruce"," 604","Wingham",6,326,219,61,24,0,6,642,
35034,"Huron--Bruce/Huron--Bruce"," 605","Goderich",4,624,442,150,39,7,4,1270,
35034,"Huron--Bruce/Huron--Bruce"," 606","Clinton ",8,317,233,80,20,1,1,660,
35034,"Huron--Bruce/Huron--Bruce"," 607","Seaforth",5,183,159,53,16,3,0,419,
35034,"Huron--Bruce/Huron--Bruce"," 608","Exeter",8,429,222,86,33,1,2,781,
35034,"Huron--Bruce/Huron--Bruce",,Group 1/Groupe 1,0,43,29,8,5,1,1,87,197
35034,"Huron--Bruce/Huron--Bruce",,Group 2/Groupe 2,8,206,214,57,19,4,11,519,

