Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Harold Albrecht,Orlando Da Silva,Jamie Kropf,Rod McNeil,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 83","Kitchener",94,64,31,45,1,235,566
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 84A","Kitchener",67,43,14,24,1,149,310
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 84B","Kitchener",61,44,13,27,1,146,328
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 84-1","Kitchener",82,64,24,30,0,200,454
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 84-2A","Kitchener",81,64,25,28,1,199,426
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 84-2B","Kitchener",67,51,17,41,1,177,434
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 85","Kitchener",113,71,16,44,1,245,494
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 85-1A","Kitchener",156,76,48,52,1,333,763
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 85-1B","Kitchener",144,76,23,55,1,299,648
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 86","Kitchener",81,78,38,45,0,242,462
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 87","Kitchener",110,69,20,45,1,245,463
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 88","Kitchener",106,59,26,55,0,246,451
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 89","Kitchener",90,47,15,42,0,194,382
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 90","Kitchener",64,36,19,34,0,153,303
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 90-1","Kitchener",61,43,12,12,1,129,219
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 91","Kitchener",79,36,22,42,1,180,347
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 92","Kitchener",77,39,32,39,0,187,425
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 92-1","Kitchener",96,47,15,23,1,182,410
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 93","Kitchener",72,65,10,29,1,177,440
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 94","Kitchener",53,52,22,50,0,177,510
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 95","Kitchener",Void/Supprimé,,,,,,
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 96","Kitchener",75,35,12,60,1,183,406
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 97","Kitchener",103,55,23,35,2,218,425
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 98","Kitchener",104,51,21,32,1,209,409
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 99","Kitchener",98,56,29,59,1,243,458
