Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Blair,Russ Hiebert,Judy Higginbotham,Brian Marlatt,Peter Prontzos,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 107","Surrey",8,80,33,0,18,0,139,303
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 108","Surrey",4,108,31,1,12,0,156,249
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 109","Surrey",13,81,31,1,38,0,164,328
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 110","Surrey",17,74,21,3,17,1,133,316
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 111","Surrey",19,104,42,0,23,2,190,337
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 112","Surrey",10,106,24,0,13,0,153,265
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 113","Surrey",3,153,33,1,19,0,209,363
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 113-1","Surrey",5,114,49,1,25,2,196,332
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 114A","Surrey",7,89,37,0,18,0,151,258
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 114B","Surrey",11,58,42,1,22,0,134,263
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 115","Surrey",13,58,24,0,36,0,131,271
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 116","Surrey",31,88,33,1,42,0,195,267
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 117","Surrey",25,91,53,1,35,0,205,384
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 118","Surrey",20,154,48,0,57,0,279,402
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 119","Surrey",16,180,57,0,30,3,286,478
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 120","Surrey",12,80,32,0,15,0,139,239
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 121","Surrey",15,72,27,1,15,0,130,234
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 121-1","Surrey",16,128,47,0,35,0,226,372
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 122","Surrey",24,112,55,4,42,0,237,442
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 123","Surrey",34,90,43,2,44,0,213,339
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 124","Surrey",38,85,64,1,44,0,232,392
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 125","Surrey",7,54,26,0,20,0,107,213
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 126","Surrey",19,55,39,0,26,0,139,269
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 127","Surrey",25,123,42,0,45,0,235,338
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 128","Surrey",18,95,34,0,32,0,179,351
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 129","Surrey",29,110,31,2,32,0,204,346
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 130","Surrey",8,178,35,1,4,0,226,380
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 130-1","Surrey",6,154,53,0,9,0,222,359
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 131","Surrey",12,219,43,0,8,0,282,451
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 131-1","Surrey",6,145,30,1,4,1,187,274
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 132","Surrey",5,171,42,0,8,0,226,397
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 133","Surrey",8,79,49,0,23,0,159,360
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 134","Surrey",13,133,48,1,25,1,221,403
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 135","Surrey",25,134,48,0,27,0,234,408
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 136","Surrey",8,56,25,1,6,1,97,175
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 137","Surrey",3,128,41,0,22,1,195,344
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 138A","Surrey",18,110,33,1,18,0,180,372
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 138B","Surrey",9,118,36,0,41,0,204,415
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 139","Surrey",18,154,56,1,22,0,251,472
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 140","Surrey",15,77,21,0,9,0,122,237
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 141","Surrey",25,82,24,4,33,0,168,314
