Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joe Comartin,Denise Ghanam,Steve Mastroianni,Kyle Prestanski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 156","Windsor",105,43,50,17,0,215,547
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 157","Windsor",84,49,34,11,0,178,348
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 158","Windsor",96,44,43,8,1,192,416
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 159A","Windsor",54,35,19,3,0,111,242
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 159B","Windsor",63,39,26,13,2,143,287
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 160","Windsor",70,42,21,6,0,139,348
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 161A","Windsor",47,24,18,6,0,95,253
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 161B","Windsor",49,24,24,6,1,104,284
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 162","Windsor",88,60,38,15,1,202,484
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 163","Windsor",77,33,28,11,0,149,324
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 164A","Windsor",47,37,26,3,1,114,313
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 164B","Windsor",47,21,20,4,1,93,284
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 165","Windsor",107,40,43,14,1,205,454
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 166","Windsor",118,57,43,10,1,229,474
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 167","Windsor",102,59,65,11,0,237,519
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 168","Windsor",127,50,45,12,2,236,553
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 169","Windsor",116,43,45,7,0,211,494
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 170","Windsor",95,35,35,12,0,177,415
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 171","Windsor",165,31,46,9,0,251,528
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 172","Tecumseh",108,71,59,13,0,251,479
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 172-1","Tecumseh",74,47,60,17,0,198,413
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 172-2","Tecumseh",78,83,60,24,0,245,496
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 173A","Tecumseh",55,22,41,11,1,130,275
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 173B","Tecumseh",59,44,39,11,1,154,323
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 173-1","Tecumseh",68,53,40,10,0,171,321
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 174","Tecumseh",98,52,38,15,0,203,416
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 175","Tecumseh",55,70,54,7,0,186,370
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 176","Tecumseh",59,58,41,9,0,167,357
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 177","Tecumseh",77,73,50,13,0,213,403
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 178","Tecumseh",83,77,48,15,0,223,392
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 179","Tecumseh",33,97,55,6,1,192,374
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 180A","Tecumseh",30,44,37,6,1,118,271
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 180B","Tecumseh",41,37,43,5,2,128,280
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 181","Tecumseh",81,73,80,17,1,252,484
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 182","Tecumseh",94,52,73,20,1,240,448
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 183","Tecumseh",100,64,55,17,1,237,436
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 184","Tecumseh",82,69,44,11,2,208,402
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 185","Tecumseh",97,63,57,9,1,227,399
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 186","Tecumseh",59,39,31,11,2,142,328
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 187","Tecumseh",84,46,53,15,0,198,452
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 188","Tecumseh",103,38,40,13,1,195,370
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 189","Tecumseh",83,48,57,20,1,209,428
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 190","Tecumseh",84,84,34,19,0,221,404
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 191","Tecumseh",73,59,43,15,0,190,395
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 192","Tecumseh",76,40,32,20,0,168,358
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 193","Tecumseh",78,33,26,5,0,142,311
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 194A","Tecumseh",82,26,31,9,0,148,316
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 194B","Tecumseh",71,35,21,6,1,134,296
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 195","Tecumseh",84,26,38,10,0,158,327
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 196","Tecumseh",88,45,45,7,4,189,367
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 197","Tecumseh",97,39,31,11,0,178,373
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 198","Tecumseh",105,63,34,9,0,211,471
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 199","Tecumseh",86,28,26,7,1,148,278
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 200","Tecumseh",Void/Supprimé,,,,,,
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 201A","Tecumseh",70,47,43,8,0,168,375
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 201B","Tecumseh",73,43,56,10,0,182,354
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 201-1","Tecumseh",69,67,77,11,1,225,415
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 202","Tecumseh",108,72,78,19,0,277,516
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 203","Tecumseh",111,40,47,13,4,215,427
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 204","Tecumseh",86,71,106,12,4,279,507
