Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raphaël Déry,Pierre Ducasse,Paul Fréchette,Gabriel Girard-Bernier,Frédéric Pouyot,Marcel Proulx,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24023,"Hull--Aylmer/Hull--Aylmer"," 118","Hull",56,36,49,1,5,66,1,214,399
24023,"Hull--Aylmer/Hull--Aylmer"," 119","Hull",39,28,27,0,6,64,0,164,359
24023,"Hull--Aylmer/Hull--Aylmer"," 120","Hull",20,22,13,0,2,22,0,79,201
24023,"Hull--Aylmer/Hull--Aylmer"," 121","Hull",32,14,13,0,5,28,1,93,315
24023,"Hull--Aylmer/Hull--Aylmer"," 122","Hull",37,37,9,1,7,45,0,136,288
24023,"Hull--Aylmer/Hull--Aylmer"," 123","Hull",33,24,28,1,7,40,4,137,417
24023,"Hull--Aylmer/Hull--Aylmer"," 124","Hull",42,36,26,1,14,78,1,198,500
24023,"Hull--Aylmer/Hull--Aylmer"," 125","Hull",Void/Supprimé,,,,,,,,
24023,"Hull--Aylmer/Hull--Aylmer"," 126","Hull",28,20,14,0,8,47,0,117,316
24023,"Hull--Aylmer/Hull--Aylmer"," 127A","Hull",40,55,30,0,10,52,0,187,309
24023,"Hull--Aylmer/Hull--Aylmer"," 127B","Hull",32,61,36,0,10,91,2,232,353
24023,"Hull--Aylmer/Hull--Aylmer"," 128","Hull",59,58,25,0,7,90,0,239,362
24023,"Hull--Aylmer/Hull--Aylmer"," 128-1","Hull",54,53,34,0,7,95,0,243,373
24023,"Hull--Aylmer/Hull--Aylmer"," 128-2","Hull",54,44,28,0,4,77,0,207,381
24023,"Hull--Aylmer/Hull--Aylmer"," 129A","Hull",35,52,20,0,7,61,0,175,348
24023,"Hull--Aylmer/Hull--Aylmer"," 129B","Hull",51,50,30,0,15,49,0,195,403
24023,"Hull--Aylmer/Hull--Aylmer"," 130","Hull",61,53,21,0,12,62,1,210,309
24023,"Hull--Aylmer/Hull--Aylmer"," 130-1","Hull",41,47,34,0,14,75,1,212,332
24023,"Hull--Aylmer/Hull--Aylmer"," 131","Hull",66,57,34,0,17,98,0,272,398
24023,"Hull--Aylmer/Hull--Aylmer"," 132","Hull",99,59,33,1,14,62,0,268,425
24023,"Hull--Aylmer/Hull--Aylmer"," 133","Hull",55,56,20,0,4,74,2,211,323
24023,"Hull--Aylmer/Hull--Aylmer"," 134","Hull",40,63,31,0,8,69,0,211,429
24023,"Hull--Aylmer/Hull--Aylmer"," 134-1","Hull",67,73,28,0,7,99,2,276,448
24023,"Hull--Aylmer/Hull--Aylmer"," 135","Hull",49,36,29,0,8,84,1,207,317
24023,"Hull--Aylmer/Hull--Aylmer"," 136","Hull",108,50,46,1,13,123,9,350,550
24023,"Hull--Aylmer/Hull--Aylmer"," 137","Hull",48,34,16,0,8,54,1,161,353
24023,"Hull--Aylmer/Hull--Aylmer"," 138","Hull",39,28,11,0,2,39,1,120,320
24023,"Hull--Aylmer/Hull--Aylmer"," 139","Hull",31,37,18,0,4,46,1,137,330
24023,"Hull--Aylmer/Hull--Aylmer"," 140","Hull",52,16,17,0,5,43,1,134,315
24023,"Hull--Aylmer/Hull--Aylmer"," 141","Hull",43,33,28,0,12,85,1,202,376
