Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Christelle Bogosta,Pierre Brassard,David Marler,Christian Ouellet,Denis Paradis,Mark Quinlan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24010,"Brome--Missisquoi/Brome--Missisquoi"," 159","Magog",10,5,0,79,37,20,2,153,331
24010,"Brome--Missisquoi/Brome--Missisquoi"," 160","Magog",17,7,2,67,48,22,4,167,358
24010,"Brome--Missisquoi/Brome--Missisquoi"," 161A","Magog",14,1,1,40,32,17,2,107,302
24010,"Brome--Missisquoi/Brome--Missisquoi"," 161B","Mobile poll/Bureau itinérant",Merged with No. 156C/Fusionné avec le nº 156C,,,,,,,,33
24010,"Brome--Missisquoi/Brome--Missisquoi"," 162A","Magog",17,9,2,80,45,32,5,190,441
24010,"Brome--Missisquoi/Brome--Missisquoi"," 162B ","Mobile poll/Bureau itinérant",3,2,3,24,43,20,4,99,67
24010,"Brome--Missisquoi/Brome--Missisquoi"," 163","Magog",21,5,2,91,47,39,6,211,413
24010,"Brome--Missisquoi/Brome--Missisquoi"," 164A","Magog",21,6,0,88,51,36,3,205,329
24010,"Brome--Missisquoi/Brome--Missisquoi"," 164B","Magog",26,1,0,79,49,26,2,183,344
24010,"Brome--Missisquoi/Brome--Missisquoi"," 165A","Magog",24,10,0,110,68,36,1,249,427
24010,"Brome--Missisquoi/Brome--Missisquoi"," 165B","Magog",21,10,1,107,39,42,3,223,427
24010,"Brome--Missisquoi/Brome--Missisquoi"," 166A","Magog",11,8,0,51,75,51,1,197,329
24010,"Brome--Missisquoi/Brome--Missisquoi"," 166B","Magog",8,6,1,80,75,30,0,200,333
24010,"Brome--Missisquoi/Brome--Missisquoi"," 167A","Magog",27,9,0,66,85,44,0,231,336
24010,"Brome--Missisquoi/Brome--Missisquoi"," 167B","Mobile poll/Bureau itinérant",Merged with No. 142B/Fusionné avec le nº 142B,,,,,,,,6
24010,"Brome--Missisquoi/Brome--Missisquoi"," 600","Venise-en-Québec",28,14,1,146,176,105,8,478,
24010,"Brome--Missisquoi/Brome--Missisquoi"," 601","Bedford",37,15,8,162,217,125,4,568,
24010,"Brome--Missisquoi/Brome--Missisquoi"," 602","Farnham",34,12,7,237,231,137,5,663,
24010,"Brome--Missisquoi/Brome--Missisquoi"," 603","Bromont",44,22,1,242,201,149,3,662,
24010,"Brome--Missisquoi/Brome--Missisquoi"," 604","Cowansville",53,15,13,288,361,244,3,977,
24010,"Brome--Missisquoi/Brome--Missisquoi"," 605","Lac-Brome",50,30,14,141,364,181,3,783,
24010,"Brome--Missisquoi/Brome--Missisquoi"," 606","Orford",28,8,5,231,134,103,3,512,
24010,"Brome--Missisquoi/Brome--Missisquoi"," 607","Magog",71,25,9,526,334,313,5,1283,
24010,"Brome--Missisquoi/Brome--Missisquoi"," 608","Magog",37,25,4,375,264,195,5,905,
24010,"Brome--Missisquoi/Brome--Missisquoi"," 609","Sutton",26,23,2,123,240,117,0,531,
24010,"Brome--Missisquoi/Brome--Missisquoi",,Group 1/Groupe 1,5,6,2,34,25,28,3,103,197
24010,"Brome--Missisquoi/Brome--Missisquoi",,Group 2/Groupe 2,39,16,10,192,280,181,19,737,

