Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Réjean Bériault,Ghislaine Cournoyer,Rebecca Laplante,Louis Plamondon,Nourredine Seddiki,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 171A","Sorel",19,31,6,131,23,2,212,431
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 171B","Mobile poll/Bureau itinérant",Merged with No. 506/Fusionné avec le nº 506,,,,,,,8
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 172","Sorel",20,15,2,100,13,5,155,340
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 173","Sorel",35,34,2,112,22,1,206,390
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 174","Sorel",28,42,7,107,21,6,211,406
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 175","Sorel",33,56,5,146,19,3,262,454
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 176","Sorel",28,30,8,113,16,6,201,433
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 177","Sorel",24,41,7,112,13,4,201,384
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 178","Sorel",40,32,7,108,22,3,212,357
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 179","Sorel",31,49,7,166,31,6,290,477
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 180","Sorel",41,46,2,166,37,6,298,508
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 181","Sorel",29,27,7,109,14,3,189,311
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 182","Sorel",26,36,6,128,34,7,237,391
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 183","Sorel",25,21,4,128,28,3,209,363
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 184","Sorel",16,17,2,104,19,0,158,310
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 185","Sorel",14,30,2,114,20,4,184,395
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 186","Sorel",24,27,5,88,13,2,159,347
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 187","Sorel",40,33,2,121,20,2,218,444
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 188","Sorel",16,16,4,115,13,2,166,321
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 189","Saint-Robert",31,22,4,121,12,5,195,384
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 190","Saint-Robert",11,7,0,57,4,2,81,154
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 191","Saint-Robert",11,16,7,66,5,5,110,208
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 192","Saint-Robert",30,25,4,94,10,3,166,333
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 193A","Sainte-Victoire-de-Sorel",18,21,5,110,18,3,175,314
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 193B","Sainte-Victoire-de-Sorel",24,24,2,100,22,5,177,293
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 194","Sainte-Victoire-de-Sorel",38,29,14,165,24,5,275,479
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 195","Sainte-Victoire-de-Sorel",34,32,6,162,20,3,257,455
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 196","Sainte-Victoire-de-Sorel",28,42,7,106,14,4,201,380
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 197","Saint-Robert",42,31,6,119,9,7,214,381
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 198","Saint-Aimé",36,41,4,148,23,5,257,379
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 199","Massueville",15,13,2,92,11,8,141,228
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 200","Massueville",14,11,6,83,8,1,123,193
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 201","Saint-Roch-de-Richelieu",21,18,9,132,26,1,207,333
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 201-1","Saint-Roch-de-Richelieu",26,16,5,136,23,3,209,354
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 202","Saint-Ours",62,49,8,176,27,6,328,500
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 203","Saint-Roch-de-Richelieu",40,27,5,173,35,3,283,446
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 204","Saint-Roch-de-Richelieu",40,37,7,150,25,4,263,432
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 205","Saint-Ours",22,22,12,97,13,0,166,231
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 206","Saint-Ours",15,24,7,86,12,1,145,214
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 207","Saint-Ours",31,42,16,175,22,4,290,418
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 500","Mobile poll/Bureau itinérant",12,17,3,22,1,1,56,122
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 501","Mobile poll/Bureau itinérant",15,24,1,32,2,1,75,107
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 502","Mobile poll/Bureau itinérant",3,18,3,13,0,1,38,53
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 503","Mobile poll/Bureau itinérant",26,54,1,34,0,3,118,140
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 504","Mobile poll/Bureau itinérant",15,22,0,55,1,0,93,182
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 505","Mobile poll/Bureau itinérant",12,32,1,23,0,6,74,156
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 506","Mobile poll/Bureau itinérant",14,29,0,28,1,4,76,111
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 600","Saint-Pierre-les-Becquets",58,42,5,107,7,0,219,
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 601","Bécancour",96,37,22,181,16,3,355,
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 602","Sainte-Eulalie--Sainte-Monique",74,68,8,151,16,3,320,
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 603","Nicolet--Saint-Zéphirin-de-Courval",164,161,19,362,36,10,752,
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 604","Pierreville--Saint-François-du-Lac",68,69,2,226,11,6,382,
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 605","Sainte-Anne-de-Sorel--Yamaska",60,77,5,171,18,3,334,
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 606","Sorel",70,89,3,228,23,4,417,
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 607","Sorel",86,62,3,233,10,5,399,
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 608","Tracy",49,65,1,197,15,4,331,
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 609","Tracy",154,122,16,427,60,9,788,
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 610","Sorel",186,143,25,478,65,8,905,
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 611","Sainte-Victoire-de-Sorel",42,53,7,162,21,3,288,
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour",,Group 1/Groupe 1,42,18,5,52,2,9,128,230
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour",,Group 2/Groupe 2,416,255,20,1131,61,44,1927,

