Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Betty Bekkering,Hilary Crowley,Lindsay Gidney,Jay Hill,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59022,"Prince George--Peace River/Prince George--Peace River"," 189","Dawson Creek",22,16,8,73,1,120,370
59022,"Prince George--Peace River/Prince George--Peace River"," 190","Dawson Creek",28,14,6,81,1,130,427
59022,"Prince George--Peace River/Prince George--Peace River"," 191","Dome Creek",3,10,0,10,0,23,37
59022,"Prince George--Peace River/Prince George--Peace River"," 192","Crescent Spur",1,3,0,8,0,12,36
59022,"Prince George--Peace River/Prince George--Peace River"," 193","McBride",39,45,22,131,0,237,417
59022,"Prince George--Peace River/Prince George--Peace River"," 194","McBride",38,18,12,86,0,154,343
59022,"Prince George--Peace River/Prince George--Peace River"," 195","McBride",12,8,8,59,0,87,166
59022,"Prince George--Peace River/Prince George--Peace River"," 196","Dunster",8,34,8,54,1,105,174
59022,"Prince George--Peace River/Prince George--Peace River"," 500","Mobile poll/Bureau itinérant",11,5,10,101,1,128,233
59022,"Prince George--Peace River/Prince George--Peace River"," 501","Mobile poll/Bureau itinérant",7,3,7,54,0,71,113
59022,"Prince George--Peace River/Prince George--Peace River"," 502","Mobile poll/Bureau itinérant",7,3,4,54,0,68,99
59022,"Prince George--Peace River/Prince George--Peace River"," 503","Mobile poll/Bureau itinérant",39,13,19,53,2,126,180
59022,"Prince George--Peace River/Prince George--Peace River"," 504","Mobile poll/Bureau itinérant",11,7,9,18,1,46,148
59022,"Prince George--Peace River/Prince George--Peace River"," 600","Fort Nelson",15,20,10,106,0,151,
59022,"Prince George--Peace River/Prince George--Peace River"," 601","Mackenzie",28,9,18,121,1,177,
59022,"Prince George--Peace River/Prince George--Peace River"," 602","Charlie Lake",20,17,5,171,0,213,
59022,"Prince George--Peace River/Prince George--Peace River"," 603","Taylor--Fort St. John",10,7,1,102,0,120,
59022,"Prince George--Peace River/Prince George--Peace River"," 604","Fort St. John",28,23,25,237,1,314,
