Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mike Bocking,Mike Gildersleeve,Randy Kamp,Jeff Monds,Evans Nicholson,Dan Olson,Chum Richardson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 136-1B","Mission",47,10,122,0,0,9,0,0,188,322
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 137","Mission",72,15,167,1,1,19,0,0,275,505
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 138","Mission",55,12,137,1,0,15,0,1,221,439
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 139A","Mission",74,16,116,1,1,7,0,2,217,403
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 139B","Mission",60,19,105,1,1,11,5,1,203,355
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 140A","Mission",57,10,86,1,0,6,0,0,160,281
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 140B","Mission",41,17,70,2,0,9,0,1,140,277
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 141","Mission",75,22,136,1,1,18,1,1,255,463
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 142","Mission",89,28,106,2,1,15,0,1,242,485
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 143","Mission",Void/Supprimé,,,,,,,,,
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 144","Mission",127,15,99,1,1,16,0,0,259,528
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 145","Mission",112,15,102,0,1,16,0,1,247,501
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 146","Mission",98,17,132,1,0,19,0,3,270,453
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 147A","Mission",49,15,76,0,0,7,0,0,147,298
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 147B","Mission",52,14,72,4,0,10,0,0,152,276
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 148","Mission",79,19,171,2,4,17,0,0,292,525
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 148-1A","Mission",58,9,95,0,1,12,0,0,175,284
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 148-1B","Mission",50,5,95,1,1,11,0,0,163,306
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 149","Mission",77,29,167,2,0,23,0,2,300,517
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 150","Mission",38,10,83,0,1,12,1,2,147,267
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 151","Mission",97,17,150,1,2,27,2,1,297,555
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 152","Mission",94,22,119,0,0,17,0,0,252,424
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 153A","Mission",63,18,96,1,0,9,0,0,187,308
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 153B","Mission",58,10,83,2,0,7,0,1,161,286
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 154","Mission",87,26,181,1,1,17,1,0,314,557
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 155","Mission",Void/Supprimé,,,,,,,,,
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 156","Mission",92,19,89,0,1,8,0,5,214,431
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 157","Mission",107,18,57,4,1,11,0,1,199,381
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 158","Mission",66,13,58,3,1,5,1,1,148,283
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 158-1","Mission",58,14,52,1,1,7,1,0,134,331
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 159","Mission",51,14,55,2,0,6,1,0,129,278
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 160","Mission",63,14,100,1,3,11,0,0,192,422
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 161","Mission",65,12,51,1,0,17,0,0,146,329
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 162","Mission",62,13,49,0,0,4,0,0,128,308
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 163","Mission",90,24,136,0,1,9,1,1,262,480
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 164","Mission",94,21,91,1,1,13,0,0,221,431
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 165","Mission",48,10,71,2,1,13,0,0,145,291
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 166","Mission",61,9,94,2,0,5,0,0,171,301
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 166-1","Mission",67,11,102,1,0,7,0,0,188,337
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 167","Mission",63,10,65,0,0,9,0,0,147,282
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 168","Mission",58,9,93,4,0,7,0,1,172,323
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 169A","Mission",54,13,60,1,0,6,1,0,135,309
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 169B","Mission",40,9,50,1,0,5,0,0,105,293
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 170","Mission",81,21,79,0,2,14,0,0,197,417
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 171","Mission",70,23,127,2,0,15,0,0,237,397
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 172","Mission",101,21,124,2,2,18,0,0,268,495
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 173","Mission",46,6,71,2,0,13,0,2,140,306
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 174","Mission",87,18,78,0,0,13,0,0,196,372
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 175","Mission",61,16,85,0,0,6,0,0,168,369
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 176","Mission",59,12,53,0,0,14,0,1,139,363
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 177","Mission",59,14,59,2,0,11,1,0,146,399
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 178A","Mission",94,11,87,2,2,10,1,0,207,415
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 178B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,,,39
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 179","Mission",81,10,45,1,0,10,0,1,148,331
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 500","Mobile poll/Bureau itinérant",23,5,50,5,6,11,2,4,106,175
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 501","Mobile poll/Bureau itinérant",40,11,68,0,3,18,1,2,143,229
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 502","Mobile poll/Bureau itinérant",27,1,24,2,2,8,0,0,64,111
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 503","Mobile poll/Bureau itinérant",27,9,59,3,4,9,0,0,111,137
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 600","Durieu",9,3,26,0,0,0,0,0,38,
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 601","Pitt Meadows",167,33,278,1,0,19,0,3,501,
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 602","Pitt Meadows",94,19,184,2,0,23,0,1,323,
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 603","Maple Ridge",82,27,213,0,2,14,0,0,338,
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 604","Maple Ridge",121,22,274,0,2,35,0,2,456,
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 605","Maple Ridge",53,8,156,1,0,8,0,0,226,
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 606","Maple Ridge",64,9,116,0,1,11,0,0,201,
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 607","Maple Ridge",146,88,326,3,1,33,1,1,599,
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 608","Maple Ridge",128,17,186,1,0,25,2,0,359,
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 609","Maple Ridge",104,12,228,1,0,25,0,1,371,
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 610","Mission",73,22,197,3,0,10,0,0,305,
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 611","Mission",113,16,276,2,2,20,2,0,431,
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 612","Mission",101,14,138,2,1,8,0,0,264,
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 613","Mission",105,15,180,2,0,15,1,1,319,
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission",,Group 1/Groupe 1,28,11,42,1,0,26,0,1,109,169
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission",,Group 2/Groupe 2,153,23,360,2,1,31,0,8,578,

