Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Andres,Inky Mark,Wendy Menzies,Charles Prefontaine,Kate Storey,Ron Strynadka,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 605","Camperville",0,5,1,0,0,5,0,11,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 606","Winnipegosis",3,36,7,0,5,10,0,61,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 607","Roblin",2,89,16,0,10,24,0,141,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 608","Grandview--Gilbert Plains",1,48,13,0,14,23,0,99,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 609","Dauphin",0,101,21,0,4,17,1,144,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 610","Dauphin",5,336,54,1,36,79,2,513,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 611","Waterhen",0,2,1,0,2,6,0,11,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 612","Ste. Rose du Lac",2,42,16,0,7,7,0,74,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 613","Crane River 51",0,3,0,0,0,6,0,9,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 614","Russell",0,100,14,0,5,10,1,130,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 615","Waywayseecappo First Nation",1,10,9,0,4,15,0,39,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 616","Rossburn",0,39,1,0,6,7,0,53,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 617","Sandy Lake ",0,28,2,0,0,5,0,35,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 618","McCreary",1,27,17,0,2,11,0,58,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 619","Ebb and Flow 52",0,3,8,1,0,12,0,24,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 620","Sandy Bay",0,3,14,7,0,12,3,39,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 621","Birtle",1,51,4,0,10,7,0,73,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 622","Hamiota",0,37,1,0,1,1,0,40,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 623","Shoal Lake",0,34,4,0,2,3,0,43,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 624","Minnedosa",0,141,46,0,24,24,2,237,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 625","Neepawa",1,144,65,0,13,13,0,236,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 626","Gladstone",0,32,9,0,5,3,0,49,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette",,Group 1/Groupe 1,2,22,21,1,7,19,1,73,125
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette",,Group 2/Groupe 2,3,246,46,1,35,46,7,384,

