Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Phil Brown,Lori Gadzala,Ed Mahfouz,Pierre Poilievre,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35052,"Nepean--Carleton/Nepean--Carleton"," 186","Rideau",29,52,55,133,1,270,453
35052,"Nepean--Carleton/Nepean--Carleton"," 187","Rideau",14,59,51,107,1,232,440
35052,"Nepean--Carleton/Nepean--Carleton"," 188","Rideau",17,31,30,112,0,190,356
35052,"Nepean--Carleton/Nepean--Carleton"," 189","Rideau",17,62,50,170,2,301,484
35052,"Nepean--Carleton/Nepean--Carleton"," 190","Rideau",8,29,34,91,0,162,255
35052,"Nepean--Carleton/Nepean--Carleton"," 190-1","Rideau",14,51,65,193,0,323,523
35052,"Nepean--Carleton/Nepean--Carleton"," 191","Rideau",16,22,16,125,2,181,321
35052,"Nepean--Carleton/Nepean--Carleton"," 192","Rideau",14,38,23,130,2,207,372
35052,"Nepean--Carleton/Nepean--Carleton"," 193","Rideau",11,28,17,116,0,172,271
35052,"Nepean--Carleton/Nepean--Carleton"," 194","Rideau",16,41,42,145,1,245,388
35052,"Nepean--Carleton/Nepean--Carleton"," 195","Rideau",12,21,32,115,1,181,270
35052,"Nepean--Carleton/Nepean--Carleton"," 196","Rideau",25,55,47,159,1,287,412
35052,"Nepean--Carleton/Nepean--Carleton"," 197","Rideau",9,19,40,153,1,222,351
35052,"Nepean--Carleton/Nepean--Carleton"," 198","Rideau",9,22,14,155,1,201,363
35052,"Nepean--Carleton/Nepean--Carleton"," 199","Rideau",21,44,23,159,1,248,432
35052,"Nepean--Carleton/Nepean--Carleton"," 200","Rideau",31,31,43,174,0,279,441
35052,"Nepean--Carleton/Nepean--Carleton"," 201","Rideau",30,57,53,257,1,398,639
35052,"Nepean--Carleton/Nepean--Carleton"," 202","Rideau",28,38,27,186,1,280,450
35052,"Nepean--Carleton/Nepean--Carleton"," 203","Rideau",26,38,37,170,0,271,464
35052,"Nepean--Carleton/Nepean--Carleton"," 204","Rideau",30,58,52,228,0,368,584
35052,"Nepean--Carleton/Nepean--Carleton"," 205","Rideau",17,45,25,137,1,225,341
35052,"Nepean--Carleton/Nepean--Carleton"," 206","Rideau",14,25,22,124,1,186,295
35052,"Nepean--Carleton/Nepean--Carleton"," 500","Mobile poll/Bureau itinérant",6,3,16,56,1,82,168
35052,"Nepean--Carleton/Nepean--Carleton"," 501","Mobile poll/Bureau itinérant",17,8,47,72,1,145,270
35052,"Nepean--Carleton/Nepean--Carleton"," 502","Mobile poll/Bureau itinérant",7,2,23,79,1,112,221
35052,"Nepean--Carleton/Nepean--Carleton"," 503","Mobile poll/Bureau itinérant",8,7,25,81,4,125,187
35052,"Nepean--Carleton/Nepean--Carleton"," 600","Nepean--Bells Corners",39,29,88,293,1,450,
35052,"Nepean--Carleton/Nepean--Carleton"," 601","Nepean--Bells Corners",24,32,73,220,0,349,
35052,"Nepean--Carleton/Nepean--Carleton"," 602","Nepean",51,53,167,386,5,662,
35052,"Nepean--Carleton/Nepean--Carleton"," 603","Nepean",47,30,127,357,1,562,
35052,"Nepean--Carleton/Nepean--Carleton"," 604","Nepean",42,56,173,426,2,699,
35052,"Nepean--Carleton/Nepean--Carleton"," 605","Nepean--Chapman Mills",28,44,133,284,3,492,
35052,"Nepean--Carleton/Nepean--Carleton"," 606","Nepean--Longfields",57,54,208,517,3,839,
35052,"Nepean--Carleton/Nepean--Carleton"," 607","Nepean--Barrhaven",39,60,134,426,1,660,
35052,"Nepean--Carleton/Nepean--Carleton"," 608","Nepean--Barrhaven",56,43,142,366,3,610,
35052,"Nepean--Carleton/Nepean--Carleton"," 609","Nepean--Barrhaven",59,56,198,501,3,817,
35052,"Nepean--Carleton/Nepean--Carleton"," 610","Nepean--Longfields",35,56,154,368,2,615,
35052,"Nepean--Carleton/Nepean--Carleton"," 611","Gloucester South",36,53,137,483,0,709,
35052,"Nepean--Carleton/Nepean--Carleton"," 612","Osgoode--Greely",29,52,81,419,0,581,
35052,"Nepean--Carleton/Nepean--Carleton"," 613","Osgoode--Greely",27,43,65,415,3,553,
35052,"Nepean--Carleton/Nepean--Carleton"," 614","Osgoode--Metcalfe",23,69,62,324,1,479,
35052,"Nepean--Carleton/Nepean--Carleton"," 615","Rideau--Manotick",31,90,137,417,3,678,
35052,"Nepean--Carleton/Nepean--Carleton"," 616","Rideau--North Gower",28,51,54,447,2,582,
35052,"Nepean--Carleton/Nepean--Carleton",,Group 1/Groupe 1,20,22,77,244,8,371,671
35052,"Nepean--Carleton/Nepean--Carleton",,Group 2/Groupe 2,42,69,166,375,13,665,

