Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Catherine Bell,Jason Draper,John Duncan,Geoff Fleischer,Philip Stone,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59031,"Vancouver Island North/Île de Vancouver-Nord"," 218B","Cumberland",96,0,58,1,26,0,181,312
59031,"Vancouver Island North/Île de Vancouver-Nord"," 219","Royston",89,1,93,10,22,0,215,378
59031,"Vancouver Island North/Île de Vancouver-Nord"," 220","Royston",84,2,83,8,12,1,190,286
59031,"Vancouver Island North/Île de Vancouver-Nord"," 220-1","Comox-Strathcona A",74,0,54,9,19,0,156,300
59031,"Vancouver Island North/Île de Vancouver-Nord"," 221A","Royston",64,3,52,8,21,0,148,256
59031,"Vancouver Island North/Île de Vancouver-Nord"," 221B","Royston",73,1,63,7,17,0,161,251
59031,"Vancouver Island North/Île de Vancouver-Nord"," 222","Union Bay",83,0,103,14,20,1,221,327
59031,"Vancouver Island North/Île de Vancouver-Nord"," 223","Union Bay",73,0,129,7,17,0,226,338
59031,"Vancouver Island North/Île de Vancouver-Nord"," 224","Union Bay",38,3,45,2,11,0,99,158
59031,"Vancouver Island North/Île de Vancouver-Nord"," 225A","Union Bay",60,1,103,11,10,0,185,313
59031,"Vancouver Island North/Île de Vancouver-Nord"," 225B","Union Bay",97,0,99,9,14,1,220,327
59031,"Vancouver Island North/Île de Vancouver-Nord"," 226","Denman Island",219,0,52,6,22,0,299,402
59031,"Vancouver Island North/Île de Vancouver-Nord"," 227A","Union Bay",105,3,117,9,8,0,242,362
59031,"Vancouver Island North/Île de Vancouver-Nord"," 227B","Union Bay",87,2,107,7,21,0,224,355
59031,"Vancouver Island North/Île de Vancouver-Nord"," 228","Fanny Bay",16,0,23,1,4,0,44,66
59031,"Vancouver Island North/Île de Vancouver-Nord"," 229","Denman Island",101,1,30,3,13,0,148,212
59031,"Vancouver Island North/Île de Vancouver-Nord"," 230","Denman Island",141,0,42,7,17,1,208,292
59031,"Vancouver Island North/Île de Vancouver-Nord"," 231","Hornby Island",204,0,36,5,13,0,258,356
59031,"Vancouver Island North/Île de Vancouver-Nord"," 232","Hornby Island",259,0,35,12,17,0,323,463
59031,"Vancouver Island North/Île de Vancouver-Nord"," 400","Comox",26,3,88,8,8,0,133,146
59031,"Vancouver Island North/Île de Vancouver-Nord"," 401","Courtenay",37,3,38,6,1,2,87,113
59031,"Vancouver Island North/Île de Vancouver-Nord"," 500","Mobile poll/Bureau itinérant",46,5,43,9,3,4,110,205
59031,"Vancouver Island North/Île de Vancouver-Nord"," 501","Mobile poll/Bureau itinérant",23,2,21,6,1,3,56,72
59031,"Vancouver Island North/Île de Vancouver-Nord"," 502","Mobile poll/Bureau itinérant",28,1,28,8,6,0,71,89
59031,"Vancouver Island North/Île de Vancouver-Nord"," 600","Port Hardy",62,1,102,13,13,3,194,
59031,"Vancouver Island North/Île de Vancouver-Nord"," 601","Port McNeill",86,2,110,6,13,0,217,
59031,"Vancouver Island North/Île de Vancouver-Nord"," 602","Campbell River--Sayward",108,1,163,5,20,1,298,
59031,"Vancouver Island North/Île de Vancouver-Nord"," 603","Campbell River--Quinsam 12",70,2,173,11,8,3,267,
59031,"Vancouver Island North/Île de Vancouver-Nord"," 604","Campbell River",254,7,385,21,40,1,708,
59031,"Vancouver Island North/Île de Vancouver-Nord"," 605","Campbell River",123,5,223,13,22,0,386,
59031,"Vancouver Island North/Île de Vancouver-Nord"," 606","Gold River",57,0,75,2,9,0,143,
59031,"Vancouver Island North/Île de Vancouver-Nord"," 607","Merville",122,0,189,17,17,0,345,
59031,"Vancouver Island North/Île de Vancouver-Nord"," 608","Courtenay--Comox 1",165,2,321,36,31,0,555,
59031,"Vancouver Island North/Île de Vancouver-Nord"," 609","Courtenay",189,5,239,14,50,3,500,
59031,"Vancouver Island North/Île de Vancouver-Nord"," 610","Royston--Mud Bay",110,0,141,6,17,1,275,
59031,"Vancouver Island North/Île de Vancouver-Nord"," 611","Comox",167,0,430,22,25,0,644,
59031,"Vancouver Island North/Île de Vancouver-Nord"," 612","Comox",199,4,500,44,32,2,781,
59031,"Vancouver Island North/Île de Vancouver-Nord"," 613","Campbell River--Homalco 9",154,2,269,20,24,0,469,
59031,"Vancouver Island North/Île de Vancouver-Nord"," 614","Lewis Park",206,1,491,32,31,1,762,
59031,"Vancouver Island North/Île de Vancouver-Nord"," 615","Cumberland",100,0,84,7,10,0,201,
59031,"Vancouver Island North/Île de Vancouver-Nord",,Group 1/Groupe 1,56,1,173,30,23,7,290,627
59031,"Vancouver Island North/Île de Vancouver-Nord",,Group 2/Groupe 2,786,5,1300,87,124,32,2334,

