Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Diana Cabott,Ron Cannan,Mark Haley,Tish Lakes,Angela Reid,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 189-1","Kelowna",39,128,0,23,28,1,219,398
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 190","Oyama",24,93,0,37,43,0,197,317
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 191","Oyama",33,119,0,30,44,0,226,409
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 192","Winfield",30,123,0,44,47,0,244,496
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 193","Winfield",14,97,0,28,22,4,165,339
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 194A","Winfield",19,82,0,30,26,0,157,314
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 194B","Winfield",22,72,0,33,29,0,156,301
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 195","Ellison",18,150,0,30,27,1,226,374
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 196","Ellison",19,94,1,24,25,1,164,342
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 197A","Ellison",20,110,0,11,17,1,159,272
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 197B","Ellison",14,114,0,27,13,0,168,301
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 198","Ellison",23,167,0,41,42,1,274,467
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 199","Ellison",42,155,1,48,30,1,277,472
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 200A","Joe Rich",19,49,0,13,20,0,101,238
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 200B","Joe Rich",15,68,0,28,27,0,138,285
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 200-1","Central Okanagan",11,22,1,10,9,0,53,85
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 201","Joe Rich",18,54,1,16,18,0,107,201
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 400","Kelowna",23,33,2,16,8,0,82,125
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 500","Mobile poll/Bureau itinérant",12,34,2,24,7,0,79,93
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 501","Mobile poll/Bureau itinérant",6,12,0,5,7,0,30,59
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 502","Mobile poll/Bureau itinérant",21,35,1,11,2,5,75,106
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 503","Mobile poll/Bureau itinérant",7,37,1,9,2,0,56,92
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 504","Mobile poll/Bureau itinérant",14,104,0,14,6,3,141,162
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 505","Mobile poll/Bureau itinérant",22,89,3,17,5,2,138,237
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 506","Mobile poll/Bureau itinérant",15,27,1,9,7,0,59,75
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 507","Mobile poll/Bureau itinérant",21,130,1,23,11,2,188,258
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 508","Mobile poll/Bureau itinérant",19,100,4,29,15,0,167,237
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 509","Mobile poll/Bureau itinérant",29,109,1,14,5,1,159,186
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 510","Mobile poll/Bureau itinérant",21,67,0,21,5,3,117,145
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 511","Mobile poll/Bureau itinérant",22,68,1,19,6,2,118,148
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 512","Mobile poll/Bureau itinérant",16,93,0,16,6,0,131,202
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 600","Lake Country--Duck Lake",53,184,0,32,28,0,297,
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 601","Lake Country--Duck Lake",25,166,1,38,17,2,249,
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 602","Kelowna",50,213,1,42,21,0,327,
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 603","Kelowna",43,169,1,60,37,3,313,
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 604","Kelowna",31,145,2,40,17,0,235,
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 605","Kelowna",57,259,0,64,10,1,391,
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 606","Kelowna",26,204,1,50,34,0,315,
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 607","Kelowna",50,203,1,30,32,1,317,
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 608","Kelowna",62,268,1,41,29,1,402,
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 609","Kelowna",57,268,1,40,22,2,390,
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 610","Kelowna",54,154,3,57,37,0,305,
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 611","Kelowna",47,104,2,30,27,0,210,
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 612","Kelowna",40,118,1,27,15,1,202,
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 613","Kelowna",55,291,3,46,22,0,417,
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 614","Kelowna",69,291,0,49,43,0,452,
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 615","Kelowna",53,183,0,16,46,0,298,
59011,"Kelowna--Lake Country/Kelowna--Lake Country"," 616","Kelowna",81,279,0,22,47,0,429,
59011,"Kelowna--Lake Country/Kelowna--Lake Country",,Group 1/Groupe 1,41,54,0,33,21,3,152,201
59011,"Kelowna--Lake Country/Kelowna--Lake Country",,Group 2/Groupe 2,163,634,6,99,118,15,1035,

