Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Philip Bender,Manuel Couto,Drew Garvie,Tom King,Kornelis Klevering,Gloria Kovach,Karen Levenson,Mike Nagy,John Turmel,Frank Valeriote,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35027,"Guelph/Guelph"," 134","Guelph",0,0,0,55,1,37,0,53,0,70,0,216,372
35027,"Guelph/Guelph"," 135","Guelph",0,0,0,35,0,22,0,28,0,30,0,115,272
35027,"Guelph/Guelph"," 136","Guelph",0,1,1,50,1,45,0,54,0,46,0,198,344
35027,"Guelph/Guelph"," 137","Guelph",0,0,1,45,0,43,0,81,1,49,2,222,383
35027,"Guelph/Guelph"," 138","Guelph",0,0,1,41,1,41,0,93,0,78,2,257,500
35027,"Guelph/Guelph"," 139","Guelph",Void/Supprimé,,,,,,,,,,,,
35027,"Guelph/Guelph"," 140","Guelph",2,0,0,78,3,32,0,93,1,64,2,275,504
35027,"Guelph/Guelph"," 141","Guelph",1,0,0,60,0,48,0,91,0,46,0,246,413
35027,"Guelph/Guelph"," 142","Guelph",0,0,1,102,1,69,0,104,1,81,0,359,575
35027,"Guelph/Guelph"," 143","Guelph",Void/Supprimé,,,,,,,,,,,,
35027,"Guelph/Guelph"," 144A","Guelph",1,0,1,50,1,31,0,82,0,65,1,232,248
35027,"Guelph/Guelph"," 144B","Guelph",1,0,0,48,3,39,0,95,0,55,1,242,311
35027,"Guelph/Guelph"," 144C","Guelph",1,0,0,30,3,31,0,62,0,61,0,188,192
35027,"Guelph/Guelph"," 144D","Guelph",2,0,1,23,1,26,0,60,1,39,0,153,158
35027,"Guelph/Guelph"," 144E","Guelph",1,0,0,23,0,29,0,50,1,42,0,146,154
35027,"Guelph/Guelph"," 144F","Guelph",0,0,0,23,0,21,0,41,1,30,1,117,126
35027,"Guelph/Guelph"," 144G","Guelph",3,0,0,23,1,33,0,71,0,60,0,191,201
35027,"Guelph/Guelph"," 144H","Guelph",2,0,1,32,4,25,0,81,0,68,0,213,223
35027,"Guelph/Guelph"," 144I","Guelph",1,0,1,29,1,35,0,64,0,56,0,187,209
35027,"Guelph/Guelph"," 144-1","Guelph",0,0,1,41,1,42,0,76,1,89,0,251,283
35027,"Guelph/Guelph"," 145","Guelph",0,0,1,55,1,35,0,85,0,77,0,254,259
35027,"Guelph/Guelph"," 146","Guelph",0,1,0,43,0,31,1,90,0,93,2,261,398
35027,"Guelph/Guelph"," 147","Guelph",1,0,1,37,1,33,0,86,1,89,1,250,296
35027,"Guelph/Guelph"," 148","Guelph",Void/Supprimé,,,,,,,,,,,,
35027,"Guelph/Guelph"," 149A","Guelph",1,0,0,32,0,37,0,51,0,80,0,201,465
35027,"Guelph/Guelph"," 149B","Guelph",1,1,0,20,2,49,0,54,0,58,0,185,423
35027,"Guelph/Guelph"," 150","Guelph",1,0,1,33,0,52,1,69,0,85,0,242,373
35027,"Guelph/Guelph"," 151","Guelph",1,0,0,30,0,27,0,60,0,77,1,196,301
35027,"Guelph/Guelph"," 152","Guelph",2,0,0,29,0,52,0,41,0,49,0,173,300
35027,"Guelph/Guelph"," 153","Guelph",0,0,0,31,0,56,1,66,0,74,2,230,386
35027,"Guelph/Guelph"," 154","Guelph",0,0,1,29,0,70,0,43,0,78,0,221,371
