Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Paul Arbour,Jake Cole,Justin MacKinnon,Gordon O'Connor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 197","Mississippi Mills",23,34,28,151,1,237,442
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 198","Mississippi Mills",18,28,25,86,1,158,311
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 199","Mississippi Mills",14,38,45,183,0,280,520
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 400","Kanata",1,2,14,29,1,47,47
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 401","Goulbourn",6,1,19,50,1,77,116
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 500","Mobile poll/Bureau itinérant",11,4,17,67,0,99,222
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 501","Mobile poll/Bureau itinérant",2,4,20,68,1,95,148
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 502","Mobile poll/Bureau itinérant",10,3,33,57,8,111,170
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 503","Mobile poll/Bureau itinérant",2,1,5,27,1,36,67
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 504","Mobile poll/Bureau itinérant",3,1,5,24,1,34,52
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 505","Mobile poll/Bureau itinérant",7,9,37,80,3,136,190
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 506","Mobile poll/Bureau itinérant",11,4,29,52,6,102,165
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 600","West Carleton",44,61,94,642,0,841,
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 601","Kanata--West Carleton",37,81,124,703,1,946,
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 602","Kanata",52,50,199,415,1,717,
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 603","Kanata",43,74,190,426,5,738,
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 604","Kanata",47,63,124,355,1,590,
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 605","Kanata",25,21,72,177,0,295,
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 606","Glen Cairn",34,36,74,327,0,471,
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 607","Glen Cairn",39,22,87,381,2,531,
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 608","Bridlewood",46,41,113,538,0,738,
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 609","Bridlewood",42,25,148,433,2,650,
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 610","Stittsville",46,74,138,710,3,971,
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 611","Stittsville",48,75,168,787,5,1083,
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 612","Richmond",47,38,79,630,2,796,
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 613","Pakenham",13,15,10,141,0,179,
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 614","Almonte",38,56,64,330,1,489,
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 615","Almonte",16,43,57,380,3,499,
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills",,Group 1/Groupe 1,24,18,44,198,6,290,537
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills",,Group 2/Groupe 2,47,93,227,597,8,972,

