Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michelle Aubin,Jean Guy Dubé,Yvon Godin,Odette Robichaud,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13001,"Acadie--Bathurst/Acadie--Bathurst"," 163","Petit-Paquetville",1,24,74,70,4,173,302
13001,"Acadie--Bathurst/Acadie--Bathurst"," 164","Rang-Saint-Georges",3,19,166,32,1,221,417
13001,"Acadie--Bathurst/Acadie--Bathurst"," 165","Val-Doucet",0,25,166,33,1,225,393
13001,"Acadie--Bathurst/Acadie--Bathurst"," 166","Paquetville",3,21,94,49,4,171,301
13001,"Acadie--Bathurst/Acadie--Bathurst"," 167","Paquetville",2,14,89,23,3,131,246
13001,"Acadie--Bathurst/Acadie--Bathurst"," 168","Bois-Blanc",1,11,87,33,0,132,207
13001,"Acadie--Bathurst/Acadie--Bathurst"," 169","Duguayville",1,9,75,38,0,123,249
13001,"Acadie--Bathurst/Acadie--Bathurst"," 170","Hacheyville",0,11,92,16,5,124,211
13001,"Acadie--Bathurst/Acadie--Bathurst"," 171","Tilley Road--Bois Gagnon",2,45,104,38,3,192,353
13001,"Acadie--Bathurst/Acadie--Bathurst"," 172","Tilley Road",1,25,96,31,1,154,243
13001,"Acadie--Bathurst/Acadie--Bathurst"," 173","Saint-Isidore",8,40,105,41,5,199,309
13001,"Acadie--Bathurst/Acadie--Bathurst"," 174","Saint-Isidore",2,36,134,57,2,231,356
13001,"Acadie--Bathurst/Acadie--Bathurst"," 175","Pont-Landry",1,31,120,59,1,212,339
13001,"Acadie--Bathurst/Acadie--Bathurst"," 176","Saumarez",2,47,154,37,1,241,370
13001,"Acadie--Bathurst/Acadie--Bathurst"," 177","Gauvreau",3,28,101,52,3,187,288
13001,"Acadie--Bathurst/Acadie--Bathurst"," 178","Rivière-à-la-Truite",5,63,106,57,2,233,388
13001,"Acadie--Bathurst/Acadie--Bathurst"," 179","Saumarez",3,40,161,46,2,252,329
13001,"Acadie--Bathurst/Acadie--Bathurst"," 180","Saumarez",3,31,108,34,1,177,310
13001,"Acadie--Bathurst/Acadie--Bathurst"," 181","Benoit",1,28,104,61,0,194,279
13001,"Acadie--Bathurst/Acadie--Bathurst"," 182","Saint-Irénée",5,29,159,77,5,275,390
13001,"Acadie--Bathurst/Acadie--Bathurst"," 183","Saumarez",4,21,135,34,2,196,278
13001,"Acadie--Bathurst/Acadie--Bathurst"," 184","Haut Sheila",3,33,127,58,5,226,337
13001,"Acadie--Bathurst/Acadie--Bathurst"," 185","Saint-Pons",0,50,89,40,3,182,239
13001,"Acadie--Bathurst/Acadie--Bathurst"," 186","Haut Sheila",1,14,117,75,3,210,296
