Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dean Allison,Dave Bylsma,Heather Carter,Sid Frere,Dave Heatley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 401","Stoney Creek",19,1,39,1,6,0,66,100
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 402","Grimsby",65,14,6,1,0,0,86,134
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 403","Lincoln",39,4,23,5,5,2,78,225
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 404","Pelham",8,1,10,1,4,2,26,78
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 500","Mobile poll/Bureau itinérant",28,1,10,2,8,3,52,97
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 501","Mobile poll/Bureau itinérant",29,7,13,4,7,2,62,117
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 600","Mount Hope",152,2,62,12,50,2,280,
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 601","Glanbrook",298,3,83,36,88,2,510,
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 602","Mount Albion",169,1,97,15,63,0,345,
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 603","Stoney Creek",133,1,97,20,49,1,301,
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 604","Smithville",281,14,61,12,46,2,416,
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 605","Grimsby Beach",239,4,110,26,51,0,430,
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 606","Grimsby",189,3,118,26,58,0,394,
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 607","Grimsby",316,5,122,33,46,1,523,
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 608","Beamsville",220,5,81,25,44,3,378,
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 609","Beamsville",173,5,74,16,28,0,296,
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 610","Vineland",374,10,90,32,39,0,545,
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 611","St. Anns",111,13,16,7,19,0,166,
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 612","Pelham",209,3,87,34,38,0,371,
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 613","Fonthill",275,1,128,19,60,1,484,
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 614","Fonthill",242,3,107,31,46,0,429,
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook",,Group 1/Groupe 1,57,1,15,4,6,0,83,156
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook",,Group 2/Groupe 2,345,13,199,44,73,9,683,

