Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Johan Boyden,Gerald Derome,Philip Fernandez,David Peter Gentili,El- Farouk Khaki,Ellen Michelson,Bob Rae,Liz White,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35093,"Toronto Centre/Toronto-Centre"," 411-1","Toronto",Merged with No. 407-1/Fusionné avec le nº 407-1,,,,,,,,,,5
35093,"Toronto Centre/Toronto-Centre"," 412","Toronto",2,3,1,25,39,8,97,0,2,177,328
35093,"Toronto Centre/Toronto-Centre"," 413","Toronto",3,0,4,35,44,9,84,0,0,179,426
35093,"Toronto Centre/Toronto-Centre"," 414","Toronto",0,0,0,24,12,6,61,0,0,103,230
35093,"Toronto Centre/Toronto-Centre"," 415","Toronto",0,0,1,9,14,11,36,0,0,71,214
35093,"Toronto Centre/Toronto-Centre"," 416","Toronto",1,1,4,29,33,7,103,2,1,181,373
35093,"Toronto Centre/Toronto-Centre"," 416-1","Toronto",3,0,1,15,33,14,89,1,0,156,286
35093,"Toronto Centre/Toronto-Centre"," 417","Toronto",1,0,1,44,28,30,106,0,0,210,366
35093,"Toronto Centre/Toronto-Centre"," 418","Toronto",0,0,0,1,6,1,2,0,1,11,76
35093,"Toronto Centre/Toronto-Centre"," 419","Toronto",3,1,1,13,33,20,73,0,1,145,348
35093,"Toronto Centre/Toronto-Centre"," 420","Toronto",2,2,1,19,44,16,121,1,0,206,398
35093,"Toronto Centre/Toronto-Centre"," 420-1","Toronto",0,2,0,19,45,5,106,0,0,177,440
35093,"Toronto Centre/Toronto-Centre"," 421","Toronto",1,1,1,5,7,3,26,0,1,45,104
35093,"Toronto Centre/Toronto-Centre"," 422","Toronto",2,2,2,19,36,7,97,0,0,165,406
35093,"Toronto Centre/Toronto-Centre"," 423","Toronto",0,0,1,16,37,2,121,0,1,178,415
35093,"Toronto Centre/Toronto-Centre"," 424","Toronto",0,1,0,8,25,19,58,0,0,111,320
35093,"Toronto Centre/Toronto-Centre"," 425","Toronto",1,0,0,17,24,8,59,0,1,110,338
35093,"Toronto Centre/Toronto-Centre"," 425-1","Toronto",0,0,0,12,20,10,59,1,0,102,311
35093,"Toronto Centre/Toronto-Centre"," 426","Toronto",0,0,0,35,27,19,92,2,0,175,450
35093,"Toronto Centre/Toronto-Centre"," 427","Toronto",2,0,0,11,25,7,96,1,1,143,356
35093,"Toronto Centre/Toronto-Centre"," 427-1","Toronto",0,1,2,19,20,17,64,4,1,128,324
35093,"Toronto Centre/Toronto-Centre"," 428","Toronto",0,0,0,35,16,8,62,0,2,123,269
35093,"Toronto Centre/Toronto-Centre"," 429","Toronto",0,1,2,31,28,14,86,1,2,165,307
35093,"Toronto Centre/Toronto-Centre"," 429-1","Toronto",3,0,0,22,32,9,87,0,3,156,313
35093,"Toronto Centre/Toronto-Centre"," 430","Toronto",0,1,0,43,20,34,85,1,0,184,290
35093,"Toronto Centre/Toronto-Centre"," 431","Toronto",1,0,0,62,13,17,111,1,0,205,411
35093,"Toronto Centre/Toronto-Centre"," 431-1","Toronto",0,0,0,75,21,19,174,3,3,295,447
35093,"Toronto Centre/Toronto-Centre"," 432","Toronto",0,0,0,31,5,10,45,0,1,92,150
35093,"Toronto Centre/Toronto-Centre"," 433","Toronto",0,0,0,19,8,10,43,0,0,80,105
35093,"Toronto Centre/Toronto-Centre"," 434","Toronto",0,0,0,8,24,16,56,0,0,104,419
35093,"Toronto Centre/Toronto-Centre"," 435","Toronto",0,1,0,41,17,18,93,1,2,173,263
35093,"Toronto Centre/Toronto-Centre"," 436","Toronto",1,2,0,21,37,26,96,0,0,183,282
35093,"Toronto Centre/Toronto-Centre"," 437","Toronto",0,0,0,22,61,22,124,0,0,229,478
35093,"Toronto Centre/Toronto-Centre"," 438","Toronto",3,0,0,38,51,47,235,0,2,376,546
35093,"Toronto Centre/Toronto-Centre"," 439","Toronto",0,0,0,18,33,34,144,0,0,229,333
35093,"Toronto Centre/Toronto-Centre"," 440","Toronto",6,4,1,13,34,7,112,0,0,177,420
35093,"Toronto Centre/Toronto-Centre"," 441","Toronto",1,3,0,35,22,16,95,0,1,173,380
35093,"Toronto Centre/Toronto-Centre"," 442","Toronto",0,2,0,52,33,31,135,1,0,254,403
35093,"Toronto Centre/Toronto-Centre"," 443","Toronto",0,0,0,42,18,24,103,1,2,190,343
35093,"Toronto Centre/Toronto-Centre"," 443-1","Toronto",0,0,0,22,15,15,97,0,2,151,344
35093,"Toronto Centre/Toronto-Centre"," 444","Toronto",0,0,0,14,16,14,50,0,0,94,136
35093,"Toronto Centre/Toronto-Centre"," 445","Toronto",0,0,0,7,50,25,86,0,1,169,298
35093,"Toronto Centre/Toronto-Centre"," 446","Toronto",2,1,0,40,62,41,107,1,1,255,499
