Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gilbert Barrette,Bruno Côté,Pierre Grandmaitre,Marc Lemay,Ghislain Loiselle,Christine Moore,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 191","Guérin",23,2,31,34,1,9,0,100,216
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 192A","Notre-Dame-du-Nord",51,6,33,58,1,22,0,171,367
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 192B","Mobile poll/Bureau itinérant",13,0,6,10,2,0,0,31,34
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 193","Notre-Dame-du-Nord",52,6,10,11,0,51,1,131,345
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 194","Notre-Dame-du-Nord",29,1,28,57,0,8,3,126,288
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 195","Notre-Dame-du-Nord",27,2,18,39,0,10,0,96,251
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 196","Saint-Eugène-de-Guigues",52,5,45,98,1,13,4,218,363
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 197","Angliers",51,5,24,39,0,8,0,127,263
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 198","Moffet",15,1,13,32,2,8,0,71,170
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 199","Laforce",Merged with No. 200A/Fusionné avec le nº 200A,,,,,,,,61
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 200A","Winneway",18,1,9,28,1,5,0,62,64
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 200B","Winneway",32,4,4,5,2,9,1,57,165
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 201","Laverlochère",20,2,10,57,0,15,4,108,166
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 202","Laverlochère",40,4,18,95,0,25,2,184,359
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 203","Fugèreville",23,0,25,47,0,15,0,110,244
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 204","Latulipe",21,4,20,40,0,20,2,107,235
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 205","Belleterre",20,0,22,48,6,11,1,108,238
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 206","Saint-Bruno-de-Guigues",51,3,25,106,0,20,2,207,338
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 207","Saint-Bruno-de-Guigues",87,3,28,117,0,10,4,249,451
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 208","Duhamel-Ouest",21,2,19,56,1,16,1,116,265
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 209","Duhamel-Ouest",57,5,30,83,1,17,2,195,387
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 210","Lorrainville",44,2,6,72,1,11,0,136,265
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 211","Lorrainville",33,2,23,67,0,16,1,142,306
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 212A","Lorrainville",49,1,30,91,0,23,5,199,401
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 212B","Mobile poll/Bureau itinérant",Merged with No. 192B/Fusionné avec le nº 192B,,,,,,,,14
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 213","Ville-Marie",24,1,19,83,1,6,1,135,263
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 214","Ville-Marie",36,4,25,70,0,5,0,140,295
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 214-1","Ville-Marie",23,1,24,55,0,2,0,105,240
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 215","Ville-Marie",28,2,32,72,0,15,1,150,299
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 216","Ville-Marie",18,2,11,42,1,9,0,83,259
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 217","Ville-Marie",41,3,19,78,0,14,1,156,324
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 218","Ville-Marie",40,3,35,92,0,9,2,181,336
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 219","Saint-Placide-de-Béarn",30,3,23,54,3,13,1,127,253
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 220","Saint-Placide-de-Béarn",43,3,21,92,0,15,4,178,370
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 221","Saint-Édouard-de-Fabre",48,3,18,55,0,21,3,148,275
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 221-1","Saint-Édouard-de-Fabre",27,5,21,53,0,14,0,120,239
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 222","Témiscaming",46,13,49,50,1,34,0,193,450
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 223","Témiscaming",50,5,24,28,0,31,1,139,332
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 224","Témiscaming",33,2,20,29,0,31,0,115,313
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 225","Témiscaming",63,9,23,21,0,25,1,142,309
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 226","Témiscaming",53,2,20,21,2,33,0,131,350
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 227","Témiscaming",17,2,25,37,0,21,0,102,262
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 228","Tee Lake",74,7,19,34,3,24,0,161,366
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 229","Kipawa",63,0,8,7,0,14,0,92,201
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 230","Laniel",18,0,7,9,1,2,0,37,59
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 400","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,132
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 500","Mobile poll/Bureau itinérant",12,1,17,23,0,1,6,60,131
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 501","Mobile poll/Bureau itinérant",57,2,61,54,4,5,6,189,179
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 502","Mobile poll/Bureau itinérant",20,3,11,28,3,2,2,69,158
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 503","Mobile poll/Bureau itinérant",35,1,17,34,0,5,2,94,97
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 600","Normétal",11,0,3,33,1,4,2,54,
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 601","La Sarre",129,4,133,247,1,28,6,548,
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 602","Macamic",53,0,44,52,0,11,1,161,
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 603","Duparquet",12,5,16,21,0,3,1,58,
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 604","D'Alembert",10,1,7,34,2,3,1,58,
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 605","Amos",71,3,65,192,0,18,5,354,
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 606","Amos",106,14,117,219,4,27,4,491,
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 607","Barraute",12,1,27,39,1,9,2,91,
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 608","Évain",44,3,33,118,4,9,2,213,
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 609","Rouyn-Noranda",123,15,131,200,2,30,5,506,
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 610","Rouyn-Noranda",135,10,159,276,6,37,4,627,
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 611","Rouyn-Noranda",83,4,104,219,4,19,5,438,
