Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carole Devine,Denis Gagné,Cheryl Gallant,Ben Hoffman,Sue McSheffrey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 401","Pembroke",30,1,33,2,3,1,70,167
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 402","Pembroke",14,2,31,1,3,0,51,155
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 500","Mobile poll/Bureau itinérant",46,4,82,7,3,6,148,225
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 501","Mobile poll/Bureau itinérant",50,1,75,3,6,1,136,196
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 502","Mobile poll/Bureau itinérant",22,0,33,2,1,2,60,141
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 503","Mobile poll/Bureau itinérant",23,5,71,3,3,1,106,177
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 504","Mobile poll/Bureau itinérant",20,4,80,2,15,5,126,185
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 505","Mobile poll/Bureau itinérant",30,1,74,1,5,3,114,196
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 600","Deep River",201,5,321,33,62,0,622,
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 601","Petawawa",181,2,608,43,61,1,896,
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 602","Pembroke",226,7,630,51,78,1,993,
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 603","Pembroke",355,6,642,53,80,6,1142,
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 604","Barry's Bay",177,7,530,32,41,1,788,
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 605","Eganville",166,4,564,16,39,5,794,
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 606","Cobden",61,0,342,16,35,1,455,
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 607","Renfrew",97,4,428,23,62,3,617,
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 608","Renfrew",93,0,467,16,31,3,610,
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 609","Calabogie",81,1,401,23,44,0,550,
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 610","Arnprior",97,5,486,27,44,5,664,
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke",,Group 1/Groupe 1,56,2,484,19,19,11,591,1423
35074,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke",,Group 2/Groupe 2,205,4,410,56,48,5,728,

