Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Baird,Frances Coates,Alex McDonald,David Page,David Pratt,Marlene Rivier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 424","Ottawa",107,11,0,2,58,20,0,198,262
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 425","Nepean",86,11,1,2,56,19,1,176,239
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 426","Ottawa",71,9,0,1,37,31,2,151,250
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 427","Ottawa",123,11,0,1,62,23,2,222,318
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 428","Ottawa",63,12,1,1,38,40,1,156,301
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 429","Ottawa",105,15,0,1,75,16,2,214,315
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 430","Nepean",43,22,1,0,27,45,0,138,310
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 431","Nepean",28,14,1,0,25,43,0,111,232
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 432","Nepean",30,5,0,0,37,20,1,93,163
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 433","Nepean",37,8,0,0,31,25,0,101,196
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 434","Nepean",19,8,0,0,19,17,1,64,140
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 435","Nepean",35,18,0,2,27,34,0,116,204
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 436","Ottawa",61,10,1,3,57,47,0,179,281
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 500","Mobile poll/Bureau itinérant",85,5,0,3,41,4,4,142,221
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 501","Mobile poll/Bureau itinérant",72,2,1,2,41,4,4,126,313
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 502","Mobile poll/Bureau itinérant",53,5,2,7,42,16,2,127,271
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 503","Mobile poll/Bureau itinérant",32,6,3,1,30,7,1,80,210
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 504","Mobile poll/Bureau itinérant",42,4,1,1,28,12,1,89,238
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 600","Nepean",372,29,0,3,201,24,2,631,
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 601","Ottawa",177,25,0,5,133,46,3,389,
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 602","Ottawa",330,39,0,4,179,44,3,599,
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 603","Ottawa",325,31,1,4,202,37,1,601,
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 604","Ottawa",306,30,0,5,157,63,3,564,
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 605","Nepean",413,28,3,2,234,50,0,730,
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 606","Ottawa",402,28,1,3,180,59,4,677,
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 607","Ottawa",178,22,1,5,152,52,3,413,
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 608","Ottawa",251,22,0,1,139,27,1,441,
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 609","Nepean",426,42,0,6,297,41,3,815,
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 610","Nepean",529,27,0,4,309,61,3,933,
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 611","Nepean",514,37,1,6,246,55,0,859,
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean",,Group 1/Groupe 1,135,18,0,2,104,15,8,282,517
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean",,Group 2/Groupe 2,389,42,3,2,253,72,3,764,

