Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brigitte Sansoucy,Jacques Tétreault,Ève-Mary Thaï Thi Lac,Denise Tremblay,René Vincelette,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 162","Notre-Dame-de-Saint-Hyacinthe",21,1,77,34,38,2,173,270
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 162-1","Saint-Pie",45,6,120,33,36,0,240,409
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 163","Saint-Pie",26,12,121,35,50,9,253,411
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 164","Saint-Pie",16,2,54,17,28,7,124,212
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 164-1A","Saint-Pie",20,3,68,10,22,2,125,209
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 164-1B","Saint-Pie",21,13,81,19,19,4,157,257
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 165A","Saint-Pie",15,1,66,10,16,3,111,221
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 165B","Saint-Pie",12,6,73,23,23,7,144,248
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 166","Saint-Pie",26,12,95,37,52,1,223,349
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 167","Saint-Pie",24,4,110,19,32,4,193,353
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 167-1","Saint-Pie",16,5,71,26,23,2,143,248
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 168","Saint-Pie",20,8,121,28,39,3,219,410
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 168-1","Saint-Pie",17,4,63,14,21,1,120,280
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 169","Saint-Pie",25,9,81,26,23,7,171,309
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 170","Saint-Valérien-de-Milton",34,18,88,36,49,1,226,449
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 171","Saint-Valérien-de-Milton",28,9,83,31,48,1,200,353
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 172","Saint-Valérien-de-Milton",31,6,112,40,82,1,272,442
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 173","Roxton Falls",25,4,75,26,47,6,183,349
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 174","Roxton Falls",27,9,76,30,34,7,183,390
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 175","Roxton Falls",26,9,60,33,60,8,196,410
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 176","Roxton",23,7,80,53,58,2,223,417
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 177","Roxton",19,16,66,31,50,3,185,360
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 178","Béthanie",33,3,71,20,40,1,168,261
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 400","Saint-Hyacinthe",4,4,22,20,10,4,64,428
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 401","Saint-Hyacinthe",10,7,37,53,50,6,163,182
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 500A","Mobile poll/Bureau itinérant",1,2,20,20,23,2,68,62
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 500B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,73
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 501","Mobile poll/Bureau itinérant",4,7,16,10,29,2,68,138
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 502","Mobile poll/Bureau itinérant",12,8,16,43,46,5,130,186
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 503","Mobile poll/Bureau itinérant",7,5,32,51,47,5,147,222
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 504","Mobile poll/Bureau itinérant",27,6,16,95,50,3,197,251
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 505A","Mobile poll/Bureau itinérant",2,1,14,17,15,2,51,106
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 505B","Mobile poll/Bureau itinérant",Merged with No. 500A/Fusionné avec le nº 500A,,,,,,,18
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 506","Mobile poll/Bureau itinérant",7,3,24,25,14,7,80,132
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 507","Mobile poll/Bureau itinérant",2,2,24,9,17,4,58,133
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 508","Mobile poll/Bureau itinérant",6,2,32,34,28,3,105,133
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 600","Saint-Hugues",10,1,57,7,21,1,97,
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 601","Saint-Théodore-d'Acton--Sainte-Hélène-de-Bagot",13,3,50,5,29,1,101,
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 602","Acton Vale",39,18,160,53,144,7,421,
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 603","Saint-Liboire--Upton",10,3,79,13,42,1,148,
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 604","Sainte-Rosalie--Saint-Simon",37,7,184,62,97,9,396,
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 605","Saint-Hyacinthe",48,14,285,92,226,0,665,
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 606","Saint-Hyacinthe",63,8,291,96,211,3,672,
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 607","Saint-Hyacinthe",39,6,162,63,156,3,429,
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 608","Saint-Hyacinthe",68,15,290,96,171,7,647,
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 609","Saint-Thomas-d'Aquin--La Présentation",47,11,143,39,88,3,331,
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 610","Sainte-Madeleine--Saint-Damase",48,7,165,47,88,9,364,
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 611","Saint-Dominique--Saint-Pie",33,1,124,27,59,1,245,
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 612","Saint-Valérien-de-Milton--Roxton Falls",9,2,51,20,33,1,116,
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot",,Group 1/Groupe 1,1,4,30,24,35,3,97,158
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot",,Group 2/Groupe 2,63,19,300,86,171,10,649,

