Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Huguette Allen,Alice Brown,Gordie Campbell,Janna Francis,Colin Mayes,Darren Seymour,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 188-1","Lumby",17,13,1,5,47,0,0,83,173
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 189","Lumby--Creighton Valley",56,41,2,8,49,2,0,158,291
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 190","Lumby",43,34,1,21,105,4,0,208,403
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 190-1","Lumby",51,52,3,16,98,5,0,225,404
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 191A","Lumby",21,26,1,11,41,4,0,104,230
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 191B","Lumby",26,20,1,7,48,1,0,103,218
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 192","Cherryville",90,28,0,6,73,5,0,202,414
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 500","Mobile poll/Bureau itinérant",8,10,3,6,20,1,2,50,147
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 501","Mobile poll/Bureau itinérant",10,25,3,6,43,1,0,88,134
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 502","Mobile poll/Bureau itinérant",17,55,14,30,106,5,2,229,296
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 503","Mobile poll/Bureau itinérant",2,9,3,6,19,0,0,39,93
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 504","Mobile poll/Bureau itinérant",7,13,2,9,28,3,1,63,92
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 505","Mobile poll/Bureau itinérant",7,17,6,9,41,0,2,82,194
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 506","Mobile poll/Bureau itinérant",17,34,10,14,70,1,3,149,209
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 507","Mobile poll/Bureau itinérant",28,24,6,19,68,1,1,147,226
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 508","Mobile poll/Bureau itinérant",4,12,4,3,22,1,0,46,84
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 600","Chase",20,42,0,12,169,1,0,244,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 601","Scotch Creek--Anglemont",27,46,2,18,142,0,2,237,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 602","Sorrento--Eagle Bay",36,42,2,37,324,0,0,441,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 603","Sicamous",21,35,2,20,142,0,0,220,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 604","Salmon Arm",85,147,3,79,375,0,2,691,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 605","Salmon Arm",96,142,7,47,317,1,0,610,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 606","Enderby",56,70,4,25,168,0,1,324,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 607","Armstrong--Spallumcheen",58,76,5,43,372,1,0,555,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 608","Vernon",61,83,3,54,278,1,2,482,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 609","Vernon",72,92,2,66,244,1,0,477,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 610","Vernon",65,89,7,72,291,2,4,530,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 611","Vernon",79,100,5,66,301,4,2,557,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 612","Vernon",84,85,4,83,308,6,3,573,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 613","Coldstream",48,36,2,35,176,1,2,300,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 614","Lumby",57,19,0,8,95,2,0,181,
59018,"Okanagan--Shuswap/Okanagan--Shuswap",,Group 1/Groupe 1,12,24,2,18,48,0,1,105,181
59018,"Okanagan--Shuswap/Okanagan--Shuswap",,Group 2/Groupe 2,146,155,3,83,462,4,5,858,

