Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Adele Boucher Rymhs,Liliane Maisonneuve,Edwin Siggelkow,Mélanie Simard,Jennifer Villebrun,Chris Warkentin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48022,Peace River/Peace River,22,La Crête,0,0,0,1,0,93,0,94,444
48022,Peace River/Peace River,23,La Crête,0,1,0,0,0,119,0,120,509
48022,Peace River/Peace River,24,La Crête,8,3,3,0,0,210,0,224,736
48022,Peace River/Peace River, 24-1,La Crête,Merged with No. 24/Fusionné avec le nº 24,,,,,,,,204
48022,Peace River/Peace River,25,La Crête,25,13,0,0,3,273,0,314,808
48022,Peace River/Peace River,26,Buffalo Head Prairie,1,0,0,0,0,119,0,120,367
48022,Peace River/Peace River,27,Buffalo Head Prairie,1,1,0,0,1,78,0,81,486
48022,Peace River/Peace River,28,Paddle Prairie,55,8,1,0,8,12,0,84,284
48022,Peace River/Peace River, 28-1,Keg River,13,3,0,1,3,35,0,55,165
48022,Peace River/Peace River,29,Hotchkiss,13,0,2,1,2,70,0,88,195
48022,Peace River/Peace River,30,Deadwood,21,5,3,3,7,71,1,111,252
48022,Peace River/Peace River,31,North Star,22,6,2,3,11,124,0,168,329
48022,Peace River/Peace River,32,Notikewin,14,9,1,4,5,126,1,160,312
48022,Peace River/Peace River,33,Manning,28,5,3,0,10,103,0,149,357
48022,Peace River/Peace River,34,Manning,19,6,0,2,3,85,0,115,328
48022,Peace River/Peace River,35,Manning,13,6,0,0,3,43,2,67,167
48022,Peace River/Peace River,36,Worsley,24,0,2,1,16,145,1,189,397
48022,Peace River/Peace River,37,Bear Canyon,9,1,0,2,0,53,0,65,126
48022,Peace River/Peace River,38,Cleardale,5,4,0,1,2,59,0,71,311
48022,Peace River/Peace River,39,Eureka River,13,6,1,2,11,105,1,139,291
48022,Peace River/Peace River,40,Deer Hill,29,6,1,2,8,99,0,145,288
48022,Peace River/Peace River,41,Hines Creek,25,2,1,2,11,133,0,174,327
48022,Peace River/Peace River,42,Hines Creek,24,6,2,0,13,98,0,143,319
48022,Peace River/Peace River,43,Fourth Creek,24,3,0,2,6,78,0,113,222
48022,Peace River/Peace River,44,Silver Valley,21,3,1,2,4,77,0,108,178
48022,Peace River/Peace River,45,Highland Park,6,1,1,0,5,36,0,49,112
48022,Peace River/Peace River,46,Bluesky,21,13,1,0,24,123,1,183,373
48022,Peace River/Peace River,47,Fairview,26,12,1,1,8,163,0,211,418
48022,Peace River/Peace River,48,Fairview,30,9,0,0,15,119,0,173,401
48022,Peace River/Peace River,49,Fairview,28,20,1,0,22,110,1,182,370
48022,Peace River/Peace River,50,Fairview,15,0,2,0,5,36,0,58,286
48022,Peace River/Peace River, 50-1,Fairview,11,4,0,0,5,31,0,51,315
48022,Peace River/Peace River,51,Fairview,14,13,0,1,16,61,0,105,278
48022,Peace River/Peace River,52,Fairview,21,12,3,4,6,103,1,150,333
48022,Peace River/Peace River,53,Friedenstal,37,2,2,4,16,160,1,222,403
48022,Peace River/Peace River,54,Whitelaw,28,12,0,1,12,94,0,147,293
48022,Peace River/Peace River,55,Brownvale,49,6,5,0,12,106,1,179,348
48022,Peace River/Peace River,56,Berwyn,23,5,1,2,9,60,0,100,170
48022,Peace River/Peace River,57,Berwyn,44,8,1,1,16,110,0,180,385
48022,Peace River/Peace River,58,Grimshaw,32,5,1,1,17,114,0,170,313
48022,Peace River/Peace River,59,Grimshaw,12,7,0,1,5,103,0,128,318
48022,Peace River/Peace River, 60A,Grimshaw,28,5,0,1,11,81,0,126,282
48022,Peace River/Peace River, 60B,Mobile poll/Bureau itinérant,Merged with No. 502/Fusionné avec le nº 502,,,,,,,,19
48022,Peace River/Peace River,61,Grimshaw,26,8,1,0,5,68,0,108,296
48022,Peace River/Peace River,62,Grimshaw,39,13,0,2,16,162,0,232,652
48022,Peace River/Peace River, 62-1,Grimshaw,4,1,1,1,4,23,0,34,84
48022,Peace River/Peace River,63,Grimshaw,28,5,1,2,11,98,1,146,297
48022,Peace River/Peace River,64,Warrensville,50,4,1,0,17,112,1,185,354
48022,Peace River/Peace River,65,Dixonville,56,3,0,3,18,114,2,196,351
48022,Peace River/Peace River,66,Weberville,14,0,0,0,4,42,0,60,130
48022,Peace River/Peace River,67,Weberville,17,16,2,2,15,172,0,224,444
48022,Peace River/Peace River,68,Roma,14,3,1,0,6,63,1,88,152
48022,Peace River/Peace River,69,Peace River,19,11,0,1,13,77,0,121,322
48022,Peace River/Peace River,70,Peace River,44,21,0,1,21,173,1,261,496
48022,Peace River/Peace River,71,Peace River,42,15,2,0,41,157,1,258,538
48022,Peace River/Peace River,72,Peace River,32,16,1,1,19,101,0,170,329
