Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Janine Gibson,Shirley Hiebert,Ross Martin,David Reimer,Vic Toews,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46008,"Provencher/Provencher"," 23","Whitemouth",Void/Supprimé,,,,,,,
46008,"Provencher/Provencher"," 24","Falcon Lake",27,27,15,1,133,0,203,380
46008,"Provencher/Provencher"," 25","Prawda",5,6,27,0,39,0,77,140
46008,"Provencher/Provencher"," 26","Hadashville",7,9,16,3,98,1,134,270
46008,"Provencher/Provencher"," 27","Springfield",11,24,27,2,189,1,254,472
46008,"Provencher/Provencher"," 28","Oakbank",21,24,46,5,163,0,259,477
46008,"Provencher/Provencher"," 29","Oakbank",15,30,53,2,152,1,253,464
46008,"Provencher/Provencher"," 30","Oakbank",30,36,92,3,230,0,391,667
46008,"Provencher/Provencher"," 31","Oakbank",16,19,59,7,189,0,290,504
46008,"Provencher/Provencher"," 32","Oakbank",21,24,73,5,234,0,357,585
46008,"Provencher/Provencher"," 33","Hazelridge",16,24,63,3,160,0,266,447
46008,"Provencher/Provencher"," 34","Anola",21,34,56,4,192,1,308,524
46008,"Provencher/Provencher"," 35","Vivian",19,24,55,5,144,1,248,387
46008,"Provencher/Provencher"," 36","Ste. Rita",9,15,28,2,119,0,173,312
46008,"Provencher/Provencher"," 37","Anola",34,20,76,5,171,0,306,537
46008,"Provencher/Provencher"," 38","Anola",21,16,56,0,130,3,226,445
46008,"Provencher/Provencher"," 39","Anola",3,12,38,2,100,0,155,312
46008,"Provencher/Provencher"," 40","Dugald",4,21,24,2,119,0,170,337
46008,"Provencher/Provencher"," 41","Dugald",9,19,47,3,153,0,231,377
46008,"Provencher/Provencher"," 42","Navin",13,29,29,3,117,0,191,562
46008,"Provencher/Provencher"," 43","Dugald",12,17,27,0,119,0,175,300
46008,"Provencher/Provencher"," 44","St. Adolphe",36,79,42,6,210,2,375,645
