Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mauril Bélanger,Patrick Glémaud,Trevor Haché,Christian Legeais,Akbar Manoussi,Michel St-Onge,Robert Taylor-Larter,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35065,"Ottawa--Vanier/Ottawa--Vanier"," 428","Gloucester",37,18,10,2,0,1,2,1,71,240
35065,"Ottawa--Vanier/Ottawa--Vanier"," 429","Ottawa",89,67,25,1,13,1,0,2,198,262
35065,"Ottawa--Vanier/Ottawa--Vanier"," 500","Mobile poll/Bureau itinérant",28,10,7,0,0,1,0,1,47,88
35065,"Ottawa--Vanier/Ottawa--Vanier"," 501","Mobile poll/Bureau itinérant",130,17,4,0,0,0,0,0,151,174
35065,"Ottawa--Vanier/Ottawa--Vanier"," 502","Mobile poll/Bureau itinérant",86,62,15,1,5,0,0,3,172,228
35065,"Ottawa--Vanier/Ottawa--Vanier"," 503","Mobile poll/Bureau itinérant",59,16,4,1,0,0,1,1,82,144
35065,"Ottawa--Vanier/Ottawa--Vanier"," 504","Mobile poll/Bureau itinérant",53,22,15,0,3,1,4,1,99,138
35065,"Ottawa--Vanier/Ottawa--Vanier"," 505","Mobile poll/Bureau itinérant",57,25,9,2,5,3,0,3,104,120
35065,"Ottawa--Vanier/Ottawa--Vanier"," 506","Mobile poll/Bureau itinérant",101,11,3,0,1,3,2,0,121,192
35065,"Ottawa--Vanier/Ottawa--Vanier"," 507","Mobile poll/Bureau itinérant",46,16,10,0,0,1,4,1,78,124
35065,"Ottawa--Vanier/Ottawa--Vanier"," 508","Mobile poll/Bureau itinérant",52,17,3,1,3,0,0,1,77,95
35065,"Ottawa--Vanier/Ottawa--Vanier"," 509","Mobile poll/Bureau itinérant",28,27,8,1,7,2,4,1,78,22
35065,"Ottawa--Vanier/Ottawa--Vanier"," 600","Gloucester",399,397,67,0,56,1,2,1,923,
35065,"Ottawa--Vanier/Ottawa--Vanier"," 601","Ottawa",244,164,66,0,35,0,3,2,514,
35065,"Ottawa--Vanier/Ottawa--Vanier"," 602","Ottawa/Rockcliffe Park",426,257,76,2,80,0,1,1,843,
35065,"Ottawa--Vanier/Ottawa--Vanier"," 603","Vanier",236,110,73,0,30,0,2,3,454,
35065,"Ottawa--Vanier/Ottawa--Vanier"," 604","Vanier",160,97,49,0,20,1,3,1,331,
35065,"Ottawa--Vanier/Ottawa--Vanier"," 605","Ottawa",144,85,25,1,8,0,3,1,267,
35065,"Ottawa--Vanier/Ottawa--Vanier"," 606","Gloucester",192,184,46,1,11,0,3,3,440,
35065,"Ottawa--Vanier/Ottawa--Vanier"," 607","Ottawa",140,147,81,1,41,1,2,2,415,
35065,"Ottawa--Vanier/Ottawa--Vanier"," 608","Ottawa",225,86,67,1,61,0,1,0,441,
35065,"Ottawa--Vanier/Ottawa--Vanier"," 609","Ottawa",215,132,84,1,37,0,2,5,476,
35065,"Ottawa--Vanier/Ottawa--Vanier"," 610","Ottawa",101,87,19,0,23,0,0,0,230,
35065,"Ottawa--Vanier/Ottawa--Vanier"," 611","Gloucester",122,146,36,0,25,0,0,1,330,
35065,"Ottawa--Vanier/Ottawa--Vanier"," 612","Ottawa",160,67,62,0,38,0,0,0,327,
35065,"Ottawa--Vanier/Ottawa--Vanier"," 613","Ottawa",153,61,50,1,30,0,3,1,299,
35065,"Ottawa--Vanier/Ottawa--Vanier",,Group 1/Groupe 1,267,218,66,1,50,1,0,16,619,1031
35065,"Ottawa--Vanier/Ottawa--Vanier",,Group 2/Groupe 2,550,294,148,2,75,1,3,6,1079,

