Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Guy Bergeron,Gabriel Biron,Steven Blaney,Lynne Champoux-Williams,Pauline Côté,Normand Fournier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 222","Saint-Louis-de-Gonzague",31,19,94,7,27,2,1,181,325
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 400","Lévis",Void/Supprimé,,,,,,,,
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 500","Mobile poll/Bureau itinérant",9,2,19,3,15,0,0,48,90
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 501","Mobile poll/Bureau itinérant",1,1,6,1,12,1,2,24,103
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 502","Mobile poll/Bureau itinérant",12,3,28,2,32,3,3,83,194
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 503","Mobile poll/Bureau itinérant",2,0,2,0,4,0,1,9,44
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 504","Mobile poll/Bureau itinérant",7,1,13,1,18,0,1,41,180
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 505","Mobile poll/Bureau itinérant",3,1,3,0,3,0,0,10,109
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 506","Mobile poll/Bureau itinérant",18,4,42,0,35,0,8,107,188
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 507","Mobile poll/Bureau itinérant",18,5,42,2,26,1,4,98,195
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 508","Mobile poll/Bureau itinérant",11,2,29,4,30,1,2,79,120
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 600","Lévis",101,34,93,6,44,0,2,280,
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 601","Lévis",91,27,114,5,36,0,6,279,
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 602","Lévis",82,43,102,4,44,0,8,283,
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 603","Lévis",113,18,209,14,64,1,5,424,
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 604","Lévis",111,40,186,4,75,2,3,421,
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 605","Lévis",101,17,115,7,53,1,5,299,
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 606","Lévis",98,32,177,9,78,0,3,397,
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 607","Lévis",123,19,172,5,75,0,5,399,
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 608","Lévis",113,20,203,8,76,0,11,431,
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 609","Lévis",165,42,236,10,66,1,2,522,
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 610","Lévis",66,13,153,7,24,0,1,264,
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 611","Saint-Romuald",117,20,155,7,79,2,5,385,
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 612","Saint-Romuald",115,24,159,3,53,0,5,359,
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 613","Saint-Romuald",88,14,175,8,71,0,7,363,
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 614","Saint-Henri",62,25,204,7,41,1,3,343,
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 615","Saint-Michel",96,37,131,10,54,0,3,331,
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 616","Saint-Raphaël",44,6,96,4,35,2,3,190,
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 617","Sainte-Claire",26,11,159,6,37,0,1,240,
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 618","Saint-Damien",40,8,129,4,75,1,4,261,
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 619","Lac-Etchemin",20,7,56,2,14,0,0,99,
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 620","Lac-Etchemin",67,11,220,7,40,1,2,348,
24034,"Lévis--Bellechasse/Lévis--Bellechasse",,Group 1/Groupe 1,38,5,79,4,23,0,3,152,290
24034,"Lévis--Bellechasse/Lévis--Bellechasse",,Group 2/Groupe 2,194,54,263,12,91,4,14,632,

