Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jennifer Burgis,Troy DeSouza,Brian G. Gordon,Keith Martin,Philip G. Ney,Brad Rhodes,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 603","Saanich",75,285,42,158,1,2,1,564,
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 604","View Royal",98,199,23,186,1,0,0,507,
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 605","Saanich",60,73,21,74,0,0,0,228,
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 606","Saanich",67,97,22,114,2,2,3,307,
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 607","Colwood",123,329,34,265,0,1,2,754,
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 608","Esquimalt",133,157,47,212,3,2,1,555,
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 609","Metchosin",32,91,14,101,0,0,0,238,
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 610","Port Renfrew",52,107,21,74,1,1,0,256,
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 611","Port Renfrew",131,154,29,151,3,0,2,470,
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca",,Group 1/Groupe 1,33,222,21,122,5,2,13,418,1071
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca",,Group 2/Groupe 2,168,349,47,338,3,1,15,921,

