Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peggy Askin,John Chan,Eric Donovan,Doug James,Jason E. McNeil,Jim Prentice,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 605","Calgary",1,33,44,57,2,262,3,402,
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 606","Calgary",1,34,33,35,3,156,0,262,
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 607","Calgary",0,37,45,17,2,189,1,291,
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 608","Calgary",2,44,67,69,2,190,2,376,
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 609","Calgary",1,61,80,56,2,205,0,405,
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 610","Calgary",2,54,74,66,1,227,1,425,
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 611","Calgary",5,58,83,31,0,219,1,397,
48003,"Calgary Centre-North/Calgary-Centre-Nord",,Group 1/Groupe 1,0,15,22,38,1,61,10,147,243
48003,"Calgary Centre-North/Calgary-Centre-Nord",,Group 2/Groupe 2,1,83,97,87,1,317,13,599,

