Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Anne Marie Aubert,Jean-Yves Laforest,Stéphane Roof,Ronald St-Onge Lynch,Martial Toupin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 600","Grand-Mère",16,147,91,56,4,9,323,
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 601","La Tuque",18,119,49,25,3,1,215,
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 602","La Tuque",18,202,139,75,10,5,449,
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 603","La Tuque",19,213,125,75,9,9,450,
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 604","Sainte-Thècle",18,179,111,40,12,5,365,
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 605","Saint-Tite",17,170,149,76,16,8,436,
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 606","Saint-Georges--Lac-à-la-Tortue",44,202,126,87,16,4,479,
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 607","Grand-Mère",20,170,138,105,6,13,452,
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 608","Grand-Mère",27,162,108,73,4,7,381,
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 609","Shawinigan-Sud",28,252,144,116,8,6,554,
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 610","Shawinigan-Sud",24,202,134,112,7,12,491,
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 611","Notre-Dame-du-Mont-Carmel",22,210,151,83,14,10,490,
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 612","Sainte-Anne-de-la-Pérade--Champlain",15,130,84,60,9,3,301,
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 613","Saint-Narcisse--Saint-Maurice",11,115,82,39,6,0,253,
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 614","Shawinigan",22,200,149,103,8,3,485,
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 615","Shawinigan",17,138,110,106,8,15,394,
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 616","Shawinigan",13,153,94,112,6,7,385,
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 617","Shawinigan",13,100,86,51,9,5,264,
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain",,Group 1/Groupe 1,9,32,65,22,2,9,139,308
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain",,Group 2/Groupe 2,52,476,329,279,17,20,1173,

