Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brian Abrams,Rick Downes,Peter Milliken,Eric Walton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35036,"Kingston and the Islands/Kingston et les Îles"," 189","Kingston",41,25,84,31,3,184,331
35036,"Kingston and the Islands/Kingston et les Îles"," 190","Kingston",23,54,108,57,0,242,438
35036,"Kingston and the Islands/Kingston et les Îles"," 191","Kingston",50,28,140,48,1,267,405
35036,"Kingston and the Islands/Kingston et les Îles"," 192","Kingston",42,26,136,46,0,250,395
35036,"Kingston and the Islands/Kingston et les Îles"," 193","Kingston",41,29,135,34,0,239,387
35036,"Kingston and the Islands/Kingston et les Îles"," 194","Kingston",38,31,72,32,0,173,277
35036,"Kingston and the Islands/Kingston et les Îles"," 195","Kingston",80,43,128,62,3,316,469
35036,"Kingston and the Islands/Kingston et les Îles"," 196","Kingston",86,42,127,59,0,314,604
35036,"Kingston and the Islands/Kingston et les Îles"," 196-1","Kingston",21,11,42,14,0,88,143
35036,"Kingston and the Islands/Kingston et les Îles"," 197A","Kingston",66,32,74,66,4,242,416
35036,"Kingston and the Islands/Kingston et les Îles"," 197B","Kingston",55,34,83,57,1,230,405
35036,"Kingston and the Islands/Kingston et les Îles"," 198","Kingston",41,34,103,37,0,215,355
35036,"Kingston and the Islands/Kingston et les Îles"," 199","Kingston",19,23,53,28,0,123,254
35036,"Kingston and the Islands/Kingston et les Îles"," 200","Kingston",73,21,121,15,2,232,339
35036,"Kingston and the Islands/Kingston et les Îles"," 201A","Kingston",53,16,83,31,1,184,340
35036,"Kingston and the Islands/Kingston et les Îles"," 201B","Kingston",44,26,87,18,1,176,339
35036,"Kingston and the Islands/Kingston et les Îles"," 202","Kingston",38,30,127,30,0,225,448
35036,"Kingston and the Islands/Kingston et les Îles"," 203","Kingston",52,62,152,63,4,333,528
35036,"Kingston and the Islands/Kingston et les Îles"," 204","Kingston",22,23,69,33,0,147,219
35036,"Kingston and the Islands/Kingston et les Îles"," 205","Kingston",28,33,83,35,0,179,329
35036,"Kingston and the Islands/Kingston et les Îles"," 206","Kingston",90,44,127,69,2,332,222
35036,"Kingston and the Islands/Kingston et les Îles"," 206-1A","Kingston",67,33,103,45,1,249,415
35036,"Kingston and the Islands/Kingston et les Îles"," 206-1B","Kingston",Merged with No. 206/Fusionné avec le nº 206,,,,,,155
35036,"Kingston and the Islands/Kingston et les Îles"," 206-1C","Kingston",23,12,33,22,0,90,193
35036,"Kingston and the Islands/Kingston et les Îles"," 206-1D","Kingston",61,30,91,50,2,234,249
35036,"Kingston and the Islands/Kingston et les Îles"," 207","Kingston",95,27,104,18,2,246,462
35036,"Kingston and the Islands/Kingston et les Îles"," 208","Kingston",80,33,72,13,0,198,367
35036,"Kingston and the Islands/Kingston et les Îles"," 209","Kingston",92,39,81,14,1,227,385
35036,"Kingston and the Islands/Kingston et les Îles"," 210","Kingston",81,21,94,24,1,221,479
35036,"Kingston and the Islands/Kingston et les Îles"," 211","Kingston",44,18,63,21,0,146,394
35036,"Kingston and the Islands/Kingston et les Îles"," 212","Kingston",97,29,112,21,0,259,462
35036,"Kingston and the Islands/Kingston et les Îles"," 213","Kingston",29,9,2,2,0,42,149
35036,"Kingston and the Islands/Kingston et les Îles"," 214","Kingston",53,18,12,14,1,98,228
35036,"Kingston and the Islands/Kingston et les Îles"," 215","Kingston",29,24,42,14,0,109,198
35036,"Kingston and the Islands/Kingston et les Îles"," 216","Kingston",48,16,37,11,0,112,227
35036,"Kingston and the Islands/Kingston et les Îles"," 217","Kingston",113,20,74,32,0,239,449
35036,"Kingston and the Islands/Kingston et les Îles"," 218","Kingston",122,32,118,45,0,317,518
35036,"Kingston and the Islands/Kingston et les Îles"," 219","Kingston",62,21,89,23,0,195,350
