Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Meili Faille,Michael M. Fortier,Maxime Héroux-Legault,Brigitte Legault,Jean-Yves Massenet,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 179","Sainte-Marthe",166,90,24,70,23,4,377,578
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 180","Sainte-Justine-de-Newton",103,35,21,35,8,7,209,372
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 181","Sainte-Justine-de-Newton",117,47,19,35,9,7,234,377
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 182","Saint-Télesphore",60,28,23,24,4,0,139,264
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 183","Saint-Polycarpe",168,44,25,47,14,5,303,484
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 184","Saint-Polycarpe",124,44,26,33,5,2,234,422
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 185","Saint-Polycarpe",111,33,16,39,2,1,202,384
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 186","Saint-Télesphore",108,57,23,42,1,3,234,381
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 187","Rivière-Beaudette",167,33,31,39,12,8,290,416
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 188","Rivière-Beaudette",122,55,27,32,7,4,247,454
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 189","Saint-Zotique",161,45,18,48,5,3,280,517
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 190","Saint-Zotique",134,21,18,35,2,1,211,401
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 191","Saint-Zotique",159,56,28,55,11,4,313,528
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 191-1","Saint-Zotique",157,44,29,37,11,2,280,489
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 192A","Saint-Zotique",87,33,20,20,3,5,168,305
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 192B","Saint-Zotique",112,29,24,23,4,5,197,342
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 193","Saint-Zotique",111,48,26,39,4,5,233,470
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 194","Saint-Zotique",130,44,34,48,11,2,269,449
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 194-1","Saint-Zotique",96,44,18,38,5,2,203,351
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 195","Saint-Zotique",127,32,12,17,9,1,198,408
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 196","Saint-Zotique",116,42,29,35,2,7,231,412
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 197","Rivière-Beaudette",99,70,28,57,4,6,264,484
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 500","Mobile poll/Bureau itinérant",39,39,9,61,1,7,156,104
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 501","Mobile poll/Bureau itinérant",14,9,2,12,1,2,40,55
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 502","Mobile poll/Bureau itinérant",23,41,1,41,1,7,114,145
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 503","Mobile poll/Bureau itinérant",19,32,7,40,2,2,102,170
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 504A","Mobile poll/Bureau itinérant",17,13,2,15,2,7,56,82
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 504B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,3
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 600","Rigaud",333,125,26,116,18,3,621,
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 601","Hudson",64,263,32,174,34,0,567,
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 602","Vaudreuil-sur-le-Lac",283,204,28,168,11,6,700,
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 603","Vaudreuil-Dorion",353,170,45,118,13,7,706,
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 604","Vaudreuil-Dorion",224,150,22,112,12,1,521,
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 605","Pincourt--Terrasse-Vaudreuil",117,102,32,96,14,0,361,
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 606","Pincourt",179,162,45,113,11,5,515,
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 607","L'Île-Perrot",300,143,53,162,13,7,678,
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 608","Notre-Dame-de-l'Île-Perrot",306,172,45,202,33,8,766,
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 609","Les Cèdres--Pointe-des-Cascades",302,92,34,61,12,7,508,
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 610","Saint-Lazare",124,199,32,115,26,7,503,
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 611","Saint-Lazare",202,193,37,132,28,6,598,
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 612","Coteau-du-Lac",385,152,48,156,12,8,761,
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 613","Saint-Polycarpe",102,23,15,26,4,1,171,
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 614","Saint-Zotique--Rivière-Beaudette",243,121,29,99,8,6,506,
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges",,Group 1/Groupe 1,28,37,7,19,5,6,102,180
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges",,Group 2/Groupe 2,382,297,40,185,17,12,933,

