Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Szilvia Barna,John Cummins,Matthew Laine,Dana L. Miller,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59006,"Delta--Richmond East/Delta--Richmond-Est"," 123","Delta",36,110,28,33,0,207,359
59006,"Delta--Richmond East/Delta--Richmond-Est"," 124","Delta",56,126,23,52,1,258,434
59006,"Delta--Richmond East/Delta--Richmond-Est"," 125","Delta",48,93,9,29,0,179,323
59006,"Delta--Richmond East/Delta--Richmond-Est"," 126","Delta",36,254,19,60,2,371,556
59006,"Delta--Richmond East/Delta--Richmond-Est"," 127","Delta",45,126,24,34,1,230,394
59006,"Delta--Richmond East/Delta--Richmond-Est"," 128","Delta",30,137,15,22,1,205,304
59006,"Delta--Richmond East/Delta--Richmond-Est"," 129","Delta",39,200,15,31,1,286,449
59006,"Delta--Richmond East/Delta--Richmond-Est"," 130","Delta",36,185,26,57,2,306,512
59006,"Delta--Richmond East/Delta--Richmond-Est"," 131","Delta",68,147,21,35,1,272,483
59006,"Delta--Richmond East/Delta--Richmond-Est"," 132","Delta",29,165,12,56,0,262,423
59006,"Delta--Richmond East/Delta--Richmond-Est"," 133","Delta",17,96,7,20,2,142,404
59006,"Delta--Richmond East/Delta--Richmond-Est"," 134","Delta",30,51,10,25,1,117,297
59006,"Delta--Richmond East/Delta--Richmond-Est"," 135A","Delta",13,94,17,32,0,156,306
59006,"Delta--Richmond East/Delta--Richmond-Est"," 135B","Delta",16,131,17,25,1,190,336
59006,"Delta--Richmond East/Delta--Richmond-Est"," 136","Delta",32,112,14,19,1,178,327
59006,"Delta--Richmond East/Delta--Richmond-Est"," 137","Delta",38,147,18,28,0,231,463
59006,"Delta--Richmond East/Delta--Richmond-Est"," 138","Delta",33,84,32,42,0,191,293
59006,"Delta--Richmond East/Delta--Richmond-Est"," 139","Delta",34,141,26,65,0,266,408
59006,"Delta--Richmond East/Delta--Richmond-Est"," 140","Delta",41,183,30,51,2,307,474
59006,"Delta--Richmond East/Delta--Richmond-Est"," 141","Delta",35,171,23,43,0,272,386
59006,"Delta--Richmond East/Delta--Richmond-Est"," 142","Delta",35,83,10,35,1,164,271
59006,"Delta--Richmond East/Delta--Richmond-Est"," 143","Delta",28,90,24,30,0,172,367
59006,"Delta--Richmond East/Delta--Richmond-Est"," 144","Delta",31,207,26,58,0,322,547
59006,"Delta--Richmond East/Delta--Richmond-Est"," 145","Delta",41,178,26,66,2,313,529
59006,"Delta--Richmond East/Delta--Richmond-Est"," 146","Delta",29,148,32,52,0,261,396
59006,"Delta--Richmond East/Delta--Richmond-Est"," 147","Delta",44,150,45,71,2,312,459
59006,"Delta--Richmond East/Delta--Richmond-Est"," 148","Delta",15,177,17,54,1,264,440
59006,"Delta--Richmond East/Delta--Richmond-Est"," 149","Delta",16,111,12,61,0,200,348
59006,"Delta--Richmond East/Delta--Richmond-Est"," 150","Delta",36,155,37,60,1,289,442
59006,"Delta--Richmond East/Delta--Richmond-Est"," 151","Delta",19,142,21,31,0,213,374
59006,"Delta--Richmond East/Delta--Richmond-Est"," 152","Delta",45,158,31,44,0,278,433
59006,"Delta--Richmond East/Delta--Richmond-Est"," 153","Delta",21,98,19,40,0,178,310
59006,"Delta--Richmond East/Delta--Richmond-Est"," 154","Delta",29,164,11,65,0,269,423
