Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nancy Charest,Julie Demers,Louis Drainville,Jérôme Landry,Liliane Potvin,Jean-Yves Roy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 142","Sayabec",53,13,7,40,1,65,0,179,450
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 143","Sayabec",52,5,1,15,0,70,0,143,347
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 144","Saint-Cléophas",26,5,3,25,1,49,3,112,265
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 145","Sainte-Irène",44,6,7,15,0,66,1,139,247
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 146","Val-Brillant",53,15,18,32,0,55,0,173,360
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 147","Val-Brillant",41,9,4,13,0,48,0,115,214
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 148","Val-Brillant",19,7,1,13,1,36,1,78,223
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 149","Saint-Vianney",71,8,7,46,0,88,5,225,388
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 150","Saint-Tharcisius",42,6,5,37,5,75,2,172,339
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 151","Saint-Gabriel",53,17,7,46,1,108,2,234,452
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 152","Saint-Gabriel",27,6,7,17,0,43,1,101,200
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 153","Saint-Gabriel",34,8,5,25,0,61,2,135,281
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 154","Les Hauteurs-de-Rimouski",30,11,7,33,3,63,3,150,273
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 155","Les Hauteurs-de-Rimouski",11,7,1,21,1,22,2,65,149
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 156","Saint-Charles-Garnier",19,0,2,27,0,63,0,111,233
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 157","Sainte-Angèle-de-Mérici",46,14,14,28,1,104,0,207,399
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 158","Sainte-Angèle-de-Mérici",25,3,9,19,0,53,1,110,226
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 159","Sainte-Angèle-de-Mérici",18,5,2,14,0,48,1,88,210
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 160","Sainte-Jeanne-d'Arc",7,7,3,17,0,69,2,105,221
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 161","La Rédemption",40,9,5,30,0,82,4,170,384
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 162","Amqui",61,11,8,27,1,54,0,162,361
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 163","Amqui",67,18,10,20,1,67,0,183,413
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 164","Amqui",34,5,3,23,1,51,2,119,311
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 165","Amqui",47,12,5,24,3,48,5,144,334
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 166","Amqui",50,9,5,30,2,42,2,140,316
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 167","Amqui",29,4,2,20,1,39,2,97,253
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 168","Amqui",65,12,7,30,1,44,0,159,354
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 169A","Amqui",35,3,5,20,0,28,5,96,279
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 169B","Mobile poll/Bureau itinérant",39,1,2,20,0,14,0,76,79
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 170","Amqui",63,9,8,26,0,66,1,173,322
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 171","Amqui",53,10,11,29,1,61,2,167,389
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 172","Amqui",79,12,7,31,0,71,2,202,432
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 173","Amqui",44,7,7,24,0,43,0,125,293
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 174","Amqui",45,5,4,32,0,54,2,142,311
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 175","Amqui",41,7,4,30,3,44,3,132,323
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 176","Amqui",35,8,5,36,0,56,2,142,303
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 177","Saint-Léon-le-Grand",36,8,4,19,1,22,0,90,196
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 178","Saint-Léon-le-Grand",27,12,2,21,0,34,1,97,217
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 179","Saint-Zénon-du-Lac-Humqui",47,12,1,28,1,63,1,153,309
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 180","Saint-Léon-le-Grand",60,7,6,42,2,83,4,204,416
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 500","Mobile poll/Bureau itinérant",47,2,0,14,0,12,4,79,117
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 501","Mobile poll/Bureau itinérant",10,0,3,6,0,17,3,39,114
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 502","Mobile poll/Bureau itinérant",42,1,1,4,3,8,1,60,104
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 503","Mobile poll/Bureau itinérant",18,2,0,7,0,11,0,38,65
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 504","Mobile poll/Bureau itinérant",30,1,0,14,0,10,0,55,140
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 505","Mobile poll/Bureau itinérant",27,3,1,6,2,14,4,57,104
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 506","Mobile poll/Bureau itinérant",27,2,4,17,0,24,1,75,197
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 507","Mobile poll/Bureau itinérant",37,1,3,24,1,19,1,86,137
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 508","Mobile poll/Bureau itinérant",63,1,0,10,1,8,3,86,111
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 600","Sainte-Luce",37,11,12,27,2,99,3,191,
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 601","Mont-Joli",94,13,11,69,9,158,6,360,
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 602","Mont-Joli",72,12,8,77,1,126,4,300,
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 603","Price",28,4,2,31,0,50,3,118,
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 604","Saint-Ulric",35,5,5,21,1,52,0,119,
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 605","Matane",167,8,7,80,0,173,0,435,
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 606","Matane",181,9,12,81,1,154,3,441,
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 607","Matane",111,6,6,61,0,89,1,274,
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 608","Les Méchins",23,1,2,37,0,42,0,105,
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 609","Cap-Chat",82,2,1,37,2,73,0,197,
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 610","Sainte-Anne-des-Monts",117,5,4,62,0,94,5,287,
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 611","Sainte-Anne-des-Monts",99,4,1,63,0,74,1,242,
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 612","Saint-Maxime-du-Mont-Louis",21,1,2,11,0,29,1,65,
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 613","Causapscal--Lac-au-Saumon",82,5,7,78,0,117,3,292,
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 614","Sayabec--Val-Brillant",46,8,4,49,0,92,0,199,
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 615","Amqui",115,21,7,98,2,176,4,423,
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 616","Amqui",10,4,0,12,0,27,1,54,
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia",,Group 1/Groupe 1,14,6,2,39,0,34,3,98,253
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia",,Group 2/Groupe 2,87,5,11,57,0,105,4,269,

