Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carol Hughes,Dianne Musgrove,Lorraine Rekmans,Brent St. Denis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 67B","Smooth Rock Falls",5,6,0,0,0,11,93
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 68","Dubreuilville",69,9,2,17,0,97,200
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 69","Dubreuilville",97,18,2,19,2,138,323
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 70","Wawa",57,30,8,35,1,131,335
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 71","Michipicoten",12,0,1,5,1,19,39
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 72","Wawa",51,16,5,20,1,93,321
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 73","Wawa",Void/Supprimé,,,,,,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 74","Wawa",74,24,13,35,1,147,388
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 75","Wawa",91,37,8,56,1,193,402
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 76","Wawa",56,22,2,22,0,102,308
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 77","Wawa",83,18,13,19,0,133,307
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 78","Wawa",57,32,11,39,0,139,380
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 79","Hawk Junction",55,12,5,25,0,97,194
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 80","Missanabie",6,5,0,6,0,17,35
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 81","Montreal River Harbour",Void/Supprimé,,,,,,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 82","Chapleau",26,21,5,31,0,83,223
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 83","Chapleau",44,20,5,45,0,114,325
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 84","Chapleau",57,22,1,19,0,99,243
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 85","Chapleau",60,27,3,47,2,139,485
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 86","Chapleau",57,27,3,39,1,127,421
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 87","Chapleau",19,6,2,18,0,45,107
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 88","Chapleau",47,25,4,19,1,96,341
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 89","Chapleau--Island Lake",Void/Supprimé,,,,,,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 90","Wharncliffe",25,15,3,3,0,46,69
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 91","Nestorville--Little Rapids",77,85,25,66,1,254,543
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 92","Wharncliffe",Void/Supprimé,,,,,,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 93","Nestorville--Little Rapids",Void/Supprimé,,,,,,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 94","Bruce Station",Void/Supprimé,,,,,,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 95","Nestorville--Little Rapids",Void/Supprimé,,,,,,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 96","Thessalon",46,32,11,44,0,133,379
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 97","Thessalon",49,41,4,43,2,139,362
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 98","Thessalon",46,41,6,43,2,138,307
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 99","Sowerby",52,33,8,24,0,117,243
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 100","Iron Bridge",67,86,12,45,1,211,442
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 101","Iron Bridge (North)",Void/Supprimé,,,,,,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 102","Dean Lake--Iron Bridge",57,73,14,53,2,199,361
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 103","Blind River",57,44,8,64,0,173,382
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 104","Blind River",41,24,8,36,3,112,308
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 105","Mississagi River 8",60,1,6,41,1,109,207
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 106","Blind River",31,7,1,26,0,65,194
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 107","Blind River",53,20,7,32,0,112,328
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 108","Blind River",21,21,2,50,0,94,228
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 109","Blind River",44,25,4,54,1,128,365
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 110","Blind River",34,9,9,30,0,82,242
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 111","Blind River",35,32,9,51,2,129,378
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 112","Blind River",43,15,10,45,2,115,243
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 113","Blind River",40,45,12,46,1,144,294
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 114","Algoma Mills",67,32,2,36,1,138,239
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 115","Spragge",26,8,5,22,0,61,100
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 116","Elliot Lake",61,45,22,68,0,196,395
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 117","Elliot Lake",105,44,7,45,1,202,483
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 118","Elliot Lake",62,24,9,52,0,147,278
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 119","Elliot Lake",47,16,5,33,0,101,239
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 120","Elliot Lake",68,18,7,51,1,145,300
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 121","Elliot Lake",61,17,5,34,0,117,336
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 122","Elliot Lake",65,24,4,39,1,133,282
