Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jo-Anne Boulding,Tony Clement,Glen Hodgson,Jamie McGarvey,David Rowland,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 73","Rosseau",14,129,17,63,5,0,228,474
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 74","Hekkla",5,35,18,24,2,0,84,131
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 75","Huntsville",18,38,18,29,1,0,104,273
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 76A","Huntsville",20,64,13,29,1,0,127,276
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 76B","Huntsville",7,56,12,28,1,0,104,264
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 77","Huntsville",20,65,22,27,3,0,137,296
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 78","Huntsville",22,66,39,43,2,0,172,368
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 78-1","Huntsville",13,49,18,18,0,0,98,287
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 79A","Huntsville",14,42,27,28,1,0,112,248
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 79B","Huntsville",18,72,36,29,1,1,157,308
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 80","Huntsville",17,115,21,47,1,1,202,473
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 81","Huntsville",29,82,28,34,0,0,173,369
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 82","Huntsville",18,63,21,24,5,1,132,255
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 83","Huntsville",12,66,13,47,1,0,139,362
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 84","Huntsville",23,111,28,45,0,0,207,471
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 85","Huntsville",43,87,22,55,0,0,207,430
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 85-1","Huntsville",15,104,20,36,1,0,176,386
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 86","Huntsville",27,76,25,50,0,1,179,400
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 87","Hillside",42,143,41,62,2,0,290,501
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 88A","Huntsville",15,58,13,13,1,0,100,257
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 88B","Huntsville",27,45,10,22,1,0,105,269
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 89","Huntsville",19,44,25,26,1,0,115,300
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 90","Huntsville",20,51,21,24,1,0,117,330
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 91","Huntsville",38,84,25,51,0,0,198,418
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 92","Huntsville",21,63,26,39,1,1,151,374
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 93","Huntsville",34,96,42,61,0,1,234,484
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 94","Huntsville",10,64,19,19,0,0,112,271
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 95","Huntsville",26,54,14,33,1,0,128,316
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 96","Huntsville",8,64,5,45,1,0,123,301
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 97","Ullswater",24,93,43,52,0,0,212,297
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 98A","Windermere",Merged with No. 98-1A/Fusionné avec le nº 98-1A,,,,,,,56
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 98B","Windermere",Merged with No. 98-1B/Fusionné avec le nº 98-1B,,,,,,,30
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 98-1A","Muskoka Lakes",16,100,17,32,0,0,165,252
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 98-1B","Muskoka Lakes",21,96,16,54,2,1,190,258
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 99A","Huntsville",18,52,15,16,0,0,101,219
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 99B","Huntsville",20,80,14,24,1,0,139,263
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 100A","Huntsville",26,64,17,22,0,0,129,248
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 100B","Huntsville",22,74,21,35,1,0,153,282
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 101","Huntsville",15,61,13,27,0,2,118,199
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 101-1","Huntsville",30,111,30,54,3,0,228,400
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 102A","Huntsville",26,54,8,33,2,0,123,243
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 102B","Huntsville",39,78,21,29,0,1,168,320
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 103A","Huntsville",20,75,26,43,0,0,164,283
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 103B","Huntsville",25,87,25,43,0,0,180,299
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 104","Huntsville",26,75,26,43,0,1,171,381
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 104-1","Huntsville",4,61,12,19,1,0,97,200
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 105","Huntsville",35,62,17,47,0,0,161,359
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 106","Huntsville",15,67,25,45,0,0,152,334
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 107","Huntsville",16,69,7,28,0,0,120,253
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 108","Huntsville",19,103,22,61,0,0,205,366
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 109A","Huntsville",18,54,17,25,0,0,114,252
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 109B","Huntsville",15,65,18,37,0,0,135,266
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 109-1A","Huntsville",Merged with No. 109A/Fusionné avec le nº 109A,,,,,,,9
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 109-1B","Huntsville",Merged with No. 109B/Fusionné avec le nº 109B,,,,,,,21
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 110","Dwight",15,99,20,48,1,0,183,313
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 111","Lake of Bays",13,90,12,42,1,0,158,240
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 112","Lake of Bays",17,89,8,39,1,0,154,275
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 113","MacTier",8,61,6,20,1,0,96,284
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 114","Moose Point 79",9,26,5,19,1,0,60,134
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 115A","MacTier",8,48,10,9,0,1,76,196
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 115B","MacTier",8,64,7,26,0,1,106,294
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 116","Minett",9,80,11,43,0,0,143,334
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 117","Port Carling",22,110,37,56,1,0,226,384
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 117-1","Muskoka Lakes",5,44,16,25,1,0,91,122
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 118","Port Carling",13,125,35,52,0,0,225,361
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 118-1","Muskoka Lakes",7,52,12,21,0,0,92,186
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 119","Glen Orchard",12,116,16,44,0,0,188,307
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 120","Wahta Mohawk Territory",6,4,4,20,0,0,34,54
