Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brad Carroll,Margaret Chandler,Jason Kenney,Chris Willott,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48007,"Calgary Southeast/Calgary-Sud-Est"," 84","Calgary",9,30,130,22,1,192,374
48007,"Calgary Southeast/Calgary-Sud-Est"," 85","Calgary",18,28,86,22,0,154,376
48007,"Calgary Southeast/Calgary-Sud-Est"," 86","Calgary",21,33,190,13,0,257,434
48007,"Calgary Southeast/Calgary-Sud-Est"," 87","Calgary",8,27,138,18,0,191,387
48007,"Calgary Southeast/Calgary-Sud-Est"," 88","Calgary",12,18,87,21,1,139,352
48007,"Calgary Southeast/Calgary-Sud-Est"," 89","Calgary",20,21,97,16,0,154,306
48007,"Calgary Southeast/Calgary-Sud-Est"," 90","Calgary",17,4,97,31,1,150,304
48007,"Calgary Southeast/Calgary-Sud-Est"," 91","Calgary",2,7,34,3,0,46,157
48007,"Calgary Southeast/Calgary-Sud-Est"," 92","Calgary",14,24,111,18,2,169,380
48007,"Calgary Southeast/Calgary-Sud-Est"," 93","Calgary",25,35,174,24,0,258,461
48007,"Calgary Southeast/Calgary-Sud-Est"," 94","Calgary",16,32,148,29,4,229,425
48007,"Calgary Southeast/Calgary-Sud-Est"," 95","Calgary",15,25,162,27,2,231,457
48007,"Calgary Southeast/Calgary-Sud-Est"," 96","Calgary",16,20,95,21,1,153,390
48007,"Calgary Southeast/Calgary-Sud-Est"," 97","Calgary",15,27,149,37,0,228,439
48007,"Calgary Southeast/Calgary-Sud-Est"," 98","Calgary",12,11,77,2,0,102,223
48007,"Calgary Southeast/Calgary-Sud-Est"," 99","Calgary",19,9,111,8,0,147,290
48007,"Calgary Southeast/Calgary-Sud-Est"," 100","Calgary",9,9,145,6,0,169,371
48007,"Calgary Southeast/Calgary-Sud-Est"," 101","Calgary",22,19,205,8,0,254,482
48007,"Calgary Southeast/Calgary-Sud-Est"," 102","Calgary",11,11,129,11,0,162,314
48007,"Calgary Southeast/Calgary-Sud-Est"," 103","Calgary",11,22,124,11,1,169,374
48007,"Calgary Southeast/Calgary-Sud-Est"," 104","Calgary",17,22,265,15,1,320,549
48007,"Calgary Southeast/Calgary-Sud-Est"," 105","Calgary",23,8,205,5,1,242,462
48007,"Calgary Southeast/Calgary-Sud-Est"," 106","Calgary",16,14,157,2,0,189,413
48007,"Calgary Southeast/Calgary-Sud-Est"," 107","Calgary",25,17,174,12,0,228,408
48007,"Calgary Southeast/Calgary-Sud-Est"," 108","Calgary",15,16,258,13,1,303,543
48007,"Calgary Southeast/Calgary-Sud-Est"," 109","Calgary",17,8,149,12,0,186,375
48007,"Calgary Southeast/Calgary-Sud-Est"," 110","Calgary",13,13,136,20,0,182,383
48007,"Calgary Southeast/Calgary-Sud-Est"," 111","Calgary",11,10,138,9,0,168,361
48007,"Calgary Southeast/Calgary-Sud-Est"," 112","Calgary",26,9,182,18,0,235,535
48007,"Calgary Southeast/Calgary-Sud-Est"," 113","Calgary",11,14,176,5,4,210,357
48007,"Calgary Southeast/Calgary-Sud-Est"," 114","Calgary",7,13,173,9,2,204,420
48007,"Calgary Southeast/Calgary-Sud-Est"," 115","Calgary",11,15,91,7,0,124,347
48007,"Calgary Southeast/Calgary-Sud-Est"," 116","Calgary",11,10,151,4,0,176,346
48007,"Calgary Southeast/Calgary-Sud-Est"," 117","Calgary",10,9,79,18,0,116,264
48007,"Calgary Southeast/Calgary-Sud-Est"," 118","Calgary",17,18,180,12,0,227,388
48007,"Calgary Southeast/Calgary-Sud-Est"," 119","Calgary",13,20,100,23,0,156,384
48007,"Calgary Southeast/Calgary-Sud-Est"," 119-1","Calgary",20,20,128,12,0,180,355
48007,"Calgary Southeast/Calgary-Sud-Est"," 120","Calgary",29,35,124,14,0,202,318
48007,"Calgary Southeast/Calgary-Sud-Est"," 121","Calgary",17,8,91,12,0,128,473
48007,"Calgary Southeast/Calgary-Sud-Est"," 122","Calgary",4,29,111,14,1,159,291
48007,"Calgary Southeast/Calgary-Sud-Est"," 123","Calgary",12,19,108,12,1,152,295
48007,"Calgary Southeast/Calgary-Sud-Est"," 124","Calgary",21,31,127,25,0,204,422
48007,"Calgary Southeast/Calgary-Sud-Est"," 125","Calgary",8,21,132,20,0,181,330
48007,"Calgary Southeast/Calgary-Sud-Est"," 126","Calgary",12,23,136,22,0,193,408
48007,"Calgary Southeast/Calgary-Sud-Est"," 127","Calgary",26,30,156,17,1,230,451
48007,"Calgary Southeast/Calgary-Sud-Est"," 128","Calgary",17,23,190,7,3,240,403
48007,"Calgary Southeast/Calgary-Sud-Est"," 129","Calgary",21,42,167,24,0,254,463
48007,"Calgary Southeast/Calgary-Sud-Est"," 130","Calgary",7,11,80,10,0,108,191
48007,"Calgary Southeast/Calgary-Sud-Est"," 131","Calgary",18,49,216,12,1,296,471
48007,"Calgary Southeast/Calgary-Sud-Est"," 132","Calgary",10,13,117,8,0,148,287
48007,"Calgary Southeast/Calgary-Sud-Est"," 133","Calgary",7,17,98,15,0,137,280
48007,"Calgary Southeast/Calgary-Sud-Est"," 134","Calgary",21,23,193,11,0,248,450
48007,"Calgary Southeast/Calgary-Sud-Est"," 135","Calgary",16,29,131,13,0,189,330
48007,"Calgary Southeast/Calgary-Sud-Est"," 136","Calgary",20,25,164,9,1,219,335
48007,"Calgary Southeast/Calgary-Sud-Est"," 137","Calgary",16,35,155,8,1,215,333
48007,"Calgary Southeast/Calgary-Sud-Est"," 138","Calgary",28,20,129,13,1,191,311
48007,"Calgary Southeast/Calgary-Sud-Est"," 139","Calgary",24,28,217,8,0,277,420
48007,"Calgary Southeast/Calgary-Sud-Est"," 140","Calgary",34,42,199,21,2,298,436
48007,"Calgary Southeast/Calgary-Sud-Est"," 141","Calgary",19,43,262,20,3,347,543
48007,"Calgary Southeast/Calgary-Sud-Est"," 142","Calgary",20,25,180,7,0,232,376
48007,"Calgary Southeast/Calgary-Sud-Est"," 143","Calgary",22,34,154,20,1,231,353
48007,"Calgary Southeast/Calgary-Sud-Est"," 144","Calgary",28,37,171,16,0,252,421
48007,"Calgary Southeast/Calgary-Sud-Est"," 145","Calgary",14,44,163,32,0,253,431
48007,"Calgary Southeast/Calgary-Sud-Est"," 146","Calgary",8,25,120,28,0,181,362
48007,"Calgary Southeast/Calgary-Sud-Est"," 147","Calgary",26,27,182,30,0,265,510
48007,"Calgary Southeast/Calgary-Sud-Est"," 148","Calgary",14,26,182,15,0,237,451
48007,"Calgary Southeast/Calgary-Sud-Est"," 149","Calgary",11,28,213,18,0,270,458
48007,"Calgary Southeast/Calgary-Sud-Est"," 150","Calgary",22,35,195,13,0,265,456
48007,"Calgary Southeast/Calgary-Sud-Est"," 151","Calgary",19,6,72,9,0,106,312
48007,"Calgary Southeast/Calgary-Sud-Est"," 151-1","Calgary",9,12,78,14,1,114,263
48007,"Calgary Southeast/Calgary-Sud-Est"," 152","Calgary",16,29,167,22,0,234,465
