Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Normand Beaudet,Marie Martine Bédard,Claude Carignan,Luc Desnoyers,Denis Joannette,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 149A","Sainte-Marthe-sur-le-Lac",24,7,22,62,22,1,138,248
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 149B","Sainte-Marthe-sur-le-Lac",30,2,32,67,26,4,161,279
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 150A","Sainte-Marthe-sur-le-Lac",19,8,20,57,13,3,120,247
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 150B","Sainte-Marthe-sur-le-Lac",13,6,15,82,19,1,136,279
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 151","Sainte-Marthe-sur-le-Lac",29,9,22,114,31,5,210,446
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 152","Sainte-Marthe-sur-le-Lac",40,18,47,119,38,5,267,446
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 153","Sainte-Marthe-sur-le-Lac",26,5,29,89,21,1,171,292
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 154A","Sainte-Marthe-sur-le-Lac",22,7,21,61,15,3,129,261
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 154B","Sainte-Marthe-sur-le-Lac",18,6,23,64,22,3,136,286
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 155A","Sainte-Marthe-sur-le-Lac",20,10,24,69,17,1,141,243
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 155B","Sainte-Marthe-sur-le-Lac",20,8,19,84,7,0,138,241
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 156A","Sainte-Marthe-sur-le-Lac",29,4,13,91,19,4,160,311
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 156B","Sainte-Marthe-sur-le-Lac",34,5,29,80,20,3,171,309
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 157A","Sainte-Marthe-sur-le-Lac",26,7,27,102,32,3,197,316
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 157B","Sainte-Marthe-sur-le-Lac",30,7,21,87,29,6,180,320
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 158","Sainte-Marthe-sur-le-Lac",33,13,29,135,32,2,244,453
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 159A","Sainte-Marthe-sur-le-Lac",21,9,23,89,21,2,165,282
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 159B","Sainte-Marthe-sur-le-Lac",18,2,26,85,22,7,160,295
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 160A","Sainte-Marthe-sur-le-Lac",16,12,20,57,29,1,135,222
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 160B","Sainte-Marthe-sur-le-Lac",17,8,32,87,22,1,167,256
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 161A","Sainte-Marthe-sur-le-Lac",24,10,18,74,23,3,152,263
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 161B","Sainte-Marthe-sur-le-Lac",12,8,24,84,25,1,154,282
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 162","Sainte-Marthe-sur-le-Lac",41,7,38,95,37,6,224,444
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 600","Boisbriand",77,22,158,347,142,13,759,
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 601","Boisbriand",52,28,117,262,86,16,561,
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 602","Saint-Eustache",73,21,236,353,95,11,789,
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 603","Saint-Eustache",45,14,196,300,74,6,635,
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 604","Saint-Eustache",61,19,254,307,109,10,760,
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 605","Deux-Montagnes",63,35,180,224,195,5,702,
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 606","Deux-Montagnes",63,39,163,252,190,8,715,
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 607","Sainte-Marthe-sur-le-Lac",72,30,195,372,123,17,809,
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles",,Group 1/Groupe 1,7,3,31,27,9,3,80,129
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles",,Group 2/Groupe 2,65,21,218,420,156,15,895,

