Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Terry Christopher Butler,Greg Byrne,Ryan Cleary,Siobhan Coady,Ted Warren,Merv Wiseman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 56","St. John's",0,3,101,98,5,22,1,230,559
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 57","St. John's",0,3,109,63,4,34,1,214,530
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 58","St. John's",1,2,66,103,3,37,0,212,402
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 59","St. John's",0,4,83,112,4,25,0,228,519
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 60","St. John's",2,1,92,112,4,44,1,256,525
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 61","St. John's",0,2,40,48,1,8,0,99,310
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 62","St. John's",1,2,65,76,2,15,0,161,405
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 63","St. John's",0,5,66,70,1,24,2,168,357
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 64","St. John's",4,1,70,82,3,20,0,180,386
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 65","St. John's",1,5,64,108,8,24,0,210,359
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 66","St. John's",0,7,90,96,5,33,0,231,414
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 67","St. John's",0,2,71,115,2,24,1,215,354
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 68","St. John's",2,1,85,69,4,28,0,189,399
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 69","St. John's",0,3,89,64,0,17,2,175,422
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 70","St. John's",0,1,56,76,3,17,0,153,309
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 71","St. John's",1,1,73,77,2,18,0,172,397
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 72","St. John's",1,2,78,124,5,41,2,253,442
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 73","St. John's",0,1,59,82,4,28,0,174,354
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 74","St. John's",0,7,67,96,5,37,1,213,388
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 75","St. John's",1,4,57,120,3,41,1,227,363
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 76","St. John's",1,3,86,112,2,22,0,226,368
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 77","St. John's",2,4,44,91,3,17,1,162,281
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 78","St. John's",1,3,119,119,2,21,0,265,424
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 79","St. John's",0,3,82,105,1,14,0,205,350
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 80","St. John's",2,2,69,71,3,15,2,164,296
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 81","St. John's",1,1,79,107,7,29,0,224,431
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 82","St. John's",0,1,42,72,1,15,0,131,239
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 83","Mount Pearl",3,3,106,99,2,30,0,243,453
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 84","Mount Pearl",1,1,85,48,5,20,0,160,394
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 85","Mount Pearl",3,3,89,129,3,45,3,275,532
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 86","Mount Pearl",1,4,45,37,1,18,1,107,217
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 86-1","Mount Pearl",0,1,90,52,1,19,1,164,439
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 87","Mount Pearl",0,1,84,74,5,26,1,191,374
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 88","Mount Pearl",0,0,37,56,0,7,0,100,302
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 89","Mount Pearl",2,2,54,133,4,38,1,234,348
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 90","Mount Pearl",1,2,95,113,2,30,1,244,452
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 91","Mount Pearl",0,2,93,71,2,16,0,184,310
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 92","Mount Pearl",4,5,58,55,1,14,0,137,280
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 93","Mount Pearl",2,4,55,58,3,18,1,141,304
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 94","Mount Pearl",1,0,59,57,5,25,2,149,280
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 95","Mount Pearl",1,1,100,73,6,23,0,204,370
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 96","Mount Pearl",0,0,76,66,1,25,0,168,342
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 97","Mount Pearl",0,1,71,83,4,19,0,178,329
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 98","Mount Pearl",1,2,60,77,0,21,0,161,321
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 99","Mount Pearl",0,1,83,60,4,32,0,180,384
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 100","Mount Pearl",0,2,51,52,2,15,0,122,236
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 101","Mount Pearl",1,10,112,97,4,19,0,243,436
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 102","Mount Pearl",0,6,48,72,1,21,2,150,321
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 103","Mount Pearl",0,1,49,57,2,16,1,126,256
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 104","Mount Pearl",0,3,66,49,1,24,0,143,356
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 105","Mount Pearl",0,3,68,61,3,12,0,147,305
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 106","Mount Pearl",0,2,67,85,4,17,0,175,390
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 107","Mount Pearl",0,1,93,100,2,14,1,211,381
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 108","Mount Pearl",1,0,93,91,4,12,1,202,449
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 109","Mount Pearl",0,3,99,49,2,16,0,169,339
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 110","Mount Pearl",2,1,41,71,3,14,1,133,291
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 111","Mount Pearl",0,0,99,103,3,21,0,226,385
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 112","Mount Pearl",0,1,61,77,2,19,0,160,301
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 113","Mount Pearl",1,0,97,95,3,32,0,228,399
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 114","Mount Pearl",0,2,77,94,1,28,0,202,354
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 115","Mount Pearl",3,0,62,68,3,17,0,153,344
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 116","Mount Pearl",3,3,81,84,2,14,1,188,412
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 117","Mount Pearl",2,5,92,96,2,21,0,218,442
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 118","Mount Pearl",0,1,149,140,5,22,2,319,511
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 119","Mount Pearl",3,1,71,101,4,28,0,208,380
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 120","Mount Pearl",1,3,115,76,3,31,1,230,479
