Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alina Abbott,Ron Cadotte,Matt Daudlin,Dave Van Kesteren,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 100A","Chatham",11,28,44,77,1,161,297
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 100B","Chatham",9,22,34,77,1,143,270
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 101","Chatham",11,19,50,89,0,169,314
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 102","Chatham",13,48,56,71,0,188,328
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 103","Chatham",12,34,33,63,0,142,329
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 104","Chatham",12,9,58,92,0,171,347
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 105","Chatham",14,31,61,93,1,200,422
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 106","Chatham",9,34,36,59,0,138,368
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 107","Chatham",7,41,35,43,2,128,326
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 108","Chatham",17,31,57,108,2,215,353
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 109","Chatham",10,19,49,73,2,153,290
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 110","Chatham",15,31,57,84,1,188,321
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 111","Chatham",9,39,56,64,1,169,386
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 112","Chatham",24,40,81,100,0,245,431
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 113","Chatham",11,31,68,117,1,228,451
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 114","Chatham",8,48,70,92,3,221,414
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 115","Chatham",12,35,38,72,2,159,261
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 116","Chatham",12,18,52,68,0,150,211
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 117","Chatham",9,41,70,87,1,208,344
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 118","Chatham",13,36,30,33,0,112,314
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 119","Chatham",13,52,52,75,1,193,407
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 120","Chatham",2,17,21,25,0,65,202
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 121","Chatham",9,25,29,45,0,108,272
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 122","Chatham",11,25,47,84,2,169,335
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 123","Chatham",13,30,32,72,0,147,322
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 124","Chatham",8,27,42,71,1,149,362
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 125","Chatham",8,47,69,101,2,227,346
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 126","Chatham",7,36,47,77,1,168,284
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 127","Chatham",9,30,34,66,1,140,363
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 128","Chatham",10,26,51,37,2,126,333
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 129","Chatham",4,29,23,27,0,83,279
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 130","Chatham",9,31,67,109,2,218,407
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 131","Chatham",13,43,41,92,0,189,439
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 132","Chatham",5,11,56,47,0,119,193
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 133","Chatham",18,27,104,92,0,241,385
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 134","Chatham",6,22,49,84,0,161,319
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 135","Chatham",8,21,37,50,0,116,328
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 136","Chatham",14,24,64,63,1,166,302
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 137","Chatham",11,38,44,44,1,138,286
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 138","Chatham",4,33,15,24,1,77,237
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 139","Chatham",8,48,38,45,2,141,368
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 140","Chatham",7,39,34,37,0,117,322
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 141","Chatham",8,51,52,87,0,198,469
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 142","Chatham",Void/Supprimé,,,,,,
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 143","Chatham",4,43,27,32,1,107,344
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 144","Chatham",6,27,26,34,0,93,277
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 145","Chatham",7,43,33,60,0,143,367
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 146","Chatham",5,37,12,31,0,85,237
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 147","Chatham",18,41,54,104,1,218,408
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 148","Chatham",9,36,42,133,0,220,417
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 149","Chatham",2,8,46,79,1,136,233
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 150","Chatham",17,27,62,99,1,206,417
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 151","Chatham",14,31,38,45,0,128,284
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 152","Chatham",13,23,67,101,1,205,350
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 153","Chatham",15,40,42,50,0,147,406
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 154","Chatham",6,34,22,44,1,107,275
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 155","Chatham",13,23,81,90,1,208,344
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 156","Chatham",9,44,47,106,2,208,397
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 157","Chatham",9,34,57,54,2,156,294
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 158","Chatham",15,14,61,130,1,221,376
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 159","Chatham",15,21,70,99,1,206,345
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 160A","Chatham",7,23,22,61,2,115,253
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 160B","Chatham",3,30,25,70,1,129,234
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 161","Chatham",10,39,40,72,4,165,395
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 162","Chatham",14,29,55,98,1,197,356
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 163","Chatham",22,23,37,107,2,191,333
