Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Daniel Beaudin,Daniel Breton,Christian P. Feuillette,Darryl Gray,Véronik Sansoucy,Thierry St-Cyr,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 606","Verdun",60,42,122,1,13,153,7,398,
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 607","Verdun",40,40,100,3,17,157,3,360,
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 608","Verdun",35,24,65,2,5,107,1,239,
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 609","Verdun",21,28,72,1,12,70,1,205,
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 610","Verdun",22,34,37,1,14,79,3,190,
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 611","Verdun",126,35,228,0,16,136,2,543,
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 612","Verdun",118,36,239,1,17,127,3,541,
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 613","Verdun",125,32,222,2,13,113,2,509,
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 614","Verdun",47,58,102,0,16,137,3,363,
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 615","Verdun",42,37,128,3,7,117,2,336,
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 616","Verdun",52,37,154,1,18,117,5,384,
24024,"Jeanne-Le Ber/Jeanne-Le Ber",,Group 1/Groupe 1,27,19,55,5,16,41,13,176,256
24024,"Jeanne-Le Ber/Jeanne-Le Ber",,Group 2/Groupe 2,71,67,219,1,25,241,7,631,

