Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joe Hill,Micheal Janssens,Jim Johnston,Bev Shipley,Jeff Wesley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 605","Caradoc (Mount Brydges)",48,5,21,265,112,0,451,
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 606","Strathroy North",38,6,35,235,97,3,414,
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 607","Strathroy South",34,4,21,172,69,1,301,
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 608","Glencoe",53,10,23,206,99,1,392,
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 609","Watford",17,2,13,150,29,0,211,
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 610","Dresden",50,2,13,216,84,0,365,
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 611","Wallaceburg",50,2,16,195,169,0,432,
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 612","Thamesville",17,6,15,125,44,1,208,
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 613","Pain Court",8,0,4,75,51,0,138,
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex",,Group 1/Groupe 1,9,0,9,55,17,0,90,175
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex",,Group 2/Groupe 2,52,3,28,218,108,8,417,

