Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dominique Bellemare,Claude Debellefeuille,Maria Lopez,Anne Minh Thu Quach,David Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 138-1","Sainte-Martine",38,83,28,15,5,2,171,271
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 139","Sainte-Martine",25,99,29,28,8,7,196,334
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 139-1","Sainte-Martine",23,75,22,18,6,4,148,259
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 140","Sainte-Martine",39,114,73,24,5,8,263,404
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 141","Sainte-Martine",40,142,43,26,3,0,254,433
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 142","Sainte-Martine",37,100,25,22,6,6,196,298
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 143","Saint-Urbain-Premier",52,174,61,35,7,6,335,493
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 144","Saint-Urbain-Premier",54,112,35,36,7,8,252,372
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 145","Très-Saint-Sacrement",51,52,40,6,7,0,156,260
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 146","Howick",57,74,66,33,19,6,255,409
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 147","Très-Saint-Sacrement",91,91,38,37,12,3,272,406
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 148","Sainte-Martine",62,57,54,16,24,2,215,359
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 149","Saint-Chrysostome",53,92,41,28,14,1,229,446
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 150","Saint-Chrysostome",33,110,26,23,3,3,198,392
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 151","Saint-Chrysostome",56,153,36,27,7,5,284,516
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 152","Saint-Chrysostome",59,108,22,18,7,2,216,452
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 153","Saint-Chrysostome",7,48,15,7,2,1,80,147
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 154","Ormstown",69,45,38,33,19,3,207,415
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 155A","Ormstown",45,68,49,21,11,3,197,395
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 155B","Mobile poll/Bureau itinérant",Merged with No. 156B/Fusionné avec le nº 156B,,,,,,,24
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 156A","Ormstown",41,46,32,13,8,0,140,318
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 156B","Mobile poll/Bureau itinérant",15,6,22,0,0,2,45,47
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 157","Ormstown",39,52,29,17,6,2,145,250
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 158","Ormstown",51,98,40,20,13,4,226,461
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 159A","Ormstown",63,110,49,19,12,5,258,502
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 159B","Mobile poll/Bureau itinérant",Merged with No. 156B/Fusionné avec le nº 156B,,,,,,,20
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 160","Ormstown",54,76,48,28,14,3,223,466
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 161","Saint-Antoine-Abbé",39,124,60,34,12,5,274,473
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 162","Saint-Antoine-Abbé",72,139,52,25,13,6,307,518
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 163","Franklin",60,57,31,18,13,1,180,339
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 164","Sainte-Clotilde-de-Châteauguay",38,86,42,30,4,4,204,365
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 165","Sainte-Clotilde-de-Châteauguay",50,118,25,29,7,7,236,414
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 166","Sainte-Clotilde-de-Châteauguay",38,103,30,23,11,0,205,428
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 167","Hemmingford",59,59,55,28,34,1,236,445
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 168","Hemmingford",88,36,46,20,33,1,224,438
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 169","Hemmingford",51,20,32,8,4,0,115,236
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 170","Hemmingford",49,11,34,26,20,0,140,302
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 171","Hemmingford",68,57,59,23,31,0,238,435
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 171-1","Hemmingford",13,12,16,8,17,0,66,110
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 172","Havelock",33,53,31,20,10,0,147,257
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 173","Havelock",64,76,65,27,16,1,249,419
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 174","Saint-Rémi",34,136,39,23,7,2,241,393
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 175A","Saint-Rémi",27,132,35,32,8,4,238,400
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 175B","Saint-Rémi",37,105,24,26,8,2,202,381
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 176","Saint-Rémi",27,107,36,26,5,6,207,434
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 177","Saint-Rémi",41,132,50,42,7,8,280,559
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 178","Saint-Rémi",50,105,33,15,7,4,214,373
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 179","Saint-Rémi",19,56,17,19,0,2,113,279
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 180","Saint-Rémi",30,86,22,14,4,3,159,383
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 181","Saint-Rémi",34,135,29,27,4,6,235,476
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 182","Saint-Rémi",51,95,31,30,9,2,218,418
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 183","Saint-Rémi",41,102,42,26,3,7,221,395
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 184","Saint-Rémi",38,148,28,24,4,4,246,506
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 185","Saint-Michel",33,124,21,11,1,4,194,342
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 186","Saint-Édouard",26,101,40,21,6,4,198,329
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 187","Saint-Jacques-le-Mineur",53,162,45,50,9,7,326,487
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 188","Saint-Jacques-le-Mineur",45,107,28,24,4,3,211,349
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 189","Saint-Jacques-le-Mineur",36,129,48,30,9,5,257,399
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 190","Saint-Édouard",31,115,44,14,8,3,215,365
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 191","Saint-Édouard",43,89,29,22,7,2,192,323
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 192","Saint-Michel",40,93,33,16,6,1,189,346
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 193","Saint-Michel",30,184,38,36,9,5,302,502
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 194","Saint-Michel",47,191,48,43,5,5,339,578
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 195","Saint-Michel",33,107,27,17,8,4,196,319
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 196","Saint-Cyprien-de-Napierville",46,81,40,25,11,6,209,378
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 197","Napierville",26,66,33,15,2,2,144,243
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 198","Napierville",51,114,54,32,9,3,263,432
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 199","Napierville",67,119,62,33,9,12,302,565
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 200","Napierville",67,137,79,42,17,9,351,623
