Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pierre Audette,Christian-Simon Ferlatte,Mario Laframboise,Scott Pearce,André Robert,Alain Senécal,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 161-1A","Mirabel",6,0,73,18,33,21,0,151,279
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 161-1B","Mirabel",2,0,87,22,21,29,0,161,282
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 162A","Mirabel (Parc du Domaine Vert)",5,1,97,26,39,28,6,202,340
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 162B","Mirabel (Parc du Domaine Vert)",7,0,142,23,35,44,5,256,417
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 162-1A","Mirabel",10,1,119,23,21,42,4,220,321
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 162-1B","Mirabel",9,0,112,23,28,25,1,198,296
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 162-2","Mirabel",3,0,124,36,20,48,3,234,376
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 163","Mirabel (Saint-Janvier)",3,0,44,31,18,5,0,101,165
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 164","Mirabel (Saint-Augustin)",1,0,21,8,21,10,2,63,144
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 165A","Mirabel (Saint-Augustin)",3,0,89,23,20,20,8,163,286
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 165B","Mirabel (Saint-Augustin)",8,0,74,26,22,16,4,150,275
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 166","Mirabel (Saint-Augustin)",10,1,109,31,28,28,5,212,366
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 167","Mirabel (Saint-Augustin)",6,0,125,43,28,43,7,252,396
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 168","Mirabel (Saint-Augustin)",4,1,103,19,27,41,8,203,342
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 169","Mirabel (Saint-Augustin)",2,1,95,32,33,39,1,203,360
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 170","Mirabel (Saint-Augustin)",7,1,94,15,15,45,5,182,311
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 171","Mirabel (Saint-Augustin)",2,0,70,9,19,18,5,123,190
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 172","Mirabel (Saint-Augustin)",4,0,84,24,29,34,8,183,288
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 172-1","Mirabel",3,0,153,28,28,31,4,247,371
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 173A","Mirabel (Saint-Augustin)",3,0,114,16,18,24,2,177,284
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 173B","Mirabel (Saint-Augustin)",5,0,94,20,18,23,3,163,287
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 173-1","Mirabel",9,0,156,18,18,23,2,226,406
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 174A","Mirabel (Saint-Augustin)",10,1,128,24,30,54,5,252,414
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 174B","Mirabel (Saint-Augustin)",7,0,129,34,41,47,4,262,417
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 174-1","Mirabel",9,0,163,25,44,23,12,276,461
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 175","Mirabel (Saint-Augustin)",10,1,144,31,28,43,4,261,501
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 176","Mirabel (Saint-Benoît)",11,0,118,60,35,25,7,256,420
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 177A","Mirabel (Saint-Benoît)",8,1,113,24,26,24,5,201,291
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 177B","Mirabel (Saint-Benoît)",16,0,100,25,29,28,2,200,293
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 178","Mirabel (Saint-Benoît)",12,0,140,34,38,23,3,250,413
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 179","Mirabel (Saint-Benoît)",6,1,122,37,41,36,7,250,379
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 180","Mirabel (Saint-Canut)",8,2,156,27,34,26,4,257,374
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 181","Mirabel (Saint-Canut)",5,0,117,23,23,34,3,205,357
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 182","Mirabel (Saint-Canut)",15,1,123,36,33,45,7,260,433
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 183","Mirabel (Saint-Canut)",7,0,144,33,33,60,3,280,442
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 184A","Mirabel (Saint-Canut)",3,0,97,12,11,26,1,150,310
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 184B","Mirabel (Saint-Canut)",1,0,96,13,7,32,4,153,272
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 185A","Mirabel (Saint-Canut)",4,0,76,13,17,28,4,142,260
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 185B","Mirabel (Saint-Canut)",2,0,82,11,13,21,3,132,287
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 186","Mirabel (Saint-Canut)",12,2,137,32,32,28,2,245,471
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 187A","Mirabel (Saint-Canut)",5,0,117,30,26,41,2,221,385
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 187B","Mirabel (Saint-Canut)",3,0,115,32,39,35,0,224,415
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 187-1A","Mirabel",4,0,124,47,27,41,4,247,514
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 187-1B","Mirabel",9,0,102,39,30,42,3,225,463
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 188A","Mirabel (Saint-Janvier)",9,0,88,41,23,16,3,180,404
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 188B","Mirabel (Saint-Janvier)",2,0,100,29,18,24,7,180,380
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 189A","Mirabel (Saint-Janvier)",7,0,77,17,18,20,5,144,297
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 189B","Mirabel (Saint-Janvier)",5,0,64,30,18,18,2,137,258
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 190A","Mirabel (Saint-Janvier)",4,0,91,16,16,19,3,149,283
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 190B","Mirabel (Saint-Janvier)",5,0,108,16,33,32,3,197,300
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 191A","Mirabel (Saint-Janvier)",5,0,106,24,28,36,3,202,318
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 191B","Mirabel (Saint-Janvier)",6,0,84,16,26,40,4,176,306
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 192","Mirabel (Saint-Janvier)",5,0,129,13,14,46,5,212,360
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 193","Mirabel (Saint-Janvier)",3,0,120,28,36,42,3,232,370
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 194","Mirabel (Saint-Janvier)",17,1,136,29,33,35,4,255,487
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 195","Mirabel (Saint-Janvier)",10,1,151,53,44,64,7,330,521
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 196","Mirabel (Saint-Janvier)",6,2,105,17,24,35,3,192,433
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 197","Mirabel (Saint-Janvier)",9,0,134,24,33,30,8,238,490
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 198","Mirabel (Saint-Janvier)",6,1,65,18,28,23,5,146,317
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 199A","Mirabel (Saint-Janvier)",6,0,86,19,27,25,2,165,310
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 199B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,,16
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 200","Mirabel (Saint-Janvier)",6,0,79,24,26,14,4,153,291
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 201A","Mirabel (Saint-Janvier)",6,0,96,13,16,23,1,155,289
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 201B","Mirabel (Saint-Janvier)",4,0,82,10,13,22,1,132,273
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 201-1","Mirabel",15,2,136,30,32,35,4,254,444
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 202","Mirabel (Saint-Janvier)",13,0,156,30,37,67,6,309,506
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 203","Mirabel (Saint-Janvier)",3,0,127,29,37,32,6,234,443
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 204","Mirabel (Saint-Janvier)",6,0,89,19,19,25,1,159,279
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 204-1","Mirabel",5,1,126,29,33,21,1,216,425
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 205","Mirabel (Saint-Janvier)",6,2,150,29,36,50,4,277,502
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 400","Lachute",2,0,33,39,52,2,4,132,175
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 500","Mobile poll/Bureau itinérant",1,2,23,15,21,3,2,67,81
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 501","Mobile poll/Bureau itinérant",5,1,15,10,23,1,4,59,105
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 600","Thurso",7,0,142,62,74,15,0,300,
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 601","Saint-André-Avellin",7,0,139,53,43,9,3,254,
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 602","Saint-André-Avellin",7,3,105,27,23,7,2,174,
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 603","Montebello",7,0,121,39,36,22,0,225,
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 604","Grenville",6,0,100,112,86,23,5,332,
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 605","Brownsburg-Chatham",14,0,113,83,59,21,0,290,
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 606","Brownsburg-Chatham",5,0,98,119,83,25,2,332,
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 607","Morin-Heights",40,2,218,178,189,63,7,697,
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 608","Lachute",12,0,189,109,98,19,1,428,
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 609","Lachute",13,0,191,188,121,36,5,554,
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 610","Saint-André-d'Argenteuil",15,1,77,55,49,13,4,214,
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 611","Saint-Placide",4,0,131,49,43,22,1,250,
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 612","Saint-Joseph-du-Lac",10,0,172,56,40,29,3,310,
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 613","Saint-Joseph-du-Lac",6,0,84,31,35,17,1,174,
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 614","Mirabel (Saint-Augustin)",7,0,161,44,45,26,3,286,
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 615","Mirabel (Saint-Augustin)",20,0,249,55,64,42,7,437,
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 616","Mirabel (Saint-Canut)",10,0,136,60,36,36,5,283,
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 617","Mirabel (Saint-Janvier)",5,0,153,40,54,29,2,283,
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 618","Mirabel (Saint-Janvier)",10,0,186,75,63,27,4,365,
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel",,Group 1/Groupe 1,5,0,32,34,23,4,5,103,184
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel",,Group 2/Groupe 2,19,0,263,162,114,44,12,614,

