Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,André Bellavance,François Fillion,Gwyneth Helen Grant,Jean Landry,Éric Lefebvre,Stéphane Ricard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 111","Chesterville",119,15,36,0,72,20,3,265,383
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 112","Saint-Christophe-d'Arthabaska",150,7,11,0,73,11,0,252,422
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 113","Saint-Christophe-d'Arthabaska",139,7,30,2,94,29,5,306,533
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 113-1","Saint-Christophe-d'Arthabaska",99,3,21,2,53,20,6,204,344
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 114","Saint-Christophe-d'Arthabaska",102,1,19,3,77,18,6,226,358
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 114-1","Saint-Christophe-d'Arthabaska",93,3,10,0,73,24,0,203,355
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 115","Warwick",124,10,19,3,70,24,2,252,412
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 116A","Warwick",56,6,7,1,34,15,2,121,214
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 116B","Warwick",44,6,16,2,30,13,1,112,213
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 117","Warwick",107,5,25,2,68,25,5,237,371
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 118","Warwick",109,2,20,1,76,15,1,224,392
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 119","Warwick",125,2,20,1,84,19,1,252,338
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 120","Warwick",86,9,18,6,63,13,5,200,301
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 121","Warwick",111,6,48,7,65,7,4,248,487
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 122","Warwick",120,9,25,2,79,19,3,257,456
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 123","Warwick",152,3,29,3,108,23,3,321,504
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 124","Tingwick",103,4,22,2,35,14,1,181,301
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 125","Tingwick",106,7,31,0,85,25,10,264,409
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 126","Tingwick",102,7,35,2,41,16,2,205,337
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 127","Saint-Rémi-de-Tingwick",117,11,25,0,53,22,2,230,374
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 128","Notre-Dame-de-Ham",107,8,38,7,40,12,6,218,315
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 129","Ham-Nord",96,7,27,3,46,11,2,192,289
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 130","Ham-Nord",100,13,37,0,45,33,2,230,375
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 131","Saints-Martyrs-Canadiens",41,3,18,1,36,6,0,105,183
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 132","Ham-Sud",42,11,22,1,19,10,0,105,152
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 133","Saint-Adrien",134,10,37,0,56,29,3,269,411
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 134","Wotton",93,5,24,0,43,17,0,182,300
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 135","Wotton",123,5,31,0,58,21,4,242,409
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 136","Wotton",117,4,25,2,59,21,2,230,421
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 137","Saint-Camille",138,7,27,2,56,19,4,253,350
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 138","Saint-Georges-de-Windsor",63,3,21,0,33,15,1,136,218
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 139","Saint-Georges-de-Windsor",140,9,29,2,61,31,7,279,514
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 140","Saint-Claude",122,6,29,2,34,29,0,222,399
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 141","Saint-Claude",165,11,28,2,49,33,3,291,495
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 142","Danville",87,4,39,4,42,16,6,198,376
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 143","Danville",49,6,24,0,42,16,1,138,243
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 144","Danville",73,6,44,0,43,14,5,185,346
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 145","Danville",97,6,29,4,52,15,2,205,335
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 146","Danville",86,9,44,3,42,28,3,215,367
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 147","Danville",71,1,32,4,59,14,3,184,293
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 148","Danville",106,4,52,1,46,13,4,226,374
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 149","Trois-Lacs",75,1,20,2,59,12,1,170,310
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 149-1","Trois-Lacs",98,7,14,3,28,11,1,162,246
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 150","Asbestos",113,2,14,1,29,13,2,174,314
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 151","Asbestos",112,7,22,1,41,28,2,213,385
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 152","Asbestos",113,6,40,0,61,19,0,239,448
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 153","Asbestos",113,3,37,0,46,7,1,207,424
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 154","Asbestos",95,5,25,4,51,11,6,197,408
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 155","Asbestos",86,3,22,1,38,10,1,161,384
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 156","Asbestos",79,0,22,4,48,10,2,165,315
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 157","Asbestos",81,4,29,2,51,19,2,188,444
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 158","Asbestos",108,3,12,2,38,15,0,178,325
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 159","Asbestos",107,4,28,1,50,10,0,200,383
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 160","Asbestos",98,6,25,0,49,6,3,187,382
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 161","Asbestos",78,4,15,2,36,11,3,149,357
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 162","Asbestos",87,5,16,0,21,10,2,141,318
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 163","Asbestos",90,2,27,2,46,18,5,190,346
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 164","Asbestos",Void/Supprimé,,,,,,,,
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 165","Shipton",59,6,39,2,51,7,3,167,304
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 166","Danville",102,5,17,0,42,27,1,194,412
