Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Guy André,André Chauvette,Marie-Claude Godue,Denis Lefebvre,Jean-Luc Matteau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 509","Mobile poll/Bureau itinérant",9,12,27,2,30,2,82,112
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 510","Mobile poll/Bureau itinérant",13,3,10,3,17,2,48,102
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 511","Mobile poll/Bureau itinérant",24,5,19,0,32,4,84,113
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 600","Saint-Alexis-des-Monts",103,11,70,5,35,3,227,
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 601","Saint-Paulin",46,8,50,3,28,0,135,
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 602","Saint-Boniface",174,26,111,13,91,5,420,
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 603","Saint-Mathieu-du-Parc",77,15,27,7,26,2,154,
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 604","Saint-Étienne-des-Grès",135,13,102,8,63,7,328,
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 605","Trois-Rivières",227,38,165,14,101,9,554,
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 606","Trois-Rivières",264,45,217,12,128,9,675,
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 607","Trois-Rivières",129,23,115,5,56,11,339,
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 608","Trois-Rivières",186,24,135,6,66,6,423,
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 609","Trois-Rivières",213,29,204,7,71,13,537,
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 610","Yamachiche",65,16,76,2,44,5,208,
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 611","Louiseville",156,18,143,6,88,9,420,
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 612","Louiseville",142,11,115,6,84,7,365,
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 613","Maskinongé",52,7,58,1,20,0,138,
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 614","Saint-Gabriel",202,26,68,9,55,6,366,
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 615","Saint-Gabriel",113,17,73,7,31,4,245,
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 616","Saint-Cuthbert--Sainte-Élisabeth",67,9,22,5,24,2,129,
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 617","Berthierville",99,23,67,5,38,2,234,
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 618","Berthierville",173,17,78,12,82,5,367,
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 619","Lanoraie",128,17,54,4,35,2,240,
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 620","Lavaltrie",161,32,73,4,43,7,320,
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 621","Lavaltrie",195,28,95,10,56,2,386,
24008,"Berthier--Maskinongé/Berthier--Maskinongé",,Group 1/Groupe 1,54,10,51,4,12,6,137,271
24008,"Berthier--Maskinongé/Berthier--Maskinongé",,Group 2/Groupe 2,288,22,172,14,77,14,587,

