Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Hondo Arendt,Nathan Cullen,Mary-Etta Goodacre,Corinna Morhart,Sharon Smith,Rod Taylor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 81","Kitsumkaylum 1",5,142,0,5,33,1,0,186,285
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 82A","Terrace",13,78,0,11,78,0,0,180,272
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 82B","Terrace",10,60,0,3,78,2,0,153,275
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 83","Terrace",10,91,0,14,107,3,1,226,425
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 84","Terrace",2,76,0,9,89,5,0,181,316
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 85","Terrace",3,64,1,11,100,5,0,184,353
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 86","Terrace",6,66,0,16,120,10,2,220,355
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 87","Terrace",15,107,1,21,106,6,0,256,435
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 88","Terrace",6,82,2,3,25,3,0,121,346
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 89","Terrace",11,78,0,17,141,5,2,254,442
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 90","Terrace",7,76,0,6,93,8,3,193,367
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 91","Terrace",6,82,1,15,69,5,0,178,351
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 92","Terrace",6,53,0,5,39,1,1,105,201
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 93","Terrace",6,93,3,14,94,4,2,216,488
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 94","Terrace",4,56,0,16,29,1,0,106,288
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 95","Terrace",3,70,0,8,59,1,0,141,272
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 96","Terrace",8,65,0,12,65,5,1,156,351
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 97","Terrace",8,57,1,4,61,5,0,136,233
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 98","Terrace",5,113,1,14,51,4,0,188,439
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 99","Terrace",15,125,1,16,94,4,0,255,459
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 100","Terrace",8,88,0,10,68,7,1,182,377
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 101","Terrace",4,79,3,18,43,4,0,151,388
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 102","Terrace",5,99,0,11,74,6,0,195,400
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 103","Kitimat",6,124,0,5,75,8,2,220,415
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 104","Kitimat",13,86,0,14,61,5,1,180,349
