Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Guy Dufort,Marc Garneau,Claude William Genest,Anne Lagacé Dowson,Charles Larivée,David Sommer Rovins,Bill Sloan,Linda Sullivan,Judith Vienneau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 132","Montréal",24,85,11,64,20,0,1,0,0,1,206,369
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 133","Montréal",15,62,17,50,6,0,0,0,0,0,150,280
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 134","Montréal",17,54,24,71,8,0,0,1,0,0,175,399
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 135","Montréal",15,51,8,55,10,0,0,0,0,0,139,323
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 136","Montréal",21,41,11,50,15,1,0,0,0,1,140,437
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 137","Montréal",16,59,33,73,8,0,0,1,2,0,192,466
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 138","Montréal",13,66,22,50,20,0,0,0,0,0,171,345
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 139","Montréal",13,63,9,68,24,0,0,0,0,1,178,341
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 140","Montréal",21,108,16,42,11,1,0,1,2,1,203,387
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 141","Montréal",7,64,7,38,13,0,0,0,0,1,130,232
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 142","Montréal",20,62,8,55,14,0,1,1,0,0,161,361
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 143","Montréal",25,73,13,68,23,0,0,0,1,1,204,406
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 144","Montréal",27,101,21,64,30,0,1,1,0,0,245,300
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 145","Montréal",14,73,18,60,21,0,0,0,1,0,187,328
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 146","Montréal",12,96,19,57,15,0,0,1,0,1,201,321
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 147","Montréal",16,105,14,73,29,0,1,0,0,0,238,430
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 148","Montréal",12,70,17,49,22,2,0,0,0,0,172,294
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 149","Montréal",21,82,17,48,20,0,0,0,0,1,189,318
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 150","Montréal",31,99,20,66,17,1,0,1,1,0,236,389
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 151","Montréal",22,85,13,76,23,0,0,0,1,0,220,410
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 152","Montréal",31,59,19,48,12,2,0,0,0,0,171,366
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 153","Montréal",19,54,14,25,2,0,0,0,0,1,115,187
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 154","Montréal",18,97,23,43,15,0,0,0,0,0,196,343
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 155","Montréal",24,75,28,81,31,0,0,0,0,0,239,358
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 156","Montréal",18,70,25,52,15,1,0,0,0,1,182,347
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 157","Montréal",15,67,9,17,9,0,0,0,0,1,118,302
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 158","Montréal",44,155,20,130,29,0,0,0,0,0,378,620
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 159","Montréal",18,96,10,62,19,0,0,0,0,0,205,455
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 160","Montréal",19,86,15,72,12,0,0,0,0,0,204,433
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 161","Montréal",12,58,26,86,19,0,1,1,0,4,207,348
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 162","Montréal",17,76,30,127,33,0,0,1,0,3,287,532
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 163","Montréal",10,81,21,89,26,0,0,0,0,1,228,381
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 164","Montréal",19,102,20,70,31,2,1,0,0,0,245,399
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 165","Montréal",15,69,19,70,19,1,0,0,0,0,193,410
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 166","Montréal",27,105,18,70,22,1,2,0,1,3,249,511
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 167","Montréal",13,92,20,65,8,1,1,0,0,5,205,393
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 168","Montréal",18,96,6,34,0,1,0,0,0,2,157,351
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 169","Montréal",18,99,18,63,9,0,0,0,0,2,209,399
