Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dan Boudria,Jean-Sébastien Caron,Pierre Lemieux,Sylvie Lemieux,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 82","Chute-à-Blondeau",45,15,85,10,1,156,255
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 82-1","East Hawkesbury",87,17,64,6,2,176,255
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 83","La Renouche",82,32,80,13,0,207,344
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 84","St-Eugène",88,33,95,18,1,235,426
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 85","St-Eugène",60,16,117,19,1,213,360
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 86","Ste-Anne-de-Prescott",75,18,100,16,0,209,314
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 87","Champlain",58,15,62,7,1,143,238
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 88","Hawkesbury",58,15,58,7,2,140,361
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 88-1","Hawkesbury",108,41,98,6,3,256,421
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 89","Hawkesbury",73,18,56,12,3,162,301
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 90","Hawkesbury",79,22,65,9,0,175,467
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 91","Hawkesbury",90,38,60,10,3,201,353
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 92","Hawkesbury",62,32,55,5,6,160,424
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 93","Hawkesbury",59,11,45,5,1,121,314
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 94","Hawkesbury",68,26,50,9,1,154,333
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 95","Hawkesbury",74,18,63,6,3,164,389
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 96","Hawkesbury",66,22,65,4,1,158,376
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 97","Hawkesbury",87,19,86,2,3,197,342
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 98","Hawkesbury",92,31,96,11,0,230,412
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 99","Hawkesbury",102,31,106,11,4,254,463
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 100","Hawkesbury",103,22,63,12,1,201,386
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 101","Hawkesbury",46,13,28,2,0,89,307
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 102","Hawkesbury",52,12,21,3,1,89,301
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 103","Hawkesbury",69,6,50,8,5,138,340
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 104","Hawkesbury",57,20,66,11,0,154,344
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 105","Hawkesbury",61,20,50,7,5,143,327
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 106","Hawkesbury",74,30,63,4,1,172,343
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 107","Hawkesbury",84,22,45,5,0,156,346
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 108","Hawkesbury",112,31,92,5,0,240,497
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 109","North Russell",38,11,100,8,0,157,280
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 109-1","Russell",19,12,125,17,0,173,253
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 110","Russell",56,17,196,10,1,280,448
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 111","Russell",40,13,110,16,0,179,276
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 111-1","Russell",31,15,101,16,0,163,226
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 112","Russell",44,20,131,11,0,206,317
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 112-1","Russell",31,13,112,6,0,162,294
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 113","Russell",65,22,171,26,0,284,452
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 114","Russell",78,20,213,13,0,324,495
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 115","Russell",37,16,111,13,0,177,246
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 116","Russell",73,29,194,21,4,321,464
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 117","Brisson",76,19,76,13,1,185,300
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 117-1","Russell",62,15,82,13,1,173,280
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 118","Limoges",113,33,144,14,4,308,479
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 119","Forget",72,24,102,4,0,202,316
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 119-1","Russell",42,8,59,3,0,112,219
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 120","Embrun",38,9,54,3,0,104,209
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 120-1A","Russell",71,24,136,13,0,244,407
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 120-1B","Russell",90,31,128,13,1,263,408
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 120-2","Russell",139,58,185,20,2,404,652
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 121","Embrun",80,26,105,7,0,218,331
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 122","Embrun",81,22,72,8,1,184,302
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 122-1","Russell",86,24,89,7,0,206,349
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 123","Embrun",101,43,131,11,1,287,444
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 124","Embrun",63,25,85,8,2,183,369
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 125","Embrun",81,22,100,9,0,212,455
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 126","Embrun",83,50,109,7,1,250,431
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 127","Felton",78,31,206,24,0,339,545
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 128","Limoges",94,28,139,21,2,284,442
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 129","Limoges",133,51,138,21,1,344,535
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 130","Limoges",78,29,82,12,0,201,349
