Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Keith Ashfield,Mary Lou Babineau,David Innes,Ben Kelly,Jesse Travis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13003,"Fredericton/Fredericton"," 501","Mobile poll/Bureau itinérant",24,3,20,1,1,3,52,118
13003,"Fredericton/Fredericton"," 502","Mobile poll/Bureau itinérant",16,3,15,0,5,1,40,59
13003,"Fredericton/Fredericton"," 503","Mobile poll/Bureau itinérant",52,10,35,2,6,2,107,137
13003,"Fredericton/Fredericton"," 504","Mobile poll/Bureau itinérant",38,1,29,1,10,1,80,113
13003,"Fredericton/Fredericton"," 505","Mobile poll/Bureau itinérant",25,6,20,1,21,2,75,120
13003,"Fredericton/Fredericton"," 506","Mobile poll/Bureau itinérant",48,3,25,1,2,3,82,224
13003,"Fredericton/Fredericton"," 600","Fredericton",488,55,285,0,76,0,904,
13003,"Fredericton/Fredericton"," 601","Fredericton",250,44,147,1,54,3,499,
13003,"Fredericton/Fredericton"," 602","Fredericton",208,80,285,2,58,1,634,
13003,"Fredericton/Fredericton"," 603","Fredericton",208,32,167,0,35,0,442,
13003,"Fredericton/Fredericton"," 604","Fredericton",188,36,134,1,34,1,394,
13003,"Fredericton/Fredericton"," 605","Fredericton",351,80,243,0,63,2,739,
13003,"Fredericton/Fredericton"," 606","Lincoln",198,10,71,1,61,4,345,
13003,"Fredericton/Fredericton"," 607","New Maryland",210,24,107,0,23,2,366,
13003,"Fredericton/Fredericton"," 608","Oromocto",313,40,158,4,48,3,566,
13003,"Fredericton/Fredericton"," 609","Chipman",223,42,100,1,44,3,413,
13003,"Fredericton/Fredericton"," 610","Minto",245,118,136,2,76,5,582,
13003,"Fredericton/Fredericton",,Group 1/Groupe 1,336,25,78,2,37,8,486,1383
13003,"Fredericton/Fredericton",,Group 2/Groupe 2,469,101,412,4,110,11,1107,

