Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Wayne Ronald Bennett,Gerry Byrne,Mark Kennedy,Lorne Robinson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 147","Corner Brook",2,66,28,6,0,102,270
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 148","Corner Brook",7,85,22,15,1,130,314
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 149","Corner Brook",6,90,34,10,0,140,364
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 150","Corner Brook",3,104,47,9,1,164,402
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 151","Corner Brook",15,188,67,25,1,296,550
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 152","Corner Brook",15,156,66,25,1,263,535
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 153","Lark Harbour",5,56,16,5,1,83,192
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 154","Lark Harbour",0,96,26,10,1,133,286
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 155","York Harbour",4,105,32,13,1,155,283
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 156","Frenchman's Cove",0,58,27,15,1,101,191
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 157","John's Beach",4,56,12,4,0,76,151
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 158","Benoit's Cove",2,44,23,14,0,83,202
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 159","Benoit's Cove",8,126,32,26,5,197,563
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 160","Benoit's Cove",2,34,7,3,1,47,120
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 161","Halfway Point",1,52,30,5,0,88,166
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 162","Mount Moriah",1,37,8,7,0,53,112
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 163","Mount Moriah",1,149,32,17,0,199,484
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 164","Corner Brook",1,64,21,9,0,95,223
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 165","Corner Brook",5,137,56,11,1,210,436
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 166","Corner Brook",5,110,54,16,0,185,385
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 167","Corner Brook",9,104,51,12,0,176,469
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 168","Corner Brook",3,120,40,17,1,181,384
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 169","Corner Brook",3,116,41,8,2,170,386
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 170","Corner Brook",4,162,39,7,1,213,428
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 171","Corner Brook",4,53,24,11,0,92,207
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 172","Corner Brook",4,69,29,10,1,113,283
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 173","Corner Brook",4,127,36,14,2,183,373
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 174","Corner Brook",4,106,35,11,0,156,439
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 175","Corner Brook",3,120,39,12,0,174,350
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 176","Corner Brook",8,108,44,8,0,168,363
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 177","Corner Brook",5,112,39,16,0,172,365
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 178","Corner Brook",4,112,28,8,1,153,333
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 179","Corner Brook",2,84,44,3,0,133,343
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 180","Corner Brook",5,92,38,6,1,142,336
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 181","Corner Brook",5,111,33,6,4,159,351
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 182","Corner Brook",2,50,19,7,1,79,375
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 183","Pasadena",2,97,29,16,3,147,346
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 184","Pasadena",14,139,47,6,0,206,398
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 185","Pasadena",7,67,24,19,0,117,211
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 186","Pasadena",15,149,37,25,0,226,477
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 187","Pasadena",6,132,42,19,4,203,405
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 188","Pasadena",9,155,47,27,0,238,494
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 189","Pasadena",3,103,37,17,0,160,389
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 500","Mobile poll/Bureau itinérant",0,23,2,17,1,43,61
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 501","Mobile poll/Bureau itinérant",1,20,4,7,0,32,112
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 502","Mobile poll/Bureau itinérant",1,61,1,3,0,66,121
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 503","Mobile poll/Bureau itinérant",1,7,0,4,0,12,12
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 504","Mobile poll/Bureau itinérant",1,32,4,6,3,46,83
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 505","Mobile poll/Bureau itinérant",1,23,7,8,0,39,121
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 506","Mobile poll/Bureau itinérant",1,27,1,7,2,38,38
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 600","St. Anthony",1,27,2,0,0,30,
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 601","Plum Point",0,9,3,0,0,12,
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 602","Roddickton",0,13,1,1,0,15,
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 603","Port au Choix",1,30,2,3,0,36,
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 604","Deer Lake",3,108,14,15,0,140,
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 605","Baie Verte",0,27,5,3,0,35,
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 606","La Scie",0,11,3,1,0,15,
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 607","Springdale",4,43,8,18,0,73,
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 608","Robert's Arm",0,4,4,2,0,10,
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 609","Corner Brook",13,105,36,21,1,176,
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 610","Corner Brook",14,169,42,15,0,240,
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 611","Corner Brook",5,86,31,11,0,133,
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 612","Pasadena",10,48,14,9,0,81,
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 613","Flower's Cove",0,15,1,0,0,16,
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 614","Parson's Pond",0,10,2,1,0,13,
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 615","Rocky Harbour",2,32,7,4,0,45,
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 616","Woody Point",0,15,2,1,0,18,
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 617","Sop's Arm",0,4,1,4,0,9,
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte",,Group 1/Groupe 1,9,76,13,73,2,173,670
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte",,Group 2/Groupe 2,5,203,26,17,16,267,

