Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chris Hrynkow,Jim Maloway,Wes Penner,Robert Scott,Thomas Steen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46005,"Elmwood--Transcona/Elmwood--Transcona"," 98","Winnipeg",1,40,12,2,25,1,81,345
46005,"Elmwood--Transcona/Elmwood--Transcona"," 99","Winnipeg",4,54,7,0,31,2,98,333
46005,"Elmwood--Transcona/Elmwood--Transcona"," 100","Winnipeg",9,79,14,0,54,0,156,416
46005,"Elmwood--Transcona/Elmwood--Transcona"," 101","Winnipeg",8,56,6,1,34,0,105,205
46005,"Elmwood--Transcona/Elmwood--Transcona"," 102","Winnipeg",12,66,10,0,44,0,132,411
46005,"Elmwood--Transcona/Elmwood--Transcona"," 103","Winnipeg",8,88,9,0,48,1,154,382
46005,"Elmwood--Transcona/Elmwood--Transcona"," 104","Winnipeg",6,128,21,13,121,0,289,459
46005,"Elmwood--Transcona/Elmwood--Transcona"," 105","Winnipeg",19,148,28,7,202,1,405,719
46005,"Elmwood--Transcona/Elmwood--Transcona"," 106","Winnipeg",15,102,17,8,103,0,245,457
46005,"Elmwood--Transcona/Elmwood--Transcona"," 107","Winnipeg",15,133,12,1,118,0,279,484
46005,"Elmwood--Transcona/Elmwood--Transcona"," 108","Winnipeg",8,121,11,5,123,1,269,572
46005,"Elmwood--Transcona/Elmwood--Transcona"," 109","Winnipeg",8,68,11,0,50,0,137,219
46005,"Elmwood--Transcona/Elmwood--Transcona"," 110","Winnipeg",4,63,8,5,73,0,153,263
46005,"Elmwood--Transcona/Elmwood--Transcona"," 111","Winnipeg",10,53,5,3,75,0,146,262
46005,"Elmwood--Transcona/Elmwood--Transcona"," 112","Winnipeg",10,86,19,1,68,0,184,304
46005,"Elmwood--Transcona/Elmwood--Transcona"," 113","Winnipeg",11,60,6,3,51,1,132,270
46005,"Elmwood--Transcona/Elmwood--Transcona"," 114","Winnipeg",10,71,8,1,44,1,135,279
46005,"Elmwood--Transcona/Elmwood--Transcona"," 115","Winnipeg",14,78,7,1,49,0,149,348
46005,"Elmwood--Transcona/Elmwood--Transcona"," 116","Winnipeg",8,67,14,1,48,1,139,314
46005,"Elmwood--Transcona/Elmwood--Transcona"," 117","Winnipeg",13,77,10,0,75,0,175,309
46005,"Elmwood--Transcona/Elmwood--Transcona"," 118","Winnipeg",12,79,10,3,63,1,168,310
46005,"Elmwood--Transcona/Elmwood--Transcona"," 119","Winnipeg",12,65,12,3,53,0,145,343
46005,"Elmwood--Transcona/Elmwood--Transcona"," 120","Winnipeg",6,73,9,2,56,0,146,340
46005,"Elmwood--Transcona/Elmwood--Transcona"," 121","Winnipeg",7,72,17,1,42,0,139,344
46005,"Elmwood--Transcona/Elmwood--Transcona"," 122","Winnipeg",10,79,13,2,80,0,184,371
46005,"Elmwood--Transcona/Elmwood--Transcona"," 123","Winnipeg",17,108,15,7,118,1,266,481
46005,"Elmwood--Transcona/Elmwood--Transcona"," 124","Winnipeg",8,108,15,5,98,2,236,409
46005,"Elmwood--Transcona/Elmwood--Transcona"," 125","Winnipeg",12,104,17,1,119,0,253,442
46005,"Elmwood--Transcona/Elmwood--Transcona"," 126","Winnipeg",8,92,9,2,94,0,205,303
46005,"Elmwood--Transcona/Elmwood--Transcona"," 127","Winnipeg",6,67,13,3,95,0,184,296
46005,"Elmwood--Transcona/Elmwood--Transcona"," 128","Winnipeg",17,115,13,4,73,0,222,398
46005,"Elmwood--Transcona/Elmwood--Transcona"," 129","Winnipeg",7,101,7,2,85,1,203,388
46005,"Elmwood--Transcona/Elmwood--Transcona"," 130","Winnipeg",18,72,7,2,83,0,182,335
46005,"Elmwood--Transcona/Elmwood--Transcona"," 131","Winnipeg",11,100,14,0,85,0,210,418
46005,"Elmwood--Transcona/Elmwood--Transcona"," 132","Winnipeg",12,85,11,1,68,0,177,400
46005,"Elmwood--Transcona/Elmwood--Transcona"," 133","Winnipeg",14,126,8,2,81,0,231,430
46005,"Elmwood--Transcona/Elmwood--Transcona"," 134","Winnipeg",10,73,2,0,80,0,165,387
46005,"Elmwood--Transcona/Elmwood--Transcona"," 135","Winnipeg",14,98,11,3,73,1,200,378
46005,"Elmwood--Transcona/Elmwood--Transcona"," 136","Winnipeg",10,53,11,1,59,0,134,308
46005,"Elmwood--Transcona/Elmwood--Transcona"," 137","Winnipeg",9,58,3,1,62,0,133,285
46005,"Elmwood--Transcona/Elmwood--Transcona"," 138","Winnipeg",9,113,6,2,60,0,190,327
46005,"Elmwood--Transcona/Elmwood--Transcona"," 139","Winnipeg",19,109,9,0,61,0,198,376
46005,"Elmwood--Transcona/Elmwood--Transcona"," 140","Winnipeg",8,122,7,0,80,0,217,359
46005,"Elmwood--Transcona/Elmwood--Transcona"," 141","Winnipeg",9,82,8,2,58,1,160,322
46005,"Elmwood--Transcona/Elmwood--Transcona"," 142","Winnipeg",10,77,10,3,84,0,184,281
46005,"Elmwood--Transcona/Elmwood--Transcona"," 143","Winnipeg",15,92,13,1,76,1,198,391
46005,"Elmwood--Transcona/Elmwood--Transcona"," 144","Winnipeg",13,97,7,1,67,1,186,397
46005,"Elmwood--Transcona/Elmwood--Transcona"," 145","Winnipeg",12,125,16,2,61,0,216,397
46005,"Elmwood--Transcona/Elmwood--Transcona"," 146","Winnipeg",10,100,10,0,106,0,226,409
46005,"Elmwood--Transcona/Elmwood--Transcona"," 147","Winnipeg",7,77,15,2,76,0,177,380
46005,"Elmwood--Transcona/Elmwood--Transcona"," 148","Winnipeg",7,102,9,1,60,1,180,364
46005,"Elmwood--Transcona/Elmwood--Transcona"," 149","Winnipeg",10,70,10,1,43,0,134,246
46005,"Elmwood--Transcona/Elmwood--Transcona"," 150","Winnipeg",9,81,4,0,82,0,176,352
46005,"Elmwood--Transcona/Elmwood--Transcona"," 151","Winnipeg",11,98,15,4,77,0,205,385
46005,"Elmwood--Transcona/Elmwood--Transcona"," 152","Winnipeg",6,95,7,0,80,0,188,368
46005,"Elmwood--Transcona/Elmwood--Transcona"," 153","Winnipeg",11,58,5,3,51,0,128,240
46005,"Elmwood--Transcona/Elmwood--Transcona"," 154","Winnipeg",9,83,21,4,86,0,203,398
46005,"Elmwood--Transcona/Elmwood--Transcona"," 155","Winnipeg",8,65,7,1,72,0,153,328
46005,"Elmwood--Transcona/Elmwood--Transcona"," 156","Winnipeg",6,97,17,0,73,0,193,418
46005,"Elmwood--Transcona/Elmwood--Transcona"," 157","Winnipeg",10,58,12,2,72,0,154,339
46005,"Elmwood--Transcona/Elmwood--Transcona"," 158","Winnipeg",15,70,8,0,61,0,154,347
46005,"Elmwood--Transcona/Elmwood--Transcona"," 159","Winnipeg",13,95,9,3,96,0,216,405
46005,"Elmwood--Transcona/Elmwood--Transcona"," 160","Winnipeg",8,70,5,3,36,1,123,328
46005,"Elmwood--Transcona/Elmwood--Transcona"," 161","Winnipeg",4,71,13,3,79,0,170,343
46005,"Elmwood--Transcona/Elmwood--Transcona"," 162","Winnipeg",7,91,14,3,55,0,170,413
46005,"Elmwood--Transcona/Elmwood--Transcona"," 163","Winnipeg",9,80,11,1,161,0,262,508
46005,"Elmwood--Transcona/Elmwood--Transcona"," 163-1","Winnipeg",5,110,25,3,132,0,275,476
46005,"Elmwood--Transcona/Elmwood--Transcona"," 500","Mobile poll/Bureau itinérant",5,108,42,3,115,4,277,271
46005,"Elmwood--Transcona/Elmwood--Transcona"," 501","Mobile poll/Bureau itinérant",2,51,15,5,26,1,100,141
46005,"Elmwood--Transcona/Elmwood--Transcona"," 502","Mobile poll/Bureau itinérant",8,63,15,4,45,3,138,226
46005,"Elmwood--Transcona/Elmwood--Transcona"," 503","Mobile poll/Bureau itinérant",4,48,20,4,57,0,133,228
46005,"Elmwood--Transcona/Elmwood--Transcona"," 600","Winnipeg",18,130,18,1,209,2,378,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 601","Winnipeg",17,195,18,2,170,0,402,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 602","Winnipeg",13,123,11,3,169,0,319,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 603","Winnipeg",19,95,14,0,70,1,199,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 604","Winnipeg",12,126,13,1,137,0,289,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 605","Winnipeg",14,126,13,3,120,2,278,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 606","Winnipeg",16,132,8,3,178,0,337,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 607","Winnipeg",18,148,15,8,221,0,410,
46005,"Elmwood--Transcona/Elmwood--Transcona",,Group 1/Groupe 1,12,31,21,5,44,4,117,200
46005,"Elmwood--Transcona/Elmwood--Transcona",,Group 2/Groupe 2,16,152,19,4,185,5,381,

