Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Denis Andrew Carrière,Brendan Daniel Hughes,Bruce Hyer,Don McArthur,Bev Sarafin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 604","Geraldton",2,12,40,52,60,1,167,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 605","Longlac",2,4,44,22,41,0,113,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 606","Thunder Bay",3,10,65,46,86,0,210,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 607","Thunder Bay",0,15,53,48,64,0,180,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 608","Thunder Bay",3,6,72,41,86,0,208,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 609","Thunder Bay",1,28,237,155,202,2,625,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 610","Thunder Bay",3,38,209,180,224,1,655,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 611","Thunder Bay",5,23,196,134,158,0,516,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 612","Thunder Bay",1,16,169,138,183,2,509,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 613","Red Rock",1,1,38,35,28,0,103,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 614","Thunder Bay",5,34,210,178,200,2,629,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 615","Schreiber",2,4,35,94,22,0,157,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 616","Terrace Bay",2,7,35,75,42,2,163,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 617","Marathon",5,19,94,122,83,2,325,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord",,Group 1/Groupe 1,2,17,31,26,50,7,133,231
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord",,Group 2/Groupe 2,6,60,284,249,261,11,871,

